Параметр, Формат, Опис
.. _Role:, Об'єкт **Role**,
roleId,long,id ролі
**company**,Company_,об'єкт; інформація про компанію
companyId,long,id компаниії
name,String,назва ролі
code,String,код ролі
status,int,"статус; ""1 - активний; 2 - заблокований"""
autoBind,int,"ознака ""Автоматично додавати цю роль всім новим користувачам"" 0-Ні; 1-Да"
**users**,List<User_>,масив об'єктів; користувачі
**uiTypes**,List<UIType2Role_>,масив об'єктів; зв'язки користувальницьких розділів і ролей
packageAccessType,int,тип доступу
