Значення параметра, Опис, Документ, Назва статусу на web
«-5»,чернетка Виконавця, ,
«-4»,чернетка Покупця, ,
«-3»,чернетка Вантажоотримувача, е-ТТН, «Чернетка»
«-2»,чернетка Перевізника, е-ТТН, «Чернетка»
«-1»,чернетка Вантажовідправника, е-ТТН, «Чернетка»
«1»,в процесі, ,
,"відправлено Перевізником, що здає вантаж",Акт перевантаження, «Очікує підписання іншим водієм / перевізником»
«2»,підтверджено Вантажовідправником 
«3»,підтверджено Перевізником під час завантаження товару, е-ТТН, «Очікує підписання перевізником (підтверджено водієм)»
«4»,підтверджено Вантажоотримувачем, е-ТТН, «Очікує підписання вантажоодержувачем (підтверджено приймальником)»
«5»,підписано Вантажовідправником, е-ТТН, «Очікує підписання водієм / перевізником»
, , Акт розбіжностей, «Підписано вантажовідправником»
, , Заявка на транспортування, «Очікує підтверження перевізником»
, , Підтвердження транспортування, «Підписано замовником»
, , Акт виконаних робіт, «Підписано замовником»
, , Акт приймання-передавання, «Очікує підписання виконавцем»
«6»,підписано Перевізником під час завантаження товару, е-ТТН, «Очікує підписання вантажоодержувачем»
, , Підтвердження транспортування, «Очікує підписання замовником»
, , Акт виконаних робіт, «Очікує підписання замовником»
,"підписано Перевізником, що приймає вантаж",Акт перевантаження, «Підписано іншим водієм / перевізником»
«7»,підписано Вантажоотримувачем, е-ТТН, «Очікує підписання водієм / перевізником»
, , Акт приймання-передавання, «Підписано виконавцем»
«8»,відхилено Вантажовідправником, е-ТТН, «Скасовано вантажовідправником»
, , Заявка на транспортування, «Скасовано замовником»
, , Підтвердження транспортування, «Скасовано замовником»
, , Акт виконаних робіт, «Скасовано замовником»
, , Акт приймання-передавання, «Скасовано замовником»
«9»,відхилено Перевізником під час завантаження товару, е-ТТН, «Скасовано водієм/перевізником»
, , Підтвердження транспортування, «Скасовано перевізником»
, , Акт виконаних робіт, «Скасовано виконавцем»
,"відхилено Перевізником, що приймає вантаж",Акт перевантаження, «Скасовано іншим водієм / перевізником»
«10»,відхилено Вантажоотримувачем, е-ТТН, «Скасовано вантажоодержувачем»
, , Акт приймання-передавання, «Скасовано виконавцем»
«11»,підтверджено Покупцем, ,
«12»,підписано Покупцем, ,
«13»,відхилено Покупцем, ,
«14»,підтверджено Виконавцем, ,
«15»,підписано Виконавцем, ,
«16»,відхилено Виконавцем, ,
«17»,підтверджено Перевізником під час вивантаження товару, е-ТТН, «Очікує підписання перевізником (підтверджено водієм)»
«18»,підписано Перевізником під час вивантаження товару, е-ТТН, «Підписано перевізником»
«19»,відхилено Перевізником під час вивантаження товару, ,
,"відхилено Перевізником, що здає вантаж",Акт перевантаження, «Скасовано водієм / перевізником-ініціатором»
