Параметр,Обов'язкове / Необов'язкове поле, Формат, Опис
.. _CONSIGNEE_BODY:,О, Об'єкт **CONSIGNEE_BODY**,
TYPE,О,«AMENDMENT»,Тип документа (Поправки)
STAKE,О,«RECIPIENT»,Учасник-підписант (Вантажоотримувач)
R09G2,О,double,"Маса брутто, кг в пункті розвантаження"
DATE_ARRIVAL_UNLOAD,О,String (YYYY-MM-DD),Дата прибуття
R09G31,О,int,"Час прибуття, (год)"
R09G32,О,int,"Час прибуття, (хв)"
DATE_DEPARTURE_UNLOAD,О,String (YYYY-MM-DD),Дата вибуття
R09G41,О,int,"Час вибуття, (год)"
R09G42,О,int,"Час вибуття, (хв)"
R09G51,О,int,"Час простою, (год)"
R09G52,О,int,"Час простою, (хв)"
R017G61S,О,String,Посада відповідальної особи Вантажоодержувача
R017G6S,О,String,П.І.Б. відповідальної особи Вантажоодержувача
**CLAIM_TRANSFER**,О/Н,CLAIM_TRANSFER_,об'єкт; Запис про передачу права на пред'явлення претензії. Поле заповнюється лише при наявності претензії
**ACT**,О/Н,List<DECLAR_ACT_>,масив об'єктів; Номер та дата додаткового Акту до е-ТТН. Поле заповнюється лише при наявності акту
