Параметр,Тип [1]_,Формат,Опис
.. _Transport:,,Об'єкт **Transport**,
id,,long,ідентифікатор транспортного засобу
number,M,String,номер транспортного засобу (у літеросполученні допускається лише латинниця (case sensitive)) в форматі «AA0001AA»
brand,M,String,марка транспортного засобу («Hyundai»)
model,M,String,модель транспортного засобу («HD 78»)
type,M,String,тип транспортного засобу («рефрижератор»)
color,O,String,колір транспортного засобу
length,O,String,довжина транспортного засобу (мм)
width,O,String,ширина транспортного засобу (мм)
height,O,String,висота транспортного засобу (мм)
weight,O,String,вага транспортного засобу без вантажу (кг)
isTrailer,O,int,"відмітка про тип транспортного засобу:

* 0 - авто (за замовчуванням)
* 1 - причіп
* 2 - напівпричіп"
