**Код відповіді**,**Код помилки**,**Опис**
400,0,Внутрішня помилка ЦБД
400,1,Некоректно сформований запит
400,2,Некоректний токен
400,4,Некоректний тип транспортного засобу
400,5,Некоректна роль представника
400,6,Об'єкт eTTN не знайдений
400,7,Некоректний перехід між станами eTTN
400,9,Завантаження у поточному стані не дозволене
400,10,Об'єкт супровідного документу не знайдений
400,11,Запропонований тип супровідного документу відрізняється від поточного
400,12,Некоректний перехід між станами супровідних документів
400,13,Некоректний запропонований час відміни супровідного документу
400,14,Підпис подіїї більше не дійсний
400,15,Відсутній ідентифікатор події
400,16,Розбіжність у текстах згоди
400,17,Споживач не підписаний на події
400,18,Відсутній текст згоди
400,19,Токен доступу більше не дійсний
400,20,Некоректна роль підписанта eTTN
400,21,Некоректна роль підписанта супровідного документу
400,22,Некоректне посилання на документ
400,24,Некоректна комбінація станів eTTN та супровідного документу
400,25,Некоректна операція з оновлення представників
400,26,Некоректна кількість підписів супровідного документу
400,27,Некоректний тип супровідного документу
400,28,Некоректний запропонований час оновлення супровідного документу
400,29,Документ не відповідає схемі
400,30,Підпис документу не пройшов перевірку
400,31,Невалідна попередня версія документу
400,32,Не вдалося завантажити документ
400,33,Невалідний токен для отримання документу
