Параметр,Тип [1]_,Формат,Опис
.. _AccountContact: , Об'єкт **AccountContact**,,
contactId,O/M,long,Ідентифікатор контакту. Передається для редагування (оновлення) даних раніше створеного контакту. Параметр обов'язковий при редагуванні.
accountId,O,long,Ідентифікатор акаунта
name,M,String,ПІБ
positionId,O,long,Посада
contactTypeId,M,long,"Ідентифікатор типу контакту; число

* 2 - Фінансові питання
* 4 - Комерційні питання
* 6 - Технічні питання
* 8 - Дирекція"
phone,O,String,Міський номер телефону
mobile,M,String,Мобільний номер телефону
email,O,String,Email
isSubscribed,O,int,"Отримувати розсилки на вказаний Email (0-ні, 1-так). Значення isSubscribed=1 допустиме лише за коректно заповненого поля email."
