Параметр,Тип [1]_,Формат,Опис
.. _ClientSigner: , Об'єкт **ClientSigner**,,
signerId,M/O,long,id підписанта. Обовʼязково передається при редагуванні даних раніше доданого підписанта 
accountId,,long,id акаунта
signerRoleId,M,int,"id ролі підписанта

* 1-Для Договорів/ДУ;
* 2-Для Актів;
* 3-Для інших документів"
fullName,M,String,ПІБ
position,M,String,Посада
ownershipId,M,int,"Форма власності

* 1-Юридична особа;
* 2-Фізична особа підприємець"
actsOnBasisId,M,int,"Діє на підставі

* 1-Статут;
* 2-Довіреність;
* 3-Виписка"
fileDate,M/O,String,"Дата/час (РРРР-ММ-ДД ГГ:ХХ:СС) довіреності. Обовʼязкове до заповнення для осіб, які діють на підставі довіреності (actsOnBasisId=2)"
fileId,,long,id файлу
isActual,,int,"актуальність (1-так, 0-ні). Актальними вважаються останні вказані дані (решта записів зберігаються для історії змін)"
createdAt,,String,"Дата/час (РРРР-ММ-ДД ГГ:ХХ:СС) створення запису."
modifiedAt,,String,"Дата/час (РРРР-ММ-ДД ГГ:ХХ:СС) редагування запису."
modifiedBy,,long,"id користувача, що створив/редагував запис"
file,M/O,ClientSignerFile_,"об'єкт; дані файлу-вкладення. Обовʼязкове до заповнення для осіб, які діють на підставі довіреності (actsOnBasisId=2)"
