Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (30),Номер документу
ТипДокументу,M,Рядок (50),"Тип документу: Повідомлення про відмову від підписання документу (квитанція №13) / Повідомлення про відклик підпису (квитанція №14)"
КодТипуДокументу,M,«021»,"Допустиме значення: 021 => Повідомлення про відмову від підписання документу (квитанція №13) / Повідомлення про відклик підпису (квитанція №14)"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
НомерЗамовлення,O,Рядок (20),Номер замовлення
**ДокПідстава**,O,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (30),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,M,«001» / «002» / «003» ...,`Код типу документу <https://wiki.edin.ua/uk/latest/XML/code_doctype.html>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Відхилив**, , ,"До заповнення реквізитами компанії, що відхиляє документ (початок блоку)"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення: Замовник (квитанція №13) / Відправник (квитанція №14)"
ВидОсоби,M,Рядок (20),"Допустимі значення:
Юридична
Фізична"
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер
МФО,O,Рядок,МФО банку 
IBAN,O,Рядок (35),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,O,Рядок (20),Телефон контрагента
**Відхилив**, , ,"До заповнення реквізитами компанії, що відхиляє документ (завершення блоку)"
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення: Відправник (квитанція №13) / Замовник (квитанція №14)"
ВидОсоби,M,Рядок (20),"Допустимі значення:
Юридична
Фізична"
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер
СвідоцтвоПДВ,O,Integer (10),Свідоцтво платника ПДВ (податку на додану вартість)
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
Текст,M,Рядок (100),Додаткова інформація 
**ЕлектроннийДокумент**,O, ,Завершення документу
