Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (32),Номер документу
ТипДокументу,M,Рядок (50),"Тип документу: Товарна специфікація"
ТипСхеми,M,1,0 - стандартна схема (з попереднім узгодженням); 1 - нестандартна схема (без попереднього узгодження)
КодТипуДокументу,M,«008»,"Допустиме значення: 008 => Товарна специфікація (`всі підтипи COMDOC <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/EveryBody/ExtraQueryParameters_fieldName_sub_doc_type_id.html>`__)"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ТермінДії**,O,Кількість входжень вузла: Min = 0; Max = 1,"Термін, на період якого документ вважається чинним (початок блоку)"
Початок,O,Дата (РРРР-ММ-ДД),Дата початку дії документу
Кінець,O,Дата (РРРР-ММ-ДД),Дата закінчення терміну дії документу
**ТермінДії**, , ,"Термін, на період якого документ вважається чинним (завершення блоку)"
НомерЗамовлення,M,Рядок (32),Номер замовлення за документом
ДатаЗамовлення,M,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
МісцеСкладання,M,Рядок (255),Місце укладання документу
**ДокПідстава**,M,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (32),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Тип документу: Договір"
КодТипуДокументу,M,«001»,`Код типу документу <https://wiki.edin.ua/uk/latest/XML/code_doctype.html>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення:

* Покупець;
* Отримувач; 
* Продавець; 
* Замовник; 
* Виконавець;
* Перевізник;
* Платник;
* Підрядник;
* Відправник;
* Вантажоодержувач;
* Вантажовідправник;
* Експедитор;
* Клієнт;
* Консультант"
ВидОсоби,M,Рядок (20),"Допустимі значення:

* Юридична
* Фізична"
НазваКонтрагента,M,Рядок (255),Назва контрагента
КодКонтрагента,M,Рядок (12),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер контрагента
Телефон,O,Рядок (20),Телефон
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Параметри**,O, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
"<Параметр ІД=«1» назва=«Точка доставки»>4829900017590</Параметр>",O,Рядок (255),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=1 вказується точка доставки. Максимальна кількість тегів – 99."
"<Параметр ІД=«2» назва=«Адреса доставки»>Дніпропетровська обл., Дніпровський р-н, територія Слобожанської селищної ради, комплекс будівель та споруд №8</Параметр>",O,Рядок (255),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=2 вказується розшифровка адреси доставки. Максимальна кількість тегів – 99."
"<Параметр ІД=«3» назва=«Дата поставки»>2021-08-31</Параметр>",O,Рядок (255),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=2 вказується розшифровка адреси доставки. Максимальна кількість тегів – 99."
"<Параметр ІД=«4» назва=«Код Валюти»>EUR</Параметр>",O,Рядок (255),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=2 вказується розшифровка адреси доставки. Максимальна кількість тегів – 99."
**Параметри**,O, ,Параметри (завершення блоку)
**Таблиця**,O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,M,Integer (4),Номер позиції
<Штрихкод ІД=«1»>6908876610177</Штрихкод>,M,Рядок (20),Штрих-код продукту. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,M,Рядок (20),Артикул покупця
АртикулПродавця,M,Рядок (20),Артикул продавця
КодУКТЗЕД,O,Integer (10),Код товару згідно з УКТ ЗЕД
Найменування,M,Рядок (250),Найменування товарної позиції
ПрийнятаКількість,M,Decimal (#.000),Прийнята кількість товарних позицій
ОдиницяВиміру,M,Рядок (10),Одиниці виміру [2]_
**ВсьогоПоРядку**,M,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
СумаБезПДВ,M,Decimal (#.00),Сума без ПДВ
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
**ЦінаРегулярна**,M, ,Регулярна ціна (початок блоку)
ЦінаБезПДВ,M,Decimal (#.00000),Цiна без ПДВ
ЦінаЗПДВ,M,Decimal (#.00000),Ціна за одиницю з ПДВ
**ЦінаРегулярна**, , ,Регулярна ціна (завершення блоку)
СтавкаПДВ,M, ,Ставка податку на додану вартість
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ЕлектроннийДокумент**,O, ,Завершення документу
