Назва поля, Тип [1]_, Формат, Опис
**ORDRSP**,,, Початок документа
NUMBER, M, Рядок (50), Номер підтвердження замовлення
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
TIME, O, Час (год: хв), Час створення документа
ORDERNUMBER, M, Рядок (50), Номер замовлення
ORDERDATE, M, Дата (РРРР-ММ-ДД), Дата замовлення
DELIVERYDATE, M, Дата (РРРР-ММ-ДД), Дата доставки
DELIVERYTIME, O, Час (год: хв), Час поставки
SPECIFICATIONNUMBER, O, Рядок (10),Номер специфікації
SPECIFICATIONDATE, O, Дата (РРРР-ММ-ДД), Дата специфікації
CURRENCY, M, Рядок (3), Код валюти
ACTION, О,"« 4 »,« 27 »,« 29 »","4 - поставка змінена, 29 - поставка прийнята, 27 - поставка не прийнята"
TRANSPORTATIONPAYMENTTYPE, O, Рядок (35),Умови оплати
TRANSPORTATIONCONDITION, O, Рядок (35),Умови транспортування
INFO, O, Рядок (90), Вільний текст
CAMPAIGNNUMBER, O, Рядок (70), Номер договору
**HEAD**,,, Початок основного блоку
BUYER, M, Число (13), GLN покупця
SUPPLIER, M, Число (13), GLN постачальника
DELIVERYPLACE, M, Число (13), GLN місця доставки
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, M, Число позитивне,"Номер товарної позиції (Порядковий номер товарної позиції в документі (1, 2, 3, 4 ... n))"
PRODUCT, M,"Число (8, 10, 14)", Штрих-код продукту
PRODUCTIDSUPPLIER, O, Рядок (16), Артикул в БД постачальника
ORDRSPUNIT, M, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
CUSTOMSTARIFFNUMBER, О, Число позитивне,Код УКТЗЕД для кожної позиції
DESCRIPTION, M, Рядок (250), Опис продукту
PRICE, M, Число десяткове (5 знаків після коми), Ціна продукту
VAT, M, Рядок (3),"Ставка ПДВ,%"
EXPAIRYDATE, O, Рядок (30),Гарантійний термін
AMOUNT, M, Число десяткове, Сума товару без ПДВ
PRODUCTTYPE, M,"« 1 »,« 2 »,« 3 »","* 1 - товар буде поставлений без змін;
* 2 - зміна замовленої кількості;
* 3 - відмовлено в постачанні"
ORDEREDQUANTITY, M, Decimal (#.000), Замовлена кількість
ACCEPTEDQUANTITY, M, Decimal (#.000), Наявна кількість
INFO, O, Рядок (90), Вільний текст
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**ORDRSP**,,, Закінчення документа
