Назва поля,Тип [1]_,Формат,Опис
**Document-Invoice**,,, Початок документа
**Invoice-Header**, М,, Початок основного блоку
InvoiceNumber, М, Рядок (16), Номер видаткової накладної
InvoiceDate, М, Дата (РРРР-ММ-ДД), Дата накладної
DocumentFunctionCode, М, DRN, Код документа (константа)
ContractNumber, M, Рядок (35), Номер договору
ContractDate, М, Дата (РРРР-ММ-ДД), Дата договору
**Invoice-Header**, M,, Закінчення основного блоку
**Invoice-Reference**, M,, Підстава (початок блоку)
**Order**, M,, Замовлення (початок блоку)
BuyerOrderNumber, M, Рядок (35), Номер замовлення
BuyerOrderDate, M, Дата (РРРР-ММ-ДД), Дата замовлення
**Order**,,, Замовлення (закінчення блоку)
**DespatchAdvice**, O,, Повідомлення про відвантаження (початок блоку)
DespatchAdviceNumber, O, Рядок (16), Номер повідомлення про відвантаження
**DespatchAdvice**,,, Повідомлення про відвантаження (закінчення блоку)
**Invoice-Reference**, M,, Підстава (закінчення блоку)
**Invoice-Parties**, M,, Блок контрагентів (початок)
**Buyer**, M,, Блок покупця (початок)
ILN, М, Integer (13), GLN покупця
Name, М, Рядок (80), назва покупця
UtilizationRegisterNumber, М,"Число(8,10)", "код ЄДРПОУ покупця (Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр))"
TaxID, М, Число (12), Індивідуальний податковий номер контрагента
**Buyer**,,, Блок покупця (закінчення)
**Seller**, M,, Блок продавця (початок)
ILN, М, Integer (13), GLN продавця
TaxID, М, Число (12), Індивідуальний податковий номер контрагента
UtilizationRegisterNumber, М,"Число(8,10)", "код ЄДРПОУ продавця (Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр))"
Name, М, Рядок (80), назва продавця
**Seller**,,, Блок продавця (закінчення)
**DeliveryPoint**, M,, Точка доставки (початок блоку)
ILN, М, Integer (13), GLN точки доставки
Name, O, Рядок (80), "Юридична особа об'єкта доставки"
CityName, М, Рядок (35), Юридична особа об'єкту доставки
StreetAndNumber, М, Рядок (35), вулиця і номер будинку
PostalCode, O, Рядок (9), поштовий код об'єкта доставки
**DeliveryPoint**,,, Точка доставки (закінчення блоку)
**Payer**,O,, Платник (початок блоку)
ILN, O, Integer (13), GLN платника
**Payer**,,, Платник (закінчення блоку)
**Invoice-Parties**,,, Блок контрагентів (закінчення)
**Invoice-Lines**, M,, Рядки накладної (початок блоку)
**Line**, M,, Рядок (початок блоку)
**Line-Item**, M,, Позиція (початок блоку)
LineNumber, М, Integer (3), Порядковий номер рядка
EAN, М, Integer (13), Штрих-код продукту
BuyerItemCode, M, Рядок (10), Артикул в БД покупця
ItemDescription, М, Рядок (210), Назва/опис товару
InvoiceQuantity, M, "Decimal (18,3) / Розділення крапкою", Замовлена ​​кількість (кількість товару за накладною)
BuyerUnitOfMeasure, M, Рядок (10),"Одиниці виміру [2]_"
ExternalItemCode, M, Ціле число (4-10) (без пробілів), код товару згідно довідника УКТ ЗЕД
InvoiceUnitGrossPrice,M,"Decimal (18,2) / Розділення крапкою",Ціна однієї одиниці з ПДВ
InvoiceUnitNetPrice, M,"Decimal (18,5) / Розділення крапкою", Ціна однієї одиниці без ПДВ
TaxRate, M, Число позитивне,"Ставка ПДВ (20%, 19%, 16%, 14%, 7%, 2%, 0%)"
GrossAmount,M,"Decimal (18,6) / Розділення крапкою", Сума з ПДВ
TaxAmount, M, "Decimal (18,2) / Розділення крапкою", Сума ПДВ по артикулу = сума сум без ПДВ по артикулах * ставку (округляється до 2 знаків)
NetAmount, M, "Decimal (18,2) / Розділення крапкою", Сума без ПДВ
**Line-Item**,,, Позиція (закінчення блоку)
**Line**,,, Рядок (закінчення блоку)
**Invoice-Lines**,,, Рядки накладної (закінчення блоку)
**Invoice-Summary**, M,, Підсумки (початок блоку)
TotalLines, M, Ціле число, Кількість рядків в документі
TotalNetAmount, M, "Decimal (18,2) / Розділення крапкою", Загальна сума без ПДВ за документом
TotalTaxAmount, M, "Decimal (18,2) / Розділення крапкою", Сума ПДВ за документом
TotalGrossAmount, M, "Decimal (18,2) / Розділення крапкою", Загальна сума з ПДВ за документом
**Invoice-Summary**,,, Підсумки (закінчення блоку)
**Document-Invoice**,,, Закінчення документа
