Параметр, Формат, Опис
.. _XSearchPositionsQuery: , Об'єкт **XSearchPositionsQuery** ,
retailerId,long,ідентифікатор мережі
recipientGln,String,GLN отримувача
recipientGlnId,long,ідентифікатор GLN отримувача
senderGln,String,GLN відправника
senderGlnId,long,ідентифікатор GLN відправника
name,String,найменування позиції
barcode,String,штрихкод позиції
dateChanged,DateTimeRange,"Пошук по даті, з можливістю вказати період. Приклад:

1) 'Дата: 2020-01-01' - за дату;
2) 'Дата: 2020-01-01-2020-01-10' - за період;
3) 'Дата: 2020-01-01-' - починаючи з дати;
4) 'Дата: -2020-01-10' - закінчуючи датою."
**statuses**,List<Integer>,масив статусів позицій (0 - чернетка; 1 - прийнято; 2 - відхилено; 3 - на узгодженні)
**groups**,Set<Long>,масив категорій/груп/підгруп/товарних сегментів
**limit**,Limitation_,об'єкт; фільтр відбору (налаштування виводу даних)
