Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _BKBODY:,О, Об'єкт **BKBODY**,
HNUM,О,String,номер документа
HFILL,О,String,дата документа
R01G10S,О,String,"вид перевезень; доступні значення:
- покілометровий тариф
- погодинний тариф
- відрядний тариф
- централізоване перевезення
- внутрішньоміське
- приміське"
R02G11S,О,long,ідентифікаційний код (ЄДРПОУ для юр. осіб чи ІНН для фіз. осіб) автомобільного перевізника
R02G1S,О,String,найменування автомобільного перевізника
R02G21S,О,long,ідентифікаційний код (ЄДРПОУ) замовника
R02G2S,О,String,найменування замовника
HTIN,О,long,ідентифікаційний код (ЄДРПОУ) вантажовідправника
HNAME,О,String,повне найменування вантажовідправника
HLOC,О,String,місцезнаходження вантажовідправника
R03G10S,О,String,номер договору
R03G11S,О,String,дата договору
R04G1S,О,double,маса брутто
R05G1S,Н,String,температурні вимоги 
R06G1S,Н,double,кількість місць
R07G1S,Н,String,необхідний вид транспорту
R08G1S,Н,String,загальна вартість перевезення (з/без ПДВ залежить від компанії-Перевізника)
R09G1S,О/Н,double,кілометраж; поле обов'язкове при R01G10S=«покілометровий тариф»
R010G1S,Н,String,найменування вантажу (тут враховується загальний характер вантажу)
R011G1S,Н,String,додаткова інформація
T4RXXXXG11S,О,List<RXXType_>,масив; таблична частина: ідентифікаційний код (ЄДРПОУ) вантажоодержувача
T4RXXXXG12S,О,List<RXXType_>,масив; таблична частина: найменування вантажоодержувача
T4RXXXXG13S,О,List<RXXType_>,масив; таблична частина: адреса вантажоодержувача
T4RXXXXG21S,О,List<RXXType_>,масив; таблична частина: адреса пункту навантаження
T4RXXXXG22S,О,List<RXXType_>,масив; таблична частина: код пункту навантаження за КОАТУУ
T4RXXXXG23S,О,List<RXXType_>,масив; таблична частина: дата навантаження
T4RXXXXG24S,О,List<RXXType_>,масив; таблична частина: час навантаження
T4RXXXXG25S,Н,List<RXXType_>,масив; таблична частина: контактна особа для навантаження
T4RXXXXG26S,Н,List<RXXType_>,масив; таблична частина: контактний телефон для навантаження
T4RXXXXG31S,О,List<RXXType_>,масив; таблична частина: адреса пункту розвантаження
T4RXXXXG32S,О,List<RXXType_>,масив; таблична частина: код пункту розвантаження за КОАТУУ
T4RXXXXG33S,О,List<RXXType_>,масив; таблична частина: дата розвантаження
T4RXXXXG34S,О,List<RXXType_>,масив; таблична частина: час розвантаження
T4RXXXXG35S,Н,List<RXXType_>,масив; таблична частина: контактна особа для розвантаження
T4RXXXXG36S,Н,List<RXXType_>,масив; таблична частина: контактний телефон для розвантаження
