Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _BKCBODY:,О, Об'єкт **BKCBODY**,
R01G1S,О,String,марка/модель автомобіля
R01G2S,О,String,реєстраційний номер автомобіля
R01G3S,О,String,тип автомобіля
R01G4S,Н,String,марка/модель причепа/напівпричепа
R01G5S,Н,String,реєстраційний номер причепа/напівпричепа
R01G6S,Н,String,тип причепа/напівпричепа
R01G7S,Н,String,марка/модель 2-го причепа/напівпричепа
R01G8S,Н,String,реєстраційний номер 2-го причепа/напівпричепа
R01G9S,Н,String,тип 2-го причепа/напівпричепа
R02G3S,О,String,ПІП водія
R02G4S,О,String,"серія, номер посвідчення водія"
R02G5S,О,String,телефон водія
HNUM,О,String,номер документа
HFILL,О,String,дата документа
R01G10S,О,String,"вид перевезень; доступні значення:
- покілометровий тариф
- погодинний тариф
- відрядний тариф
- централізоване перевезення
- внутрішньоміське
- приміське"
R02G11S,О,long,ідентифікаційний код (ЄДРПОУ для юр. осіб чи ІНН для фіз. осіб) автомобільного перевізника
R02G1S,О,String,найменування автомобільного перевізника
R02G21S,О,long,ідентифікаційний код (ЄДРПОУ) замовника
R02G2S,О,String,найменування замовника
HTIN,О,long,ідентифікаційний код (ЄДРПОУ) вантажовідправника
HNAME,О,String,повне найменування вантажовідправника
HLOC,О,String,місцезнаходження вантажовідправника
R03G10S,О,String,номер договору
R03G11S,О,String,дата договору
R04G1S,О,double,маса брутто
R05G1S,Н,String,температурні вимоги 
R06G1S,Н,double,кількість місць
R07G1S,Н,String,необхідний вид транспорту
R08G1S,Н,String,вартість перевезення
R09G1S,Н,double,кілометраж
R010G1S,Н,String,найменування вантажу (тут враховується загальний характер вантажу)
R011G1S,Н,String,додаткова інформація
T4RXXXXG11S,О,List<RXXType_>,масив; таблична частина: ідентифікаційний код (ЄДРПОУ) вантажоодержувача
T4RXXXXG12S,О,List<RXXType_>,масив; таблична частина: найменування вантажоодержувача
T4RXXXXG13S,О,List<RXXType_>,масив; таблична частина: адреса вантажоодержувача
T4RXXXXG21S,О,List<RXXType_>,масив; таблична частина: адреса пункту навантаження
T4RXXXXG22S,О,List<RXXType_>,масив; таблична частина: код пункту навантаження за КОАТУУ
T4RXXXXG23S,О,List<RXXType_>,масив; таблична частина: дата навантаження
T4RXXXXG24S,О,List<RXXType_>,масив; таблична частина: час навантаження
T4RXXXXG25S,Н,List<RXXType_>,масив; таблична частина: контактна особа для навантаження
T4RXXXXG26S,Н,List<RXXType_>,масив; таблична частина: контактний телефон для навантаження
T4RXXXXG31S,О,List<RXXType_>,масив; таблична частина: адреса пункту розвантаження
T4RXXXXG32S,О,List<RXXType_>,масив; таблична частина: код пункту розвантаження за КОАТУУ
T4RXXXXG33S,О,List<RXXType_>,масив; таблична частина: дата розвантаження
T4RXXXXG34S,О,List<RXXType_>,масив; таблична частина: час розвантаження
T4RXXXXG35S,Н,List<RXXType_>,масив; таблична частина: контактна особа для розвантаження
T4RXXXXG36S,Н,List<RXXType_>,масив; таблична частина: контактний телефон для розвантаження
