Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _DSBODY:,О, Об'єкт **DSBODY**,
HNUM,О,String,номер документа
HFILL,О,String,дата документа
HPODNUM,О,String,номер документа-підстави - АПП
HPODFILL,О,String,дата документа-підстави - АПП
HPLACE,Н,String,місце складання
R03G10S,Н,String,номер договору
R03G11S,Н,String,дата договору
R02G11S,О,long,ідентифікаційний код (ЄДРПОУ для юр. осіб чи ІНН для фіз. осіб) автомобільного перевізника
R02G1S,О,String,найменування автомобільного перевізника
R02G3S,О,String,П.І.Б. водія
R02G4S,О,String,номер посвідчення водія
R02G21S,Н,long,ідентифікаційний код (ЄДРПОУ) замовника
R02G2S,Н,String,найменування замовника
HTIN,О,long,ідентифікаційний код (ЄДРПОУ) вантажовідправника
HNAME,О,String,повне найменування вантажовідправника
HLOC,О,String,місцезнаходження вантажовідправника
R04G1S,О,long,ідентифікаційний код (ЄДРПОУ для юр. осіб чи ІНН для фіз. осіб) вантажоодержувача
R04G2S,О,String,повне найменування вантажоодержувача
R04G3S,О,String,"місцезнаходження вантажоодержувача (Місто, Адреса)"
R014G1S,Н,String,Супровідні документи та вантаж
R001G10,О,double,кількість грузових місць всього (АПП)
R001G12,О,double,"загальна сума з ПДВ усього, грн"
R001G20,О,double,кількість грузових місць всього (фактична)
R001G22,О,double,"загальна сума з ПДВ усього, грн (фактична)"
T6RXXXXG1S,О,List<RXXType>,масив; таблична частина: назва товару
T6RXXXXG2S,О,List<RXXType>,масив; таблична частина: одиниці виміру
T6RXXXXG31S,О,List<RXXType>,масив; таблична частина: кількість місць (АПП)
T6RXXXXG32S,О,List<RXXType>,"масив; таблична частина: загальна сума з ПДВ, грн (АПП)"
T6RXXXXG41S,О,List<RXXType>,масив; таблична частина: кількість місць (фактична)
T6RXXXXG42S,О,List<RXXType>,"масив; таблична частина: загальна сума з ПДВ, грн (фактична)"
T6RXXXXG5S,О,List<RXXType>,Причина розбіжності
T6RXXXXG6S,Н,List<RXXType>,Додаткова інформація

