Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _ETTNBODY:,О, Об'єкт **ETTNBODY**,
HNUM,О,String,номер документа
HFILL,О,String,дата документа
R01G1S,О,String,марка автомобіля
R01G2S,О,String,реестраційний номер автомобіля
R01G3S,О,String,тип автомобіля
R01G4S,Н,String,марка причіпа/напівпричіпа
R01G5S,Н,String,реєстраційний номер причіпа/напівпричіпа
R01G6S,Н,String,тип причіпа/напівпричіпа
R01G7S,Н,String,марка причіпа/напівпричіпа 2
R01G8S,Н,String,реєстраційний номер причіпа/напівпричіпа 2
R01G9S,Н,String,тип причіпа/напівпричіпа 2
R01G10S,О,String,"вид перевезень; доступні значення:

- покілометровий тариф
- погодинний тариф
- відрядний тариф
- централізоване перевезення
- внутрішньоміське
- приміське
- міжміське
- міжнародне перевезення"
R02G11S,О,long,ідентифікаційний код (ЄДРПОУ для юр. осіб чи ІНН для фіз. осіб) автомобільного перевізника
R02G1S,О,String,найменування автомобільного перевізника
R02G3S,О,String,П.І.Б. водія
R02G4S,О,String,номер посвідчення водія
R02G21S,О,long,ідентифікаційний код (ЄДРПОУ) замовника
R02G2S,О,String,найменування замовника
HTIN,О,long,ідентифікаційний код (ЄДРПОУ) вантажовідправника
HNAME,О,String,повне найменування вантажовідправника
HLOC,О,String,місцезнаходження вантажовідправника
R04G1S,О,long,ідентифікаційний код (ЄДРПОУ для юр. осіб чи ІНН для фіз. осіб) вантажоодержувача
R04G2S,О,String,повне найменування вантажоодержувача
R04G3S,О,String,"місцезнаходження вантажоодержувача (Місто, Адреса)"
R05G2S,О,String,місцезнаходження пункту навантаження
R05G21S,О,String,код пункту навантаження за КОАТУУ
R05G4S,О,String,місцезнаходження пункту розвантаження
R05G41S,О,String,код пункту розвантаження за КОАТУУ
R012G3S,О,String,кількість місць (словами)
R013G1,О,double,маса брутто (цифрами)
R013G2S,О,String,маса брутто (словами)
R010G3S,О,String,усього відпущено на загальну суму з урахуванням ПДВ (словами)
R011G1,О,double,сума ПДВ
R014G1S,О,String,Супровідні документи та вантаж
T1RXXXXG81S,О,List<RXXType_>,масив; таблична частина: найменування вантажу (номер контейнера)
T1RXXXXG82,О,List<RXXType_>,масив; таблична частина: клас небезпечних речовин
T1RXXXXG9S,О,List<RXXType_>,"масив; таблична частина: одиниці виміру

- штука
- палета
- тонна
- кілограм
- діжка
- мішок
- ящик
- метр
- грам
- літр
- коробка
- упаковки
- пачка
- пляшка
- банку
- піддон
- квадратний метр
- рулон
- комплект
- тисяча штук
- послуга"
T1RXXXXG10,О,List<RXXType_>,масив; таблична частина: кількість місць
T1RXXXXG11,О,List<RXXType_>,масив; таблична частина: ціна без ПДВ за одиницю (грн)
T1RXXXXG12,О,List<RXXType_>,масив; таблична частина: загальна сума з ПДВ (грн)
T1RXXXXG13S,О,List<RXXType_>,масив; таблична частина: вид пакування
T1RXXXXG14S,О,List<RXXType_>,масив; таблична частина: документи з вантажем
T1RXXXXG15,О,List<RXXType_>,масив; таблична частина: маса брутто
R001G10,О,double,таблична частина: кількість місць усього
R001G12,О,double,таблична частина: загальна сума з ПДВ усього (грн)
