Назва поля,Тип [1]_,Формат,Опис
**SIGN_ENVELOPE**,M,,Обгортка документа Перевізника чи Вантажоотримувача (згідно логіки формування акта) (початок блоку)
STATE,M,TRANSPORTER_SIGNED / RECIPIENT_SIGNED,"Стан документа, якщо підписант:

* Перевізник - «TRANSPORTER_SIGNED» («підписано Перевізником»)
* Вантажоотримувач - «RECIPIENT_SIGNED» («підписано Вантажоотримувачем»)"
**SIGN_ENVELOPE**,M,,Обгортка документа Вантажовідправника чи Перевізника (згідно логіки формування акта) (початок блоку)
STATE,M,CONSIGNOR_SIGNED / TRANSPORTER_SIGNED,"Стан документа, якщо підписант:

* Вантажовідправник - «CONSIGNOR_SIGNED» («підписано Вантажовідправником»)
* Перевізник - «TRANSPORTER_SIGNED» («підписано Перевізником»)"
**SIGN_ENVELOPE**,M,,Обгортка документа Ініціатора (початок блоку)
STATE,M,ORIGINATOR_SIGNED,"Стан документа, якщо ініціатор:

* Вантажовідправник - «підписано Вантажовідправником»
* Вантажоотримувач - «підписано Вантажоотримувачем»
* Перевізник - «підписано Перевізником»
* Замовник - «підписано Замовником»"
**DECLARHEAD**,M,,Складовий номер документа (початок блоку)
C_DOC,M,String,Код документа («A01»)
C_DOC_SUB,M,String,Підтип документа («03»)
C_DOC_VER,M,String,Номер версії документа («01»)
**DECLARHEAD**,,,Складовий номер документа (закінчення блоку)
**DECLARBODY**,M,,Основні реквізити (початок блоку)
TYPE,M,CORE,Тип документа (Основа)
STAKE,M,ORIGINATOR,"Учасник-підписант (Ініціатор)"
HNUM,M,String,Номер «Акта коригування»
HFILL,M,date(YYYY-MM-DD),Дата «Акта коригування»
BASE_HNUM,M,String,Номер документа-підстави (ТТН)
BASE_HFILL,M,date(YYYY-MM-DD),Дата документа-підстави (ТТН)
UUID_TTN,M,UUID,Унікальний ідентифікатор ТТН
DOCUMENT_PLACE,M,String,Місце складання «Акта коригування»
R02G21S,M,String,Ідентифікаційний код Замовника (ЄДРПОУ юридичної особи або ІПН фізичної-особи підприємця)
HTIN,M,String,Ідентифікаційний код Вантажовідправника (ЄДРПОУ юридичної особи або ІПН фізичної-особи підприємця)
R02G11S,M,String,Ідентифікаційний код Перевізника (ЄДРПОУ юридичної особи або ІПН фізичної-особи підприємця)
R02G3S,M,String,Прізвище водія/експедитора
R02G31S,M,String,Ім'я водія/експедитора
R02G32S,O,String,По батькові водія/експедитора
R02G4S,O,String,Серія та номер посвідчення водія/експедитора
DRIVER_ID,M,int(10),"Ідентифікаційний код Водія"
R04G1S,M,String,Ідентифікаційний код Вантажоодержувача (ЄДРПОУ юридичної особи або ІПН фізичної-особи підприємця)
**ADJUSTMENT**,M,,Коригування ТТН (початок блоку)
DOCUMENT_PLACE,M,String,Місце складання ТТН
R01G10S,M,String,Вид перевезень
R02G2S,M,String,Повне найменування Замовника (найменування юридичної особи або ПІБ фізичної-особи підприємця)
HNAME,M,String,Повне найменування Вантажовідправника (найменування юридичної особи або ПІБ фізичної-особи підприємця)
HLOC,M,String,Юридична адреса Вантажовідправника
R02G1S,M,String,Повне найменування Перевізника (найменування юридичної особи або ПІБ фізичної-особи підприємця)
R04G2S,M,String,Повне найменування Вантажоодержувача (найменування юридичної особи або ПІБ фізичної-особи підприємця)
R04G3S,M,String,Юридична адреса Вантажоодержувача
R05G2S,M,String,Місцезнаходження пункту навантаження
R05G4S,M,String,Місцезнаходження пункту розвантаження
R010G3S,M,String,"Усього відпущено на загальну суму (словами, з урахуванням ПДВ)"
R011G1,M,double,У тому числі ПДВ
**DECLARBODY_ORIGINATOR_SECURITY**,O/M,,"Інформація про охорону вантажу (початок блоку). Блок обов'язковий, якщо в ньому передається хоча б одне поле"
FIRST_NAME,O/M,String,Ім’я особи. Обов'язково передається за наявності поля в ТТН (за відсутності - опціонально)
LAST_NAME,O/M,String,Прізвище особи. Обов'язково передається за наявності поля в ТТН (за відсутності - опціонально)
FATHERS_NAME,O/M,String,По батькові особи. Обов'язково передається за наявності поля в ТТН (за відсутності - опціонально)
DOCUMENT_TYPE,O/M,String,Тип документа. Обов'язково передається за наявності поля в ТТН (за відсутності - опціонально)
DOCUMENT_ID,O/M,String,Номер документа. Обов'язково передається за наявності поля в ТТН (за відсутності - опціонально)
DOCUMENT_DATE,O/M,date(YYYY-MM-DD),Дата укладання документа. Обов'язково передається за наявності поля в ТТН (за відсутності - опціонально)
**DECLARBODY_ORIGINATOR_SECURITY**,,,Інформація про охорону вантажу (закінчення блоку)
