Назва поля,Тип [1]_,Формат,Опис
**DECLARHEAD**,M,,Складовий номер документа (початок блоку)
C_DOC,M,String,код документа («EVD»)
C_DOC_SUB,M,String,підтип документа («003»)
C_DOC_VER,M,String,номер версії документа («01»)
**DECLARHEAD**,,,Складовий номер документа (закінчення блоку)
**DECLARBODY**,M,,Основні реквізити (початок блоку)
R01G1S,M,String,марка автомобіля
R01G2S,M,String,реєстраційний номер автомобіля
R01G3S,M,String,тип автомобіля
R01G11S,O,String,модель автомобіля
R01G4S,O/M,String,марка причіпа/напівпричіпа. Поле обов’язково заповнюється за наявності причіпа/напівпричіпа
R01G5S,O/M,String,реєстраційний номер причепа/напівпричепа. Поле обов’язково заповнюється за наявності причіпа/напівпричіпа
R01G12S,O/M,String,модель причепа/напівпричепа. Поле обов’язково заповнюється за наявності причіпа/напівпричіпа
R01G6S,O/M,String,тип причепа/напівпричепа. Поле обов’язково заповнюється за наявності причіпа/напівпричіпа
R01G7S,O/M,String,марка 2-го причіпа/напівпричіпа. Поле обов’язково заповнюється за наявності 2-го причіпа/напівпричіпа
R01G8S,O/M,String,реєстраційний номер 2-го причепа/напівпричепа. Поле обов’язково заповнюється за наявності 2-го причіпа/напівпричіпа
R01G9S,O/M,String,тип 2-го причепа/напівпричепа. Поле обов’язково заповнюється за наявності 2-го причіпа/напівпричіпа
R01G13S,O/M,String,модель 2-го причепа/напівпричепа. Поле обов’язково заповнюється за наявності 2-го причіпа/напівпричіпа
R02G3S,M,String,Прізвище водія
R02G31S,M,String,Ім'я Водія
R02G32S,O,String,По батькові Водія
R02G4S,M,String,"серія, номер посвідчення водія"
R02G5S,M,String,телефон водія
DRIVER_ID,O,int(10),"Ідентифікаційний код Водія"
HNUM,M,String,номер документа
HFILL,M,String (YYYY-MM-DD),дата документа
R01G10S,M,String,"вид перевезень; доступні значення:
- покілометровий тариф
- погодинний тариф
- відрядний тариф
- централізоване перевезення
- внутрішньоміське
- приміське
- міжміське
- міжнародне перевезення"
R02G11S,M,long,ідентифікаційний код (ЄДРПОУ для юр. осіб чи ІНН для фіз. осіб) автомобільного перевізника
R02G1S,M,String,найменування автомобільного перевізника
R02G12S,O,String,адреса автомобільного перевізника
R02G21S,M,long,ідентифікаційний код (ЄДРПОУ) замовника
R02G2S,M,String,найменування замовника
R02G22S,O,String,адреса замовника
HTIN,M,long,ідентифікаційний код (ЄДРПОУ) вантажовідправника
HNAME,M,String,повне найменування вантажовідправника
HLOC,M,String,місцезнаходження вантажовідправника
R03G10S,M,String,номер договору
R03G11S,M,String,дата договору
R04G1S,M,double,маса брутто; кг
R05G1S,O,String,температурні вимоги 
R06G1S,O,double,кількість місць
R07G1S,O,String,необхідний вид транспорту
R08G1S,O/M,String(формат 0.00),вартість перевезення без ПДВ; поле обов'язкове до заповнення при R08G14S=fixed
R08G12S,O,String,"ставка ПДВ; допустимі значення:

* 0
* 7
* 20"
R08G13S,O/M,String(формат 0.00),вартість перевезення з ПДВ; поле обов'язкове до заповнення при R08G14S=fixed
R08G14S,O,String,"спосіб тарифікації; допустимі значення:

* fixed
* distance
* weight"
R09G1S,O/M,double,кілометраж; поле обов'язкове при R08G14S=distance
R010G1S,O,String,найменування вантажу (тут враховується загальний характер вантажу)
R011G1S,O,String,додаткова інформація
R011G2S,O,String,додаткова інформація від Перевізника
**<T4RXXXXG10>** ROWNUM=«1» message=«value» **</T4RXXXXG10>**,O,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: кількість місць
**<T4RXXXXG15>** ROWNUM=«1» message=«value» **</T4RXXXXG15>**,O,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: маса брутто (кг)
**<T4RXXXXG27S>** ROWNUM=«1» message=«value» **</T4RXXXXG27S>**,O,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: вид транспорту
**<T4RXXXXG28S>** ROWNUM=«1» message=«value» **</T4RXXXXG28S>**,O,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: температурний режим
**<T4RXXXXG37S>** ROWNUM=«1» message=«value» **</T4RXXXXG37S>**,O,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: коментар
**<T4RXXXXG11S>** ROWNUM=«1» message=«value» **</T4RXXXXG11S>**,M,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: ідентифікаційний код (ЄДРПОУ) вантажоодержувача
**<T4RXXXXG12S>** ROWNUM=«1» message=«value» **</T4RXXXXG12S>**,M,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: найменування вантажоодержувача
**<T4RXXXXG13S>** ROWNUM=«1» message=«value» **</T4RXXXXG13S>**,M,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: адреса вантажоодержувача
**<T4RXXXXG21S>** ROWNUM=«1» message=«value» **</T4RXXXXG21S>**,M,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: адреса пункту навантаження
