Параметр,Обов'язкове / Необов'язкове поле, Формат, Опис
.. _ETTN_BODY:,О, Об'єкт **ETTN_BODY**,
TYPE,О,«CORE»,Тип документа (Основа)
STAKE,О,«ORIGINATOR»,Учасник-підписант (Вантажовідправник)
HFILL,О,String (YYYY-MM-DD),Дата товарно-транспортної накладної
HNUM,О,String,Номер товарно-транспортної накладної
DOCUMENT_PLACE,О,String,Місце складання
R01G1S,О,String,Марка автомобіля
R01G11S,Н,String,Модель автомобіля
R01G2S,О,String,Реєстраційний номер автомобіля
R01G3S,О,String,Тип автомобіля
R01G4S,О/Н,String,Марка причіпа/напівпричіпа. Поле обов'язково заповнюється за наявності причіпа/напівпричіпа.
R01G12S,Н,String,Модель причіпа/напівпричіпа
R01G5S,О/Н,String,Реєстраційний номер причіпа/напівпричіпа. Поле обов'язково заповнюється за наявності причіпа/напівпричіпа.
R01G6S,О/Н,String,Тип причіпа/напівпричіпа. Поле обов'язково заповнюється за наявності причіпа/напівпричіпа.
R01G7S,О/Н,String,Марка причіпа/напівпричіпа 2. Поле обов'язково заповнюється за наявності причіпа/напівпричіпа 2.
R01G13S,Н,String,Модель причіпа/напівпричіпа 2
R01G8S,О/Н,String,Реєстраційний номер причіпа/напівпричіпа 2. Поле обов'язково заповнюється за наявності причіпа/напівпричіпа 2.
R01G9S,О/Н,String,Тип причіпа/напівпричіпа 2. Поле обов'язково заповнюється за наявності причіпа/напівпричіпа 2.
R01G10S,О,String,Вид перевезень
R02G11S,О,String,Ідентифікаційний код Автомобільного перевізника
R02G1S,О,String,Повне найменування / ПІБ Автомобільного перевізника
R02G21S,О,String,Ідентифікаційний код Замовника
R02G2S,О,String,Повне найменування / ПІБ Замовника
R02G3S,О,String,Прізвище Водія
R02G31S,О,String,Ім'я Водія
R02G32S,О,String,По батькові Водія
R02G4S,О,String,Номер посвідчення Водія
HTIN,О,String,Ідентифікаційний код Вантажовідправника
HNAME,О,String,Повне найменування Вантажовідправника
HLOC,О,String,Місцезнаходження Вантажовідправника
R04G1S,О,String,Ідентифікаційний код Вантажоодержувача
R04G2S,О,String,Повне найменування Вантажоодержувача
R04G3S,О,String,"місцезнаходження вантажоодержувача (Місто, Адреса)"
R05G21,О,String,Код КОАТУУ / `КАТОТТГ <https://www.minregion.gov.ua/napryamki-diyalnosti/rozvytok-mistsevoho-samovryaduvannya/administratyvno/kodyfikator-administratyvno-terytorialnyh-odynycz-ta-terytorij-terytorialnyh-gromad/>`__ пункту навантаження
R05G2S,О,String,Місцезнаходження пункту навантаження
R05G41,О,String,Код КОАТУУ / `КАТОТТГ <https://www.minregion.gov.ua/napryamki-diyalnosti/rozvytok-mistsevoho-samovryaduvannya/administratyvno/kodyfikator-administratyvno-terytorialnyh-odynycz-ta-terytorij-terytorialnyh-gromad/>`__ пункту розвантаження
R05G4S,О,String,Місцезнаходження пункту розвантаження
R012G3S,О,String,Кількість місць (словами)
R013G1,О,double,"Маса брутто, кг (цифрами)"
R013G2S,О,String,"Маса брутто, кг (словами)"
R010G3S,О,String,"Усього відпущено на загальну суму(словами, з урахуванням ПДВ)"
R011G1,О,double,У тому числі ПДВ
R014G1S,О,String,Супровідні документи на вантаж
SEAL_NO,Н,String,Номер пломби
TEMPERATURE,Н,String,Температурний режим
T1RXXXXG81S,О,List<RXXType_>,масив; таблична частина: найменування вантажу (номер контейнера)
T1RXXXXG82,Н,List<RXXType_>,поле повинно передаватись і містити масив з об'єктом з заповненим ROWNUM; таблична частина: клас небезпечних речовин
T1RXXXXG9S,Н,List<RXXType_>,поле повинно передаватись і містити масив з об'єктом з заповненим ROWNUM; таблична частина: одиниця виміру
T1RXXXXG10,Н,List<RXXType_>,поле повинно передаватись і містити масив з об'єктом з заповненим ROWNUM; таблична частина: кількість місць
T1RXXXXG11,Н,List<RXXType_>,"поле повинно передаватись і містити масив з об'єктом з заповненим ROWNUM; таблична частина: ціна без ПДВ за одиницю, грн"
T1RXXXXG12,Н,List<RXXType_>,"поле повинно передаватись і містити масив з об'єктом з заповненим ROWNUM; таблична частина: загальна сума з ПДВ, грн"
T1RXXXXG13S,Н,List<RXXType_>,поле повинно передаватись і містити масив з об'єктом з заповненим ROWNUM; таблична частина: вид пакування
T1RXXXXG14S,Н,List<RXXType_>,поле повинно передаватись і містити масив з об'єктом з заповненим ROWNUM; таблична частина: документи з вантажем
T1RXXXXG15,О,List<RXXType_>,"масив; таблична частина: маса брутто, кг"
R001G10,О,double,Усього кількість місць
R001G12,О,double,"Усього загальна сума з ПДВ, грн"
R08G2,О,double,"Маса брутто, кг в пункті навантаження"
DATE_ARRIVAL_LOAD,О,String (YYYY-MM-DD),Дата прибуття
R08G31,О,int,"Час прибуття, (год)"
R08G32,О,int,"Час прибуття, (хв)"
DATE_DEPARTURE_LOAD,О,String (YYYY-MM-DD),Дата вибуття
R08G41,О,int,"Час вибуття, (год)"
R08G42,О,int,"Час вибуття, (хв)"
R08G51,О,int,"Час простою, (год)"
R08G52,О,int,"Час простою, (хв)"
R017G11S,О,String,Посада відповідальної особи Вантажовідпраника
R017G1S,О,String,П.І.Б. відповідальної особи Вантажовідпраника
DECLARBODY_ORIGINATOR_SECURITY,Н,DECLAR_SECURITY_,"Спеціальна охорона вантажу. Прізвище, ім'я, по батькові представника Замовника та документ, згідно з яким він уповноважений супроводжувати вантаж, який підлягає спеціальній охороні"
