Розділ,Група,Найменування
01,"Продукція сільського господарства, мисливства та лісового господарства; риба та інша продукція рибальства",
,01.1,Зернові
,01.2,Картопля
,01.3,Цукрові буряки
,01.4,Інші свіжі овочі та фрукти
,01.5,Продукція лісового господарства та лісозаготівель
,01.6,Живі рослини та квіти
,01.7,Інша продукція рослинного походження
,01.8,Живі тварини
,01.9,"Сире коров'яче, овече й козяче молоко"
,01.А,Інша сировина тваринного походження
,01.В,Риба та інша продукція рибальства
02,Кам’яне і буре вугілля; сира нафта та природний газ,
,02.1,Кам’яне і буре вугілля
,02.2,Сира нафта
,02.3,Природний газ
03,Руди металеві та інша продукція добувної промисловості та розроблення кар’єрів; торф; уранові та торієві руди,
,03.1,Руди залізні
,03.2,Руди кольорових металів (крім руд уранових і торієвих)
,03.3,Мінеральна сировина для хімічної промисловості та виробництва природних добрив
,03.4,Сіль
,03.5,"Камінь, пісок, гравій, глина, торф та інша продукція добувної промисловості та розроблення кар’єрів, не віднесена до інших угруповань"
,03.6,Уранові та торієві руди
04,"Харчові продукти, напої та тютюнові вироби",
,04.1,"М’ясо, шкури сирі та продукти м’ясні"
,04.2,"Риба та рибні продукти, перероблені та
консервовані"
,04.3,"Фрукти й овочі перероблені та
консервовані"
,04.4,Олії та тваринні жири
,04.5,Молочні продукти і морозиво
,04.6,"Продукція борошномельно-круп’яної промисловості, крохмалі, продукти крохмальні та готові корми для тварин"
,04.7,Напої
,04.8,"Інші харчові продукти, не віднесені до інших угруповань, тютюнові вироби (крім упакованих та згрупованих)"
,04.9,"Будь-які харчові продукти та тютюнові вироби, упаковані та згруповані"
05,Текстиль та вироби текстильні; шкіра та вироби зі шкіри,
,05.1,Текстиль
,05.2,Одяг та вироби з хутра
,05.3,Шкіра та вироби зі шкіри
06,"Деревина та вироби з деревини та корка (крім меблів); вироби з соломки та матеріалів рослинних для плетіння; целюлоза, папір і вироби з паперу; друковані матеріали й записані носії інформації",
,06.1,Деревина та вироби з деревини та корка (крім меблів)
,06.2,"Маса паперова, папір та вироби з паперу"
,06.3,Друковані матеріали і записані носії інформації
07,,Кокс і продукти нафтоперероблення
,07.1,"Кокс і коксопродукти; брикети, котуни та подібні види твердого палива"
,07.2,Рідкі продукти переробки нафти
,07.3,"Газоподібні продукти переробки нафти, зріджені або стиснені"
,07.4,Тверді або віскоподібні продукти переробки нафти
08,"Речовини та продукти хімічні, волокна штучні та синтетичні; вироби гумові та пластмасові; паливо ядерне",
,08.1,Речовини мінеральні хімічні основні
,08.2,Речовини органічні хімічні основні
,08.3,Сполуки азотні та добрива (крім природних добрив)
,08.4,Сполуки азотні та добрива (крім природних добрив)
