Код виду упаковки,Найменування видів упаковок українською мовою,Найменування видів упаковок англійською мовою,Примітки
43,"Мішок великий, для товарів великого розміру, навалом","Bag, super bulk","Мішок з тканевою, поліетиленовою або паперовою основою, що має розміри піддону, на якому він розміщений"
44,Мішок поліетиленовий,"Bag, polybag","Мішок, який звичайно використовується для упаковування рекламних продуктів, друкованої продукції, зразків та/або каталогів"
1A,Барабан сталевий,"Drum, steel",
1B,Барабан з алюмінію,"Drum, aluminium",
1D,Барабан з фанери,"Drum, plywood",
1F,"Контейнер, гнучкий","Container, flexible",Упаковочний контейнер гнучкої конструкції
1G,Барабан фібровий,"Drum, fibre",
1W,Барабан з дерева,"Drum, wooden",
2C,Бочка дерев'яна,"Barrel, wooden",
3A,Каністра сталева,"Jerrycan, steel",
3H,Каністра з пластику,"Jerrycan, plastic",
4A,Коробка сталева,"Box, steel",
4B,Коробка алюмінієва,Box aluminium,
4C,Коробка з натуральної деревини,"Box, natural wood",
4D,Коробка з фанери,"Box, plywood",
4F,Коробка з деревинного матеріалу,"Box, reconstituted wood",
4G,Коробка з фібрового картону,"Box, fibreboard",
4H,Коробка з пластику,"Box, plastic",
5H,Мішок з пластикової тканини,"Bag, woven plastic",
5L,Мішок текстильний,"Bag, textile",
5M,Мішок паперовий,"Bag, paper",
6H,"Комбіноване пакування, пластикова ємність","Composite packaging, plastic receptacle",
6P,"Комбіноване пакування, скляна ємність","Composite packaging, glass receptacle",
7A,Ящик автомобільний,"Case, car",Портативний контейнер для зберігання обладнання при транспортуванні в автомобілі
7B,Ящик дерев'яний,"Case, wooden",Виготовлений з дерева ящик для зберігання речовин або предметів
8A,Піддон/палет дерев'яний,"Pallet, wooden","Платформа або коробка з відкритим верхом, виготовлена з дерева, на якій розміщуються товари для спрощення виконання автоматизованих операцій під час транспортування та зберігання"
8B,"Ящик решітчастий, дерев'яний","Crate, wooden","Дерев'яний ящик, в якому розміщуються товари для спрощення виконання автоматизованих операцій під час транспортування та зберігання"
8C,Зв'язка дерев'яна,"Bundle, wooden","Незкріплені або неупаковані частини деревини, зв'язані або загорнуті разом"
AA,Контейнер середньої вантажопідйомності для масових вантажів з твердого пластику,"Intermediate bulk container, rigid plastic",
AB,Посудина з волокна,"Receptacle, fibre","Захисна оболонка, виготовлена з фіброволокна для зберігання речовин або предметів"
AC,Посудина паперова,"Receptacle, paper","Захисна оболонка, виготовлена з паперу для зберігання речовин або предметів"
AD,Посудина дерев'яна,"Receptacle, wooden","Захисна оболонка, виготовлена з дерева, для зберігання речовин або предметів"
AE,Аерозольний балон,Aerosol,"Спрей для дозування краски, засобів для поліровки меблів та ін. під тиском"
AF,Піддон/палет модульний з обичайкою розміром 80 см на 60 см,"Pallet, modular, collars 80 cm х 60 cm",Піддон стандартного розміру 80 см на 60 см
AG,Піддон/палет у термоусадочній плівці,"Pallet, shrink-wrapped",Вантаж на піддоні щільно обгорнутий прозорою пластиковою плівкою
AH,Піддон/палет розміром 100 см на 110 см,"Pallet, 100 cm x 110 cm",Піддон стандартного розміру 100 см на 110 см
AI,Грейферний ковш,Clamshell,
AJ,Кульок,Cone,"Ємність, яка використовується для транспортування матеріалів, таких як пряжа"
AL,Куля,Ball,Сферична захисна оболонка для зберігання речовин та предметів
AM,Ампула незахищена,"Ampoule, non-protected",
AP,Ампула захищена,"Ampoule, protected",
AT,Пульверизатор,Atomizer,"Пристрій, що утворює дрібні бризки, який використовується у парфумерії, медицині"
AV,Капсула,Capsule,
B4,Стрічка,Belt,"Стрічка, яка використовується для зберігання разом окремих предметів"
BA,Бочка/барель,Barrel,Дерев'яний або пластиковий контейнер з дещо опуклими боками та торцями
BB,Бобіна,Bobbin,
BC,Решітчастий ящик/підставка для пляшок,Bottlecrate/bottlerack,
BD,Дошка,Board,
BE,Зв'язка,Bundle,"Група предметів, згрупована разом шляхом зв'язування"
BF,Балон незахищений,"Balloon, non-protected",
BG,Мішок,Bag,"М'яка оболонка з тканини, паперу, пластику та ін., з отвором у верхній частині, який може бути закритий"
BH,Пучок,Bunch,
BI,Бункер,Bin,
BJ,"Баддя, цебро",Bucket,"Контейнер з ручкою, що використовується для перевезення води, майонезу та ін."
BK,Кошик,Basket,
BL,Стос компактний,"Bale, compressed","Великий вузол, як з бавовни, сіна, соломи, спресований або зв'язаний"
BM,Таз,Basin,Глибокий відкритий контейнер
BN,Стос некомпактний,"Bale, non-compressed","Великий вузол, як з бавовни, сіна, соломи, не спресований або не зв'язаний"
BO,"Пляшка незахищена, циліндрична","Bottle, non-protected, cylindrical","Циліндрична посудина з вузьким горлечком без зовнішнього захисного пакувального матеріалу. Зазвичай виробляється з скла або пластику, особливо для рідин"
BP,Балон захищений,"Balloon, protected",
BQ,"Пляшка захищена, циліндрична","Bottle, protected, cylindrical","Циліндрична посудина з вузьким горлечком із зовнішнім захисним пакувальним матеріалом. Зазвичай виробляється зі скла або пластика, особливо для рідин"
BR,Брусок,Bar,
BS,"Пляшка незахищена, опукла","Bottle, non-protected, bulbous",Опукла посудина з вузьким горлечком без зовнішнього захисного пакувального матеріалу
BT,Рулон,Bolt,
BU,Діжка пивна,Butt,Велика діжка для зберігання або переміщення рідин
BV,"Пляшка захищена, опукла","Bottle, protected, bulbous",Опукла посудина з вузьким горлечком із зовнішнім захисним пакувальним матеріалом
BW,Коробка для рідин,"Box, for liquids",
BX,Коробка,Box,"Пакунок з кришкою з картону, пластику, олова та ін."
BY,Дошка у зв'язці/пакеті/штабелі,"Board, in bundle/bunch/truss",
BZ,Бруски у зв'язці/пакеті/штабелі,"Bars, in bundle/bunch/truss",
CA,Банка прямокутна,"Can, rectangular",
CB,Пивний ящик,"Crate, beer",
CC,Фляга,Churn,
CD,Жерстяна банка з ручкою та випускним отвором,"Can, with handle and spot",
CE,Рибацький кошик великий плетений,Creel,
CF,Кофр,Coffer,
CG,Клітка,Cage,Клітка без коліс
CH,Скриня,Chest,
CI,Каністра,Canister,
CJ,Труна,Coffin,
CK,Діжка середня пивна,Cask,
CL,Бухта (моток),Coil,
CM,Кардна стрічка,Card,"Плоске пакування, звичайно виготовлене з листа фібрового картону, на який прикріплено товар"
CN,"Контейнер, не віднесений до переліченого транспортувального обладнання","Container, not otherwise specified as transport equipment","Ємність, у якій щось зберігається для транспортування"
CO,"Сулія оплетена, незахищена","Carboy, non-protected",
CP,"Сулія оплетена, захищена","Carboy, protected",
CQ,Картридж-касета,Cartridge,"Пакування, що містить таке наповнення, як заряд для вогнепальної зброї або тонер для принтера"
CR,Ящик решітчастий (кліть),Crate,
CS,Ящик,Case,
CT,Коробка картонна,Carton,
CU,Чашка,Cup,
CV,Футляр,Cover,
CW,Клітка з вальцями,"Cage, roll",Клітка на колесах
CX,Банка циліндрична,"Can, cylindrical",
CY,Циліндр,Cylinder,
CZ,Брезент,Canvas,
DA,"Ящик решітчастий, багатошаровий пластиковий","Crate, multiple layer, plastic",
DB,"Ящик решітчастий, багатошаровий, з дерева","Crate, multiple layer, wooden",
DC,"Ящик решітчастий багатошаровий, картонний","Crate, multiple layer, cardboard",
DG,"Клітка, Загальний фонд транспортувального обладнання","Cage, Commonwealth Handling Equipment Pool (CHEP)",
DH,"Коробка (багатообертова) з Загального фонду транспортувального обладнання ЄС, Єврокоробка","Box, Commonwealth Handling Equipment Pool (CHEP) Eurobox","Коробка, розміщена на піддон, під контролем Загального фонду транспортувального обладнання"
DI,Барабан залізний,"Drum, iron",
DJ,"Деміджон оплетений, незахищений","Demijohn, non-protected","Велика опукла оплетена незахищена іншим чином посудина з вузьким горлечком, виготовлена зі скла, для транспортування рідин"
DK,"Ящик решітчастий, для масових вантажів, з картону","Crate, bulk, cardboard",
DL,"Ящик решітчастий, для масових вантажів, пластиковий","Crate, bulk, plastic",
DM,"Ящик решітчастий, для масових вантажів, з дерева","Crate, bulk, wooden",
DN,Дозатор,Dispenser,
DP,"Деміджон оплетений, захищений",Demijohn protected,"Велика опукла оплетена захищена посудина з вузьким горлечком, виготовлена зі скла, для транспортування рідин"
DR,Барабан,Drum,
DS,"Лоток одношаровий без покриття, пластиковий","Tray, one layer no cover, plastic",
DT,"Лоток одношаровий без покриття, дерев'яний","Tray, one layer no cover, wooden",
DU,"Лоток одношаровий без покриття, з полістиролу","Tray, one layer no cover, polystyrene",
DV,"Лоток одношаровий без покриття, картонний","Tray, one layer no cover, cardboard",
DW,"Лоток двошаровий без покриття, пластиковий","Tray, two layers no cover, plastic tray",
DX,"Лоток двошаровий без покриття, дерев'яний","Tray, two layers no cover, wooden",
DY,"Лоток двошаровий без покриття, картонний","Tray, two layers no cover, cardboard",
EC,Мішок пластиковий,"Bag, plastics",
ED,Ящик з піддоном,"Case, with pallet base",
EE,"Ящик з піддоном, дерев'яний","Case, with pallet base, wooden",
EF,"Ящик з піддоном, картонний","Case, with pallet base, cardboard",
EG,"Ящик з піддоном, пластиковий","Case, with pallet base, plastic",
EH,"Ящик з піддоном, металевий","Case, with pallet base, metal",
EI,Ящик ізотермічний,"Case, isothermic",
EN,Конверт,Envelope,"Контейнер, що виготовлений з паперу або пластика"
FB,М'який мішок,Flexibag,"Пакувальний мішок еластичний, пластиковий, призначений, як правило, для транспортування наливних безпечних вантажів з використанням контейнерів стандартних розмірів"
FC,Ящик решітчатий для фруктів,"Crate, fruit",
FD,Рама каркасу,"Crate, framed",
FE,"М'який мішок, гнучка цистерна","Flexitank, Flexibag","М'яка цистерна, виготовлена з пластику, призначена, як правило, для транспортування наливних безпечних вантажів з використанням контейнерів стандартних розмірів"
FI,Бочка мала,Firkin,
FL,Колба,Flask,
FO,Рундук,Footlocker,
FP,Касета для плівки,Filmpack,
FR,Каркас,Frame,
FT,Контейнер продуктовий,Foodtainer,
FW,"Візок, безбортовий","Cart, flatbed","Колісний пристрій з плоскою платформою, на якій встановлюються лотки або інші предмети стандартної форми для цілей транспортування"
FX,"Мішок, гнучкий контейнер","Bag, flexible container",
GB,Газовий балон,"Bottle, gas",Металічний циліндр з вузьким горлечком для зберігання зрідженого або стисненого газу
GI,Брус,Girder,
GL,"Контейнер, галон","Container, gallon",Контейнер місткістю один галон
GR,Резервуар скляний,"Receptacle, glass",Скляна посудина для зберігання речовин або предметів
GU,Лоток з плоскими горізонтально вкладеними елементами,"Tray, containing horizontally stacked flat items","Піддон, який містить плоскі предмети, горизонтально розміщені один на одному"
GY,Мішок з мішковини,"Bag, gunny","Мішок, виготовлений з рогожі або мішковини, який використовується для транспортування необроблених предметів, таких як зерно, картопля та інших сільськогосподарських продуктів"
GZ,Бруси у зв'язці/пакеті/штабелі,"Girders, in bundle/bunch/truss",
HA,"Корзина з ручками, пластикова","Basket, with handle, plastic",
HB,"Корзина з ручками, дерев'яна","Basket, with handle, wooden",
HC,"Корзина з ручками, картонна","Basket, with handle, cardboard",
HG,Бочка велика,Hogshead,
HN,Гак,Hanger,"Пристрій певної форми з гачком зверху для утримування предметів, що підвішуються на рейці"
HR,Кошик з кришкою,Hamper,
IA,"Пакунок демонстраційний, дерев'яний","Package, display, wooden",
IB,"Пакунок демонстраційний, картонний","Package, display, cardboard",
IC,"Пакунок демонстраційний, пластиковий","Package, display, plastic",
ID,"Пакунок демонстраційний, металевий","Package, display, metal",
IE,Пакунок виставковий,"Package, show",
IF,"Пакунок, випресований","Package, flow","М'який пакет, що облягає товар, у формі трубки, можливо прозорий, зазвичай використовується для пакування продуктів харчування (наприклад, ковбаси)."
IG,Пакунок у загортальному папері,"Package, paper wrapped",
IH,Барабан з пластику,"Drum, plastic",
