Code,Name,Description,,Назва укр.,Опис укр.
AA,Party to be billed (AAR Accounting rule 11),Party to be billed in accordance with AAR Accounting rule 11.,,"Сторона, якій виставляється рахунок (Правило обліку AAR 11)","Сторона, якій виставляється рахунок згідно з правилом обліку AAR 11."
AB,Buyer's agent/representative,Third party who arranged the purchase of merchandise on behalf of the actual buyer.,,Агент/представник покупця,"Третя сторона, яка організувала купівлю товару від імені фактичного покупця."
AE,Declarant's agent/representative ,"Any natural or legal person who makes a declaration to an official body on behalf of another natural or legal person, where legally permitted (CCC).",,Агент/представник декларанта,"Будь -яка фізична або юридична особа, яка подає декларацію до офіційного органу від імені іншої фізичної чи юридичної особи, якщо це дозволено законом (CCC)."
AF,Transit principal ,Natural or legal person responsible for the satisfactory performance of a Customs transit operation. Source: CCC.,,"Довіритель транзиту
","Фізична або юридична особа, відповідальна за задовільне виконання операції митного транзиту. Джерело: CCC."
AG,Agent ,(3196) Party authorized to act on behalf of another party. Synonym: Representative.,,Агент,"(3196) Сторона, уповноважена діяти від імені іншої сторони. Синонім: представник."
AH,Transit principal's agent/representative,Agent acting on behalf of the transit principal (CCC).,,Агент транспортного довірителя/представник,"Агент, що діє від імені транспортного довірителя (CCC)."
AI,Successful job applicant,Person who has been chosen for a job.,,Успішний претендент на роботу,"Особа, обрана для роботи."
AJ,Party issuing mutually agreed codes ,The party which has issued all mutually agreed codes used in the message.,,"Сторона, що видає взаємно узгоджені коди","Сторона, яка видала всі взаємно узгоджені коди, що використовуються у повідомленні."
AK,Acknowledgement recipient ,Party to whom acknowledgement should be sent.,,"Одержувач підтвердження
","Сторона, якій слід надіслати підтвердження."
AL,Principal responsible party," (3340) Party accepting liability for goods held or moving (e.g. transit) under a Customs authorization and
- when applicable - a guarantee.",,Основна відповідальна сторона,"(3340) Сторона, що бере на себе відповідальність за товари, що утримуються або переміщуються (наприклад, у режимі транзиту) згідно з митним дозволом та - якщо це можливо - гарантією."
AM,Authorized official ,Employee of a company or firm authorized to act on behalf of that company or firm e.g. to make a Customs declaration.,,Уповноважена посадова особа,"Працівник компанії чи фірми, уповноважений діяти від імені цієї компанії чи фірми, наприклад скласти митну декларацію."
AN,Approved importer ,Person or company which is authorised by the relevant Customs authority to import goods without payment all taxes or specific taxes at the point of entry into the country.,,Схвалений імпортер,"Особа або компанія, яка уповноважена відповідним митним органом імпортувати товари без сплати всіх податків або окремих податків у пункті в'їзду в країну."
AO,Account of ,Party account is assigned to.,,Рахунок,"Сторона, якій присвоєно рахунок"
AP,Accepting party ,"(3336) Party accepting goods, products, services, etc.",,"Сторона, що приймає","(3336) Сторона, яка приймає товари, продукти, послуги тощо."
AQ,Approved consignor ,Person or company approved by the relevant authority in the country to pack and export specific goods under Customs supervision.,,Затверджений вантажовідправник,"Особа або компанія, підтверджена відповідним органом країни для пакування та експорту конкретних товарів під митним наглядом."
AR,Authorized exporter ,Exporter authorized/approved by Customs for special Customs procedures e.g. simplified procedure.,,"Уповноважений експортер
","Експортер, уповноважений/схвалений митницею для спеціальних митних процедур, наприклад спрощеної процедури."
AS,Account servicing financial institution , Identifies the financial institution servicing the account(s).,,"Фінансова установа, що обслуговує рахунки","Ідентифікує фінансову установу, що обслуговує рахунки."
AT,Authorized importer,Importer authorized/approved by Customs for special Customs procedures e.g. simplified procedure.,,Уповноважений імпортер,"Імпортер, уповноважений/схвалений митницею для спеціальних митних процедур, наприклад спрощеної процедури."
AU,Authorized trader (transit),Trader authorized/approved by Customs for special transit procedures e.g. simplified procedure.,,Уповноважений торговець (транзит),"Торговець, уповноважений/схвалений митницею для спеціальних транзитних процедур, наприклад спрощеної процедури."
AV,Authorizing official,Party that has delegated the authority to take a certain action on behalf of a company or agency.,,Уповноважена особа,"Сторона, якій делеговані повноваження вчиняти певні дії від імені компанії чи агентства."
AW,Applicant's bank,(3234) Financial institution which is requested to issue the documentary credit.,,Банк заявника,"(3234) Фінансова установа, від якої вимагається видача документарного кредиту."
AX,Authenticating party,Party which certifies that a document is authentic.,,Аутентифікуюча сторона,"Сторона, яка засвідчує справжність документа."
AY,Animal being investigated,Animal being investigated.,,"Тварина, що досліджується","Тварина, що досліджується."
AZ,Issuing bank,"[3320] Financial institution which issues the documentary credit, if the applicant's bank is not acting as the issuing bank.",,Банк-емітент,"[3320] Фінансова установа, яка видає документарний кредит, якщо банк-заявник не діє як банк-емітент."
B1,Contact bank 1,Identifies an additional bank which must be informed of certain aspects of the message.,,Банк для зв'язку 1,"Визначає додатковий банк, який повинен бути проінформований про певні аспекти повідомлення."
B2,Contact bank 2,Identifies an additional bank which must be informed of certain aspects of the message.,,Банк для зв'язку 2,"Визначає додатковий банк, який повинен бути проінформований про певні аспекти повідомлення."
BA,Booking agent,Party acting as a booking office for transport and forwarding services.,,Агент з бронювання,"Сторона, яка діє як офіс з бронювання транспортно-експедиторських послуг."
BB,Buyer bank identification,[3421]To identify a bank employed by the buyer to make a payment.,,Ідентифікатор банку покупця,"[3421] Для визначення банку, найманого покупцем для здійснення платежу."
BC,Negotiating bank,Financial institution to whom a negotiable documentary credit is directed.,,Договірний банк,"Фінансова установа, якій надається договірний документарний кредит."
BD,Documentary credit reimbursing bank,[3350] A financial institution which reimburses documentary credit.,,"Банк, що відшкодовує документарні кредити","[3350] Фінансова установа, що відшкодовує документарний кредит."
