Назва поля,Тип [1]_,Формат,Опис
**UAECMR**,M,,(початок документа)
**eCMR**,M,,(початок змісту документа)
**ExchangedDocumentContext**,M,,Технічні дані (початок блоку)
ram:SpecifiedTransactionID,M,string,Номер версії документа (транзакції) в ланцюгу підписання документів
**ram:BusinessProcessSpecifiedDocumentContextParameter**,M,,"параметр контексту документа, визначений бізнес-процесом (початок блоку)"
ram:ID,M,string,код документа
**ram:BusinessProcessSpecifiedDocumentContextParameter**,,,"параметр контексту документа, визначений бізнес-процесом (закінчення блоку)"
**ram:GuidelineSpecifiedDocumentContextParameter**,M,,"параметр контексту визначеного документа (початок блоку)"
ram:ID,M,unsignedByte,підтип документа. Тип е-ТТН залежно від виду вантажу: основний (001 - generic (default))
**ram:GuidelineSpecifiedDocumentContextParameter**,,,"параметр контексту визначеного документа (закінчення блоку)"
**ExchangedDocumentContext**,,,Технічні дані (закінчення блоку)
**ExchangedDocument**,M,,Реквізити ТТН (початок блоку)
ram:ID,M,string,порядковий номер (серія) документа ТТН
**ram:IssueDateTime**,M,,Дата і час складання документа (виписування ТТН) (початок блоку)
**udt:DateTime**,,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата і час складання документа (виписування ТТН)
**ram:IssueDateTime**,,,Дата і час складання документа (виписування ТТН) (закінчення блоку)
ram:Remarks,O,string,Ремарки
**ram:IncludedNote**,O,,Додані записи (початок блоку)
**ram:ContentCode**,M,,Контент запису (початок блоку)
listAgencyID,M,String,"Ідентифікатор:

* transportation_max_temperature (Максимальна температура під час перевезення)
* logger_return (Повернення логера)
* logistic_unit_number_with_logger (Номер логістичної одиниці з термологером)
* gps_number (Номер GPS)
* logger_number (Номер термологера).

Ідентифікатори logistic_unit_number_with_logger / gps_number / logger_number вказуються контрагентом з роллю «Вантажовідправник». Ідентифікатори transportation_max_temperature та logger_return вказуються контрагентом з роллю «Вантажоодержувач»"
value,M,"* для transportation_max_temperature = Число (3)
* для logger_return = «Так» / «Ні»
* для logistic_unit_number_with_logger = Рядок
* для gps_number = Рядок
* для logger_number = Рядок",значення ідентифікатора
**ram:ContentCode**,,,Контент запису (закінчення блоку)
ram:Content,M,String,Код ролі учасника. `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:IncludedNote**,,,Додані записи (закінчення блоку)
**ram:IssueLogisticsLocation**,M,,Місце складання документа (початок блоку)
ram:Name,M,string,Найменування місця складання ТТН
ram:Description,M,string,Опис (адреса) місця складання ТТН
**ram:IssueLogisticsLocation**,,,Місце складання документа (закінчення блоку)
**ExchangedDocument**,,,Реквізити ТТН (закінчення блоку)
**SpecifiedSupplyChainConsignment**,M,,Інформація про перевезення (початок блоку)
**ram:GrossWeightMeasure**,M,,"Загальна вага перевезення (маса брутто) в кг (початок блоку)"
unitCode,M,string,`Код одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
value,M,decimal,Значення
