Назва поля,Тип [1]_,Формат,Опис
**UAECMR_ACT**,M,,(початок документа)
**ACT**,M,,(початок змісту документа)
**ExchangedDocumentContext**,M,,Технічні дані (початок блоку)
ram:SpecifiedTransactionID,M,string,Номер версії документа (транзакції) в ланцюгу підписання документів
**ram:BusinessProcessSpecifiedDocumentContextParameter**,M,,"параметр контексту документа, визначений бізнес-процесом (початок блоку)"
ram:ID,M,string,код документа
**ram:BusinessProcessSpecifiedDocumentContextParameter**,,,"параметр контексту документа, визначений бізнес-процесом (закінчення блоку)"
**ram:GuidelineSpecifiedDocumentContextParameter**,M,,"параметр контексту визначеного документа (початок блоку)"
ram:ID,M,unsignedByte,підтип документа
**ram:GuidelineSpecifiedDocumentContextParameter**,,,"параметр контексту визначеного документа (закінчення блоку)"
**ExchangedDocumentContext**,,,Технічні дані (закінчення блоку)
**ExchangedDocument**,M,,Реквізити Акта (початок блоку)
ram:ID,M,string,номер документа
**ram:IssueDateTime**,M,,Дата і час складання документа (початок блоку)
**udt:DateTime**,,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата і час складання Акта
**ram:IssueDateTime**,,,Дата і час складання документа (закінчення блоку)
ram:Remarks,O,string,Інші примітки
**ram:IssueLogisticsLocation**,M,,Місце складання документа (початок блоку)
ram:Name,M,string,Найменування місця складання Акта
ram:Description,M,string,Опис (адреса) місця складання Акта
**ram:IssueLogisticsLocation**,,,Місце складання документа (закінчення блоку)
**ExchangedDocument**,,,Реквізити Акта (закінчення блоку)
**ResealingActPayload**,M,,Інформація про Акт (початок блоку)
**PreviousAdministrativeReferencedDocument**,M,,"Інформація про е-ТТН, для якої складається акт (початок блоку)"
ram:TypeCode,M,string,Тип документа (730 - ТТН). `Довідник кодів документів <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:ID,M,string,Номер документа-підстави (ТТН); має відповідати номеру документа ExchangedDocument.ID еТТН
**ram:FormattedIssueDateTime**,M,,Дата документа-підстави (ТТН); має відповідати даті документа ExchangedDocument.IssueDateTime еТТН (початок блоку)
qdt:DateTimeString,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час документа-підстави (ТТН)
**ram:FormattedIssueDateTime**,,,Дата документа-підстави (ТТН); має відповідати даті документа ExchangedDocument.IssueDateTime еТТН (закінчення блоку)
**ram:AttachedSpecifiedBinaryFile**,M,,"Дані е-ТТН, для якої складається акт (початок блоку)"
ram:ID,M,string,Ідентифікатор (guid) документа-підстави (ТТН); має відповідати document.id еТТН в ЦБД (значення **ettnId** з методу `Отримання списку подій з ЦБД  <https://wiki.edin.ua/uk/latest/API_ETTNv3_1/Methods/MintransEvents.html>`__ = значення **external_doc_id** `Отримання мета-даних документа <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/GetDocument.html>`__)
ram:URIID,O,string,посилання на документ
ram:MIMECode,O,string,`MIME типізація <https://uk.wikipedia.org/wiki/MIME_%D1%82%D0%B8%D0%BF>`__
ram:SizeMeasure,O,long,розмір файлу в байтах
**ram:AttachedSpecifiedBinaryFile**,,,"Дані е-ТТН, для якої складається акт (закінчення блоку)"
**PreviousAdministrativeReferencedDocument**,,,"Інформація про е-ТТН, для якої складається акт (закінчення блоку)"
**PreviousAdministrativeReferencedDocument**,-/M,,"Інформація про попередній акт, у випадку наступної транзакції (початок блоку)"
ram:TypeCode,M,string,Тип документа. `Довідник кодів документів <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:ID,M,string,Номер документа-підстави (Акт); має відповідати номеру документа ExchangedDocument.ID Акта
**ram:FormattedIssueDateTime**,M,,Дата документа-підстави (Акт); має відповідати даті документа ExchangedDocument.IssueDateTime Акта (початок блоку)
qdt:DateTimeString,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час документа-підстави (Акта)
**ram:FormattedIssueDateTime**,,,Дата документа-підстави (Акта); має відповідати даті документа ExchangedDocument.IssueDateTime Акта (закінчення блоку)
**PreviousAdministrativeReferencedDocument**,,,"Інформація про попередній акт, у випадку наступної транзакції (закінчення блоку)"
**CustomerTradeParty**,M,,"Замовник (початок блоку)"
**ram:ID**,M,,"Ідентифікаційний код Замовника (початок блоку)"
schemeAgencyID,M,string,ЄДРПОУ
value,M,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код Замовника (закінчення блоку)"
ram:Name,M,string,"Повне найменування Замовника"
ram:RoleCode,M,string,Роль учасника (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:SpecifiedGovernmentRegistration**,M,,GLN Замовника (початок блоку)
ram:ID,M/O,string,"GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
ram:TypeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,GLN Замовника (закінчення блоку)
**CustomerTradeParty**,,,"Замовник (закінчення блоку)"
**CarrierTradeParty**,M,,"Перевізник (початок блоку)"
**ram:ID**,M,,"Ідентифікаційний код Перевізника (початок блоку)"
schemeAgencyID,M,string,ЄДРПОУ
value,M,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код Перевізника (закінчення блоку)"
ram:Name,M,string,"Повне найменування Перевізника"
ram:RoleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:SpecifiedGovernmentRegistration**,M,,Посвідчення Водія / GLN Водія / GLN компанії-учасника (початок блоку)
ram:ID,M/O,string,"* Серія та номер водійського посвідчення Водія (поле обов'язкове до заповнення). Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``
* для ram:TypeCode=DRIVER_GLN - GLN Водія (поле опціональне до заповнення)
* для ram:TypeCode=TRADEPARTY_GLN - GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
ram:TypeCode,O,string,"Код типу:

* DRIVER_GLN
* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,Посвідчення Водія / GLN Водія / GLN компанії-учасника (закінчення блоку)
**CarrierTradeParty**,,,"Перевізник (закінчення блоку)"
**OriginalUtilizedLogisticsTransportEquipment**,M,,"Автомобіль, що розвантажується (початок блоку)"
ram:ID,M,string,"Реєстраційний номер автомобіля згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
**ram:AffixedLogisticsSeal**,M,,Номер пломби (автомобіль) (початок блоку)
ram:ID,M,string,"Відбиток пломби, якою проводилося пломбування автомобіля"
**ram:AffixedLogisticsSeal**,,,Номер пломби (автомобіль) (закінчення блоку)
**ram:SettingTransportSettingTemperature**,O,,Інструкції з експлуатації (початок блоку)
**ram:MinimumValueMeasure**,O,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим від (початок блоку)"
unitCode,O,string,код одиниці виміру (CEL)
value,O,decimal,"Значення"
**ram:MinimumValueMeasure**,,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим від (закінчення блоку)"
**ram:MaximumValueMeasure**,O,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим до (початок блоку)"
unitCode,O,string,код одиниці виміру (CEL)
value,O,decimal,"Значення"
**ram:MaximumValueMeasure**,,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим до (закінчення блоку)"
**ram:SettingTransportSettingTemperature**,,,Інструкції з експлуатації (закінчення блоку)
**ram:ApplicableNote** (з кодом BRAND),M,,Марка автомобіля (початок блоку)
ram:ContentCode,M,string,Код BRAND
ram:Content,M,string,Марка автомобіля згідно з техпаспортом
**ram:ApplicableNote** (з кодом BRAND),,,Марка автомобіля (закінчення блоку)
**ram:ApplicableNote** (з кодом MODEL),M,,Модель автомобіля (початок блоку)
ram:ContentCode,M,string,Код MODEL
ram:Content,M,string,Модель автомобіля згідно з техпаспортом
**ram:ApplicableNote** (з кодом MODEL),,,Модель автомобіля (закінчення блоку)
**OriginalUtilizedLogisticsTransportEquipment**,,,"Автомобіль, що розвантажується (закінчення блоку)"
**OriginalUtilizedLogisticsTransportEquipment** (CategoryCode=TE),O,,"Причіп/напівпричіп, що розвантажується (початок блоку)"
ram:ID,O,string,"Реєстраційний номер причіпа/напівпричіпа згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
ram:CategoryCode,O,string,Код TE - Причіп/напівпричіп
ram:CharacteristicCode,O,string,"Код визначення Причіп/напівпричіп:

* 14 - Причіп
* 17 - Напівпричіп"
**ram:AffixedLogisticsSeal**,O,,Номер пломби (причіпа/напівпричіпа) (початок блоку)
ram:ID,O,string,"Відбиток пломби, якою проводилося пломбування причіпа/напівпричіпа"
**ram:AffixedLogisticsSeal**,,,Номер пломби (причіпа/напівпричіпа) (закінчення блоку)
**ram:SettingTransportSettingTemperature**,O,,Інструкції з експлуатації (початок блоку)
**ram:MinimumValueMeasure**,O,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим від (початок блоку)"
unitCode,O,string,код одиниці виміру (CEL)
value,O,decimal,"Значення"
**ram:MinimumValueMeasure**,,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим від (закінчення блоку)"
**ram:MaximumValueMeasure**,O,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим до (початок блоку)"
unitCode,O,string,код одиниці виміру (CEL)
value,O,decimal,"Значення"
**ram:MaximumValueMeasure**,,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим до (закінчення блоку)"
**ram:SettingTransportSettingTemperature**,,,Інструкції з експлуатації (закінчення блоку)
**ram:ApplicableNote** (з кодом BRAND),O,,Марка причіпа/напівпричіпа (початок блоку)
ram:ContentCode,O,string,Код BRAND
ram:Content,O,string,Марка причіпа/напівпричіпа згідно з техпаспортом
**ram:ApplicableNote** (з кодом BRAND),,,Марка причіпа/напівпричіпа (закінчення блоку)
**ram:ApplicableNote** (з кодом MODEL),O,,Модель причіпа/напівпричіпа (початок блоку)
ram:ContentCode,O,string,Код MODEL
ram:Content,O,string,Модель причіпа/напівпричіпа згідно з техпаспортом
**ram:ApplicableNote** (з кодом MODEL),,,Модель причіпа/напівпричіпа (закінчення блоку)
**OriginalUtilizedLogisticsTransportEquipment** (CategoryCode=TE),,,"Причіп/напівпричіп, що розвантажується (закінчення блоку)"
**ResealedUtilizedLogisticsTransportEquipment**,M,,"Автомобіль, що завантажується (початок блоку)"
ram:ID,M,string,"Реєстраційний номер автомобіля згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
**ram:AffixedLogisticsSeal**,M,,Номер пломби (автомобіль) (початок блоку)
ram:ID,M,string,"Відбиток пломби, якою проводилося пломбування автомобіля"
**ram:AffixedLogisticsSeal**,,,Номер пломби (автомобіль) (закінчення блоку)
**ram:SettingTransportSettingTemperature**,O,,Інструкції з експлуатації (початок блоку)
**ram:MinimumValueMeasure**,O,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим від (початок блоку)"
unitCode,O,string,код одиниці виміру (CEL)
value,O,decimal,"Значення"
**ram:MinimumValueMeasure**,,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим від (закінчення блоку)"
**ram:MaximumValueMeasure**,O,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим до (початок блоку)"
unitCode,O,string,код одиниці виміру (CEL)
value,O,decimal,"Значення"
**ram:MaximumValueMeasure**,,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим до (закінчення блоку)"
**ram:SettingTransportSettingTemperature**,,,Інструкції з експлуатації (закінчення блоку)
**ram:ApplicableNote** (з кодом BRAND),M,,Марка автомобіля (початок блоку)
ram:ContentCode,M,string,Код BRAND
ram:Content,M,string,Марка автомобіля згідно з техпаспортом
**ram:ApplicableNote** (з кодом BRAND),,,Марка автомобіля (закінчення блоку)
**ram:ApplicableNote** (з кодом MODEL),M,,Модель автомобіля (початок блоку)
ram:ContentCode,M,string,Код MODEL
ram:Content,M,string,Модель автомобіля згідно з техпаспортом
**ram:ApplicableNote** (з кодом MODEL),,,Модель автомобіля (закінчення блоку)
**ResealedUtilizedLogisticsTransportEquipment**,,,"Автомобіль, що завантажується (закінчення блоку)"
**ResealedUtilizedLogisticsTransportEquipment** (CategoryCode=TE),O,,"Причіп/напівпричіп, що завантажується (початок блоку)"
ram:ID,O,string,"Реєстраційний номер причіпа/напівпричіпа згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
ram:CategoryCode,O,string,Код TE - Причіп/напівпричіп
ram:CharacteristicCode,O,string,"Код визначення Причіп/напівпричіп:

* 14 - Причіп
* 17 - Напівпричіп"
**ram:AffixedLogisticsSeal**,O,,Номер пломби (причіпа/напівпричіпа) (початок блоку)
ram:ID,O,string,"Відбиток пломби, якою проводилося пломбування причіпа/напівпричіпа"
**ram:AffixedLogisticsSeal**,,,Номер пломби (причіпа/напівпричіпа) (закінчення блоку)
**ram:SettingTransportSettingTemperature**,O,,Інструкції з експлуатації (початок блоку)
**ram:MinimumValueMeasure**,O,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим від (початок блоку)"
unitCode,O,string,код одиниці виміру (CEL)
value,O,decimal,"Значення"
**ram:MinimumValueMeasure**,,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим від (закінчення блоку)"
**ram:MaximumValueMeasure**,O,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим до (початок блоку)"
unitCode,O,string,код одиниці виміру (CEL)
value,O,decimal,"Значення"
**ram:MaximumValueMeasure**,,,"Температурний режим, необхідний для перевезення вантажу. Температурний режим до (закінчення блоку)"
**ram:SettingTransportSettingTemperature**,,,Інструкції з експлуатації (закінчення блоку)
**ram:ApplicableNote** (з кодом BRAND),O,,Марка причіпа/напівпричіпа (початок блоку)
ram:ContentCode,O,string,Код BRAND
ram:Content,O,string,Марка причіпа/напівпричіпа згідно з техпаспортом
**ram:ApplicableNote** (з кодом BRAND),,,Марка причіпа/напівпричіпа (закінчення блоку)
**ram:ApplicableNote** (з кодом MODEL),O,,Модель причіпа/напівпричіпа (початок блоку)
ram:ContentCode,O,string,Код MODEL
