Назва поля, Тип [1]_, Формат, Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (16),Номер документу
ТипДокументу,M,Рядок (50),"Тип документу: Товарна специфікація"
КодТипуДокументу,M,«008»,"Допустиме значення: 008 => Товарна специфікація"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ТермінДії**,M,Кількість входжень вузла: Min = 0; Max = 1,"Термін, на період якого документ вважається чинним (початок блоку)"
Початок,M,Дата (РРРР-ММ-ДД),Дата початку дії документу
Кінець,M,Дата (РРРР-ММ-ДД),Дата закінчення терміну дії документу
**ТермінДії**, , ,"Термін, на період якого документ вважається чинним (завершення блоку)"
**ТермінПідпису**,M,Кількість входжень вузла: Min = 0; Max = 1,"Термін підписання (початок блоку)"
Початок,M,Дата (РРРР-ММ-ДД),Дата початку періода підписання
Кінець,M,Дата (РРРР-ММ-ДД),Дата закінчення періода підписання
**ТермінПідпису**, , ,"Термін підписання (завершення блоку)"
МісцеСкладання,O,Рядок (255),Місце укладання документу
**ДокПідстава**,M,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (30),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Тип документу: Договір"
КодТипуДокументу,M,«001»,"Допустиме значення: 001 => Договір"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
НомерТовУзгодження,M,Рядок (15),Номер товарного узгодження
ДатаТовУзгодження,M,Дата (РРРР-ММ-ДД),Дата товарного узгодження
НомерКонтракту,M,Рядок (20),Номер контракту
ДатаКонтракту,M,Дата (РРРР-ММ-ДД),Дата контракту
НомерМаркетингДоговору,O,Рядок (16),Номер маркетингового договору
ДатаМаркетингДоговору,O,Дата (РРРР-ММ-ДД),Дата маркетингового договору
НазваАкції,O,Рядок (255),Назва акції
ОплатаЗаАктиваціюАкції,O,"Число («1» / «2» / «3»)","Оплата за активаціїю акції:

* 1 - «Безкоштовно»,
* 2 - «З маркетингового бюджету»,
* 3 - «Окремий рахунок»
* 4 - «Компенсаційний бюджет»"
ОплатаЗаКомпенсацію,O,"Число («1» / «2»)","Оплата за компенсацию:

* 1 - «З маркетингового бюджету»,
* 2 - «Окремий рахунок»"
**Заголовок**,M, ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустиме значення: Продавець"
ВидОсоби,M,Рядок (20),"Допустимі значення:

* Юридична
* Фізична"
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер контрагента
СвідоцтвоПДВ,O,Рядок (30),Номер свідоцтва ПДВ
МФО,O,Рядок (30),Номер МФО
Поточний рахунок,O,Рядок (30),Номер поточного рахунку
IBAN,O,Рядок (34),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,O,Рядок (20),Телефон
GLN,M,Число (13),Глобальний номер розташування (GLN) контрагента
КонтактнаОсоба,O,Рядок (255),"Відповідальна особа (ПІБ, контакти постачальника)"
**Контрагент**, , ,Контрагент (завершення блоку)
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустиме значення: Покупець"
ВидОсоби,M,Рядок (20),"Допустимі значення:

* Юридична
* Фізична"
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер контрагента
СвідоцтвоПДВ,O,Рядок (30),Номер свідоцтва ПДВ
МФО,O,Рядок (30),Номер МФО
Поточний рахунок,O,Рядок (30),Номер поточного рахунку
IBAN,O,Рядок (34),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,O,Рядок (20),Телефон
GLN,M,Число (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Параметри**,O, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр (*<Параметр ІД=«1» назва=«GLN контракту»>9864119011415</Параметр>*),O,Рядок (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**Параметри**,, ,Параметри (завершення блоку)
**Таблиця**,O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,M,Число (3),Номер позиції
<Штрихкод ІД=«1»>6908876610177</Штрихкод>,O,Рядок (13),Штрих-код продукту. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,O,Рядок (10),Артикул покупця
АртикулПродавця,O,Рядок (10),Артикул продавця
КодУКТЗЕД,O,Число (4-10),Код УКТ ЗЕД
Найменування,M,Рядок (50),Найменування товарної позиції
ОдиницяВиміру,O,Рядок (10),Одиниці виміру [2]_
ПДВ,O,Decimal (#.00),Ставка податку на додану вартість
**СтараЦіна**,, ,Стара ціна (початок блоку)
ЦінаБезПДВ,M,Decimal (#.00),Ціна без ПДВ
ЦінаЗПДВ,M,Decimal (#.00),Ціна з ПДВ
ЦінаЗіЗнижкоюБезПДВ,O,Decimal (#.00),Ціна зі знижкою без ПДВ
ЦінаЗіЗнижкоюЗПДВ,O,Decimal (#.00),Ціна зі знижкою з ПДВ
**СтараЦіна**,, ,Стара ціна (завершення блоку)
**ЦінаРегулярна**, , ,Регулярна ціна (початок блоку)
ЦінаБезПДВ,O,Decimal (#.00),Ціна без ПДВ
ЦінаЗПДВ,O,Decimal (#.00),Ціна з ПДВ
ЦінаЗіЗнижкоюБезПДВ,O,Decimal (#.00),Ціна зі знижкою без ПДВ
ЦінаЗіЗнижкоюЗПДВ,O,Decimal (#.00),Ціна зі знижкою з ПДВ
**ЦінаРегулярна**, , ,Регулярна ціна (завершення блоку)
**ПромоЦіна**, , ,Промо ціна (початок блоку)
ЦінаБезПДВ,O,Decimal (#.00),Промо ціна без ПДВ
ЦінаЗПДВ,O,Decimal (#.00),Промо ціна з ПДВ
**ПромоЦіна**, , ,Промо ціна (завершення блоку)
КількістьПромо,O,Число ціле позитивне,Кількість SKU за промо ціною
ПроцентКомпенсації,O,"Число (6,2)",Процент компенсації
СумаЗаАктиваціюАкції,O,"Число (6,4)",Сума за активацію акції
РекомендованаРоздрібнаЦінаЗПДВ,O,"Число (6,4)",Рекомендована роздрібна ціна з ПДВ
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ЕлектроннийДокумент**,O, ,Завершення документу
