Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (16),Номер документу
ТипДокументу,M,Рядок (50),"Тип документу: Накладна на переміщення"
КодТипуДокументу,M,«022»,"Допустиме значення: 022 => Накладна на переміщення (`всі підтипи COMDOC <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/EveryBody/ExtraQueryParameters_fieldName_sub_doc_type_id.html>`__)"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**,O,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (30),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,M,«001» / «002» / «003» ...,`Код типу документу <https://wiki.edin.ua/uk/latest/XML/code_doctype.html>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення:

* Покупець;
* Отримувач; 
* Продавець; 
* Замовник; 
* Виконавець;
* Перевізник;
* Платник;
* Підрядник;
* Відправник;
* Вантажоодержувач;
* Вантажовідправник;
* Експедитор;
* Клієнт;
* Консультант"
ВидОсоби,M,Рядок (20),"Допустимі значення:

* Юридична
* Фізична"
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер контрагента
МФО,O,Рядок,МФО банку
ПоточРах,O,Рядок ,Поточний рахунок контрагента 
IBAN,O,Рядок (35),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Банк, , ,Банк контрагента
Телефон,O,Рядок (20),Телефон контрагента
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**ФактАдреса**,O, ,Фактична адреса контрагента (початок блоку)
Індекс,M,Integer (5),Індекс
Область,O,Рядок (50),Область
Місто,M,Рядок (50),Місто
Вулиця,M,Рядок (50),Вулиця
**ФактАдреса**, , ,Фактична адреса контрагента (завершення блоку)
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Парамети**,O, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до основних полей специфікації"
"<Параметр ІД=«1» назва=«Назва підприємства»>ПрАТ Покемон</Параметр>",O,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=1 вказується назва підприємства. Максимальна кількість тегів – 99."
"<Параметр ІД=«2» назва=«Код ЄДРПОУ»>00382220</Параметр>",O,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=2 вказується код ЄДРПОУ. Максимальна кількість тегів – 99."
**Парамети**,, ,Параметри (завершення блоку)
**Таблиця**,O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,M,Integer (3),Номер позиції
АртикулПродавця,O,Рядок (10),Артикул продавця
Найменування,M,Рядок (50),Найменування товарної позиції
Номер,O, ,Номер
Дата,O,Дата (РРРР-ММ-ДД),Дата
МаршрутВідправлено, , ,"Пункт відправлення товару
(Для COMDOC 023 пункти ""Відправлено"" і ""Отримано"" заповнюються в одній клітинці ""Маршрут"")"
МаршрутОтримано, , ,"Пункт отримання товару
(Для COMDOC 023 пункти ""Відправлено"" і ""Отримано"" заповнюються в одній клітинці ""Маршрут"")"
ОдиницяВиміру,M,Рядок (10),Одиниці виміру [2]_
Кількість,M,Decimal (#.000),Кількість одиниць товару
КількістьАльтОВ,O,Decimal (#.000),Кількість одиниць товару (в альтернативних одиницях виміру)
АльтОВ,O,Рядок (10),Альтернативні одиниці виміру [2]_
ЛотСерія,O,Рядок (30), Лот / серія
Вага,O, ,Вага 
Сума,O,Decimal (#.00),Сума вартості товару 
СумаСтрахування,O, ,Сума страхування 
Платник,O, ,ПІБ платника 
Відправник,O, ,ПІБ відправника 
Отримувач,O, ,ПІБ отримувача 
АдресаДоставки,O, ,Адреса доставки
ЗонаДоставки,O, ,Зона доставки
**ВсьогоПоРядку**,M,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
Кількість,M,Decimal (#.000),Кількість одиниць товару
КількістьАльтОВ,O,Decimal (#.000),Кількість одиниць товару (в альтернативних одиницях виміру)
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ЕлектроннийДокумент**,O, ,Завершення документу
