НАЗВА ПОЛЯ, Тип [1]_, Формат, Опис
**CONDRA**,,, Початок документа
DATE, O, Дата (РРРР-ММ-ДД), Дата надходження на платформу EDI Network
NUMBER, M, Рядок (32), Номер документа
NUMBERDOCTO, O, Рядок (16), Номер документа-підстави
DATEDOCTO, O, Дата (РРРР-ММ-ДД), Дата документа-підстави
CONTRACTNUMBER, О, Рядок (16), Номер договору
COMPNUMBER,O, Рядок (1000), Примітка (вільний текст до 1000 символів)
CONTRACTDATE,O,Дата (РРРР-ММ-ДД), Дата договору
DOCTYPE,O,Рядок (1000),"Тип універсального/неструктурованого документа:

* 1516 - Рахунок по еквайрингу
* 1501 - Рахунок на оплату по послугах реклами
* 1502 - Рахунок на оплату по послугах маркетингу
* 1503 - Рахунок на оплату по послугах просування товарів
* 1500 - Рахунок на оплату по послугах оренди
* 1506 - Рахунок на оплату щодо бонусів / премій постачальників
* 1509 - Рахунок на оплату щодо бонусів / премій постачальників
* 11 - Акт розбіжності
* 1512 - Акт звірки взаємозаліків
* 53 - Акт про надані послуги
* 54 - Акт прийому-передачі майнових прав
* 20 - Акт премії за договором поставки
* 1012 - Акт звірки
* 50 - Акт заліку за договором маркетингу
* 1515 - Додаткові угоди до договорів поставки та договорів на послуги
* 1513 - Протокол розбіжностей
* 1514 - Додатки до договорів поставки та договорів на послуги
* 1005 - Заявка на збільшення ліміту
* 1004 - Заявка на нового дебітора
* 1522 - Заявка на транспортування
* 1002 - Заявка на факторинг за формою фактора (новому фактору)
* 1003 - Заявка на факторинг / Пакет документів за списком Фактора (новому фактору)
* 81 - Поступка прав вимог. Порука
* 1505 - Протокол заліку бонусів / премій постачальників
* 1508 - Розрахунок премії / бонусів
* 1521 - Акт виконаних робіт
* 62 - Претензія по якості
* 61 - Претензія по недопоставкам
* 60 - Претензія по цінам
* 57 - Товарно-транспортна накладна
* 70 - Контакт-репорт по акції
* 1013 - Договір
* 40 - Графік поставок
* 1006 - Договір факторингу
* 71 - Гарантійний лист по акції
* 1519 - Накладна на переміщення
* 1504 - Повідомлення про залік бонусів / премій постачальників
* 1507 - Повідомлення про залік бонусів / премій постачальників
* 1511 - Акт взаємозаліку
* 1009 - Інший документ (вказується назва дата і опис документа)
* 1015 - Товарна накладна
* 10 - Зворотні документи
* 1520 - Звіт комітента
* 1517 - Звіт комітента по еквайрингу
* 1010 - Відправлені
* 1510 - Заява про проведення взаємозаліку
* 1014 - Додаткова угода
* 1518 - Специфікація послуг з перевезень
* 1007 - Повідомлення (3х стороннє) / пов. про зворотну передачу
* 111 - Інший документ"
INFO,O,Рядок (1000), Інформаційне поле
**HEAD**,,, Початок основного блоку
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
SUPPLIER, O, Число (13), GLN Постачальника
BUYER, O, Число (13), GLN Покупця
DELIVERYPLACE, O, Число (13), GLN місця доставки
TYPE, M, Число, "Тип

* 1 - Оригінал
* 2 - Прийнятий
* 3 - Відхилений
* 4 - Відкликаний"
INFO, O, Рядок (70), Інформаційне поле
DOCGUID, M, Рядок (70), Ідентифікатор документа
TRANSGUID, M, Рядок (70), "Ідентифікатор транспортного контейнера (ідентифікатор ланцюжка Condra, всі дії по Condra повинні містити цей тег і для всіх він однаковий)"
SUM, О, Число десяткове, Сума документа
**CONTENT**,,, Вкладення (початок блоку)
FILENAME, M/O, Рядок (70), Назва файлу (поле обов'язкове для типів (TYPE) 1 та 2)
SIGNNAME, O, Рядок (70), Назва файлу підпису
**CONTENT**,,, Вкладення (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**CONDRA**,,, Закінчення документа
