Назва поля, Тип [1]_, Формат, Опис
**DESSCC**,,,Початок документа
NUMBER,M,Рядок (50),Номер документа
DATE,M,Дата (РРРР-ММ-ДД),Дата документа
DELIVERYDATE,M,Дата (РРРР-ММ-ДД),Дата доставки
DELIVERYTIME,O,Дата (РРРР-ММ-ДД),Час доставки
ORDERNUMBER,M,Рядок (50),Номер замовлення
ORDERDATE,M,Дата (РРРР-ММ-ДД),Дата замовлення
DELIVERYNOTENUMBER,O,Рядок (50),Номер накладної
DELIVERYNOTEDATE,O,Дата (РРРР-ММ-ДД),Дата накладної
TOTALPACKAGES,O,Число позитивне,Загальна кількість упаковок по документа
WEIGHTUNIT,O,Число десяткове,Одиниця виміру
INFO,O,Рядок (200),Вільний текст
SHIPMENTS,O,Рядок (1),Кількість відвантажень по замовленню
CAMPAIGNNUMBER,O,Рядок (70),Номер договора на поставку
SELFSHIPMENT,O,Число позитивне,"Самовивіз (1- так, 0 - Ні)"
TRANSPORTERPHONE,O,Рядок (12),Телефон водія
TRANSPORTQUANTITY,O,Число позитивне,Кількість автомобілів
TRANSPORTMARK,O,Рядок (70),Марка авто
TRANSPORTID,O,Рядок (70),Держномер т/з
TRANSPORTERNAME,O,Рядок (70),ПІБ водія
TRAILERNUMBER,O,Рядок (70),Номер прицепу
TRANSPORTTYPE,O,"Рядок (2, 3)","Тип транспортування:

* 20 — залізничний,
* 30 — дорожний,
* 40 — повітряний,
* 60 — зпарений,
* 100 — кур'єрська служба"
TRANSPORTERTYPE,O,Рядок (16),"Тип транспортного засобу:

* 31 — грузовий
* 48 — легковий"
**HEAD**,,,Початок основного блоку
SUPPLIER,M,Число (13),GLN постачальника
BUYER,O,Число (13),GLN покупця
DELIVERYPLACE,M,Число (13),GLN місця доставки
SENDER,M,Число (13),GLN відправника повідомлення
RECIPIENT,M,Число (13),GLN одержувача повідомлення
**PACKINGSEQUENCE**,,,Робота з товарними позиціями (початок блоку)
EUROPALLET,O,Число позитивне,"Ознака європалети 1- Так, 0 - ні"
HEIGHT,M,Рядок (16),Висота
WIDTH,M,Рядок (16),Ширина
LATERALUNLOADING,O,Рядок (16),"Бокове завантаження: 1 - так, 0 - ні"
LENGTH,M,Рядок (16),Довжина
LENGTHUNIT,O,Рядок (3),"Одиниці виміру:

* Сантиметри: CMT
* Міліметри: MMT
* Метри: MTR"
WEIGHTBRUTTO,O,Число десяткове,Вага брутто в КГ
WEIGHTNETTO,O,Число десяткове,Вага нетто в КГ
PACKAGETYPE,O,Рядок (3),"* 201 - 120x80 EURO Pallet
* 202 - 120x100 AMER
* 200 - 0-1/2 EURO Pallet
* RO - Рулон/Ролік
* EH - ящик з металевим піддоном (для дверей)
* PC - Посилка (Коробка)
* PX - Інше"
QUANTITYOFBOXPAL,O,Число позитивне,Кількість коробок на палеті
HIERARCHICALID,M,Число позитивне,"Номер ієрархії упаковки

* 1- CONSUMERUNIT
* 2- TRADEUNIT
* 3- DESPATCHUNIT"
SSCC,M,Число (18),"Штрихове кодування логістичних одиниць (дозволяє автоматизувати процес ідентифікації: палет, контейнерів, ящиків, пакувань)"
LOCATION,M,Число (13),GLN місця доставки палети
VOLUME,O,Число десяткове,Об'єм
WEIGHT,O,Число десяткове,Вага
**POSITION**,M,,Товарні позиції (початок блоку)
POSITIONNUMBER,M,Число позитивне,Номер позиції
PRODUCT,M,"Число (8, 10, 14)",ШК товару
PRODUCTIDSUPPLIER,O,Рядок (16),Артикул продавця
PRODUCTIDBUYER,O,Рядок (16),Артикул покупця
DELIVEREDQUANTITY,M,Число позитивне,Відвантажена кількість
DELIVEREDUNIT,M,Рядок (3),`Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
ORDEREDQUANTITY,O,Число позитивне,Замовлена кількість
DESCRIPTION,M,Рядок (16),Опис товару
COUNTRYORIGIN,O,Рядок (3),Країна виробник
CUSTOMSTARIFFNUMBER,O,Число позитивне,Код УКТЗЕД для кожної позиції
PRICE,O,Число десяткове,Ціна продукту без ПДВ
VAT,O,Рядок (3),"Ставка ПДВ,%"
EXPIREDATE,O,Дата (РРРР-ММ-ДД),"Термін придатності, дата до..."
**POSITION**,,,Товарні позиції (закінчення блоку)
**PACKINGSEQUENCE**,,,Робота з товарними позиціями (закінчення блоку)
**HEAD**,,,Закінчення основного блоку
**DESSCC**,,,Закінчення документа
