**Document-Invoice**,M,,Початок документа
**Invoice-Header**,M,,Заголовна частина (початок блоку)
InvoiceNumber,M,Рядок(35),Номер документа
InvoiceDate,M,yyyy-MM-dd,Дата документа
InvoiceTime,O,HH:mm,Час документа
DocumentFunctionCode,M,"O"" | ""C","Функціональний код документа; допустимі значення: «O» - оригінал,  «C» - коригування"
ContractType,M,Рядок(70),Тип контракту
ContractNumber,M,Рядок(70),Номер контракту
ContractDate,O,yyyy-MM-dd,Дата контракту
**Invoice-Header**,,,Заголовна частина (закінчення блоку)
**Invoice-References**,O,,Виноски з рахунку (початок блоку)
**Invoice**,O,,Рахунок (початок блоку)
OriginalInvoiceNumber,O,Рядок(70),Номер оригінального рахунку
OriginalInvoiceDate,O,yyyy-MM-dd,Дата оригінального рахунку
**Invoice**,,,Рахунок (закінчення блоку)
**TaxInvoice**,O,,Податки (початок блоку)
TaxInvoiceNumber,M,Рядок(70),Номер податкової накладної
PromotionDealNumber,O,Рядок(70),Номер угоди
SalesDepartmentNumber,O,Рядок(70),Номер відділу продажу
TaxInvoiceDate,M,yyyy-MM-dd,Дата податкової накладної
CorrectionTaxInvoiceNumber,O,Рядок(70),Номер коригувальної податкової накладної
CorrectionPromotionDealNumber,O,Рядок(70),Номер коригованої угоди
CorrectionSalesDepartmentNumber,O,Рядок(70),Коригований номер відділу продажу
CorrectionTaxInvoiceDate,O,yyyy-MM-dd,Номер коригованої податкової накладної
**TaxInvoice**,,,Податки (закінчення блоку)
**ReceivingAdvice**,O,,Отримане рішення (початок блоку)
ReceivingAdviceNumber,O,Рядок(70),Номер отриманого рішення
ReceivingAdviceDate,O,yyyy-MM-dd,Дата отриманого рішення
DeliveryDate,O,yyyy-MM-dd,Дата отримання
**ReceivingAdvice**,,,Отримане рішення (закінчення блоку)
**Invoice-References**,,,Виноски з рахунку (закінчення блоку)
**Invoice-Parties**,M,,Контрагенти (початок блоку)
**Buyer**,M,,Покупець (початок блоку)
ILN,M,[0-9](13),GLN Покупця
CodeBySeller,M,Рядок(35),Код Покупця від Покупця
TaxID,O,Рядок(70),Податковий ідентифікатор Покупця
Name,M,Рядок(175),Назва Покупця
StreetAndNumber,O,Рядок(140),Назва вулиці та номер будинку Покупця
CityName,O,Рядок(35),Назва міста Покупця
PostalCode,O,Рядок(17),Поштовий індекс Покупця
Country,O,Рядок(10),Країна Покупця (згідно ISO 3166)
VatPayerCertificate,O,Рядок(70),Свідоцтво платника Покупця
UtilizationRegisterNumber,M,Рядок(70),NIP Покупця
**FinancialInformation**,O,,Фінансова інформація (початок блоку)
BankIdentifierCode,O,Рядок(11),Ідентифікаційний код банку Покупця
BankAccount,O,Рядок(17),Банківський рахунок Покупця
BankName,O,Рядок(70),Назва банку Покупця
IBAN,O,Рядок(35),IBAN Покупця
**FinancialInformation**,,,Фінансова інформація (закінчення блоку)
**ContactInformation**,O,,Контакти (початок блоку)
ContactFunction,O,Рядок(512),Контакт Покупця
ManagingPerson,O,Рядок(17),Менеджер Покупця
ManagingPersonFather,O,Рядок(35),По батькові менеджера Покупця
PhoneNumber,O,Рядок(512),Номер телефону Покупця
**ContactInformation**,,,Контакти (закінчення блоку)
**Buyer**,,,Покупець (закінчення блоку)
**Seller**,M,,Продавець (початок блоку)
ILN,M,[0-9](13),GLN Продавця
TaxID,M,Рядок(70),Податковий ідентифікатор Продавця
Name,M,Рядок(175),Назва Продавця
StreetAndNumber,M,Рядок(140),Назва вулиці та номер будівлі Продавця
CityName,M,Рядок(35),Назва міста Продавця
PostalCode,M,Рядок(17),Поштовий індекс Продавця
Country,M,Рядок(10),Країна Продавця (згідно ISO 3166)
VatPayerCertificate,M,Рядок(70),Свідоцтво платника Продавця
UtilizationRegisterNumber,M,Рядок(70),NIP Продавця
**FinancialInformation**,O,,Фінансова інформація (початок блоку)
BankIdentifierCode,M,Рядок(11),Ідентифікаційний код банку Продавця
BankAccount,M,Рядок(17),Банківський рахунок Продавця
BankName,M,Рядок(70),Назва банку Продавця
IBAN,O,Рядок(35),IBAN Продавця
**FinancialInformation**,,,Фінансова інформація (закінчення блоку)
**ContactInformation**,O,,Контакти (початок блоку)
ContactFunction,O,Рядок(512),Контакт Продавця
ManagingPerson,O,Рядок(17),Менеджер Продавця
ManagingPersonFather,O,Рядок(35),По батькові менеджера Продавця
PhoneNumber,O,Рядок(512),Номер телефону Продавця
**ContactInformation**,,,Контакти (закінчення блоку)
IBAN, O,"UA + NN + 351005 + XXXXXXXXXXXXXXXXXXX

UA — (2 літери) — код країни (ГОСТ ISO 3166-1);

NN — (2 цифри) — контрольне число;

351005 — (6 цифр) — МФО;

XXX...XXX — (19 цифр) — рахунок клієнта.",IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
**Seller**,,,Продавець (закінчення блоку)
**Invoice-Parties**,,,Контрагенти (закінчення блоку)
**Invoice-Lines**,O,,Таблична частина (початок блоку)
**Line**,O,,Рядок (початок блоку)
**Line-Item**,M,,Пункт в рядку (початок блоку)
LineNumber,M,Число,Номер рядка
EAN,O,[0-9](14),EAN
BuyerItemCode,O,Рядок(35),Код товару Покупця
SupplierItemCode,O,Рядок(35),Код товару Постачальника
ExternalItemCode,O,Рядок(35),Зовнішній код товару
PlaceOfWork,O,Рядок(256),Місце роботи
ServiceName,M,Рядок(512),Назва послуги
DeclaredQuantity,O,Число десяткове(2),Задекларована кількість
UnitOfMeasure,O,Рядок(3),Одиниця виміру
UnitNetPrice,O,Число десяткове(3),Одинична ціна нетто
UnitGrossPrice,O,Число десяткове(3),Одинична валова ціна
TaxRate,O,Число десяткове(2),Ставка податку
TaxCategoryCode,O,Рядок(3),Код податкової категорії
NetAmount,M,Число десяткове(3),Чиста сума
GrossAmount,M,Число десяткове(3),Валова сума
TaxAmount,M,Число десяткове(3),Сума податку
**Line-Item**,,,Пункт в рядку (закінчення блоку)
**Line**,,,Рядок (закінчення блоку)
**Invoice-Lines**,,,Таблична частина (закінчення блоку)
**Invoice-Summary**,O,,Всього (початок блоку)
TotalLines,M,Число,Всього рядків
TotalAmountDue,O,Число десяткове(2),Загальна сума до сплати
TotalNetAmount,M,Число десяткове(3),Загальна чиста сума
TotalGrossAmount,M,Число десяткове(3),Загальна валова сума
TotalTaxAmount,M,Число десяткове(3),Загальна сума податку
**Tax-Summary**,O,,Податків загалом (початок блоку)
**Tax-Summary-Line**,O,,Податків в позиції (початок блоку)
TaxRate,O,Число десяткове(2),Ставка податку
TaxCategoryCode,O,Рядок(3),Код податкової категорії
TaxAmount,O,Число десяткове(3),Сума податку
TaxableAmount,O,Число десяткове(3),Податкова сума
GrossAmount,O,Число десяткове(3),Валова сума
**Tax-Summary-Line**,,,Податків в позиції (закінчення блоку)
**Tax-Summary**,,,Податків загалом (закінчення блоку)
**Invoice-Summary**,,,Всього (закінчення блоку)
**Document-Invoice**,,,Завершення документа
