Назва поля, Тип [1]_, Формат, Опис
**INVOICE**,,, Початок документа
DOCUMENTNAME, М, Рядок (16), Назва документа (380 - Рахунок)
NUMBER, М, Рядок (16), Номер рахунку
DATE, М, Дата (РРРР-ММ-ДД), Дата створення рахунку
INVOICETYPE, М, Число (1),"Тип документа: 0-Оригінал, 1-Коригування"
INVOICENUMBER, М/-, Рядок (16), "Номер рахунку; поле обов'язкове до заповнення при INVOICETYPE=1 і не заповнюється при INVOICETYPE=0"
INVOICEDATE, М/-, Дата (РРРР-ММ-ДД), "Дата рахунку; поле обов'язкове до заповнення при INVOICETYPE=1 і не заповнюється при INVOICETYPE=0"
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата поставки
DELIVERYTIME, O, Час (год: хв), Час поставки
CURRENCY, М, Рядок (3), Код валюти
ORDERNUMBER, М, Рядок (50), Номер замовлення
ORDERDATE, М, Дата (РРРР-ММ-ДД), Дата замовлення
DELIVERYNOTENUMBER, М, Рядок (16), Номер накладної
DELIVERYNOTEDATE, М, Дата (РРРР-ММ-ДД), Дата накладної
RECADVNUMBER, O, Рядок (16), Номер пов. про прийом
RECADVDATE, O, Дата (РРРР-ММ-ДД), Дата пов. про прийом
REFERENCEINVOICENUMBER, O, Рядок (15), Номер рахунку
REFERENCEINVOICEDATE, O, Дата (РРРР-ММ-ДД), Дата рахунку
GOODSTOTALAMOUNT, М, Число десяткове, Всього без ПДВ
POSITIONSAMOUNT, М, Число десяткове, Всього за позиціями
VATSUM, М, Число десяткове, Сума ПДВ
INVOICETOTALAMOUNT, М, Число десяткове, Сума за рахунком
TAXABLEAMOUNT, М, Число десяткове, База оподаткування
DISCOUNTAMOUNT, О, Число позитивне, Сума знижки
CONDITIONSAMOUNT, О, Число позитивне, Узгоджена сума оплати
FREIGHTCHARGE, О, Число позитивне, Плата за перевезення вантажу
PAYMENTORDERNUMBER, О, Рядок (35), Номер платіжно-розрахункового документа або зеленої марки
FISCALNUMBER, О, Рядок (35), ІПН
REGISTRATIONNUMBER, О, Рядок (35), ЄДРПОУ
VATNUMBER, О, Рядок (16), Номер свід. ПДВ
CAMPAIGNNUMBER, О, Рядок (16), Номер договору на поставку
CAMPAIGNNUMBERDATE, O, Дата (РРРР-ММ-ДД), Дата договору на поставку
MANAGER, О, Рядок (35), Ім'я менеджера
ACCOUNTING, О, Рядок (35), Ім'я головного бухгалтера
VAT, М, Число позитивне,"Ставка ПДВ,%"
DOCUMENTSAFTERGOODSRECEIPT,,,"Момент подання документів на поставку, можливі значення: 0 - До початку поставки товару; 1 - Після поставки товару"
DOCTYPE, О, Рядок (1),"Тип документа: O - оригінал, R - заміна, D - видалення"
**HEAD**,,, Початок основного блоку
SUPPLIER, М, Число (13), GLN постачальника
SUPPLIERNAME, O, Рядок (70), Ім'я постачальника
SUPPLIERADRESS, O, Рядок (70), Адреса постачальника
SUPPLIERCITY, O, Рядок (70), Місто постачальника
SUPPLIERZIP, O, Рядок (35), Індекс постачальника
BUYER, М, Число (13), GLN покупця
BUYERNAME, O, Рядок (35), Ім'я покупця
BUYERADRESS, O, Рядок (35), Адреса покупця
BUYERCITY, O, Рядок (35), Місто покупця
BUYERZIP, O, Число позитивне, Індекс покупця
BUYERKPP, O, Рядок (12), ЄДРПОУ покупця
BUYERINN, O, Число позитивне, ІПН покупця
DELIVERYPLACE, M, Число (13), GLN місця доставки
DELIVERYTERMS, О,,"Тип відвантаження; можливі значення: 1 - Самовивіз; 2 - Доставка постачальником"
CONSEGNOR, О, Число (13), GLN вантажовідправника
INVOICEPARTNER, O, Число (13), GLN платника
INVOICEPARTNERINN, O, Число позитивне, ІПН платника
FINALRECIPIENT, O, Число (13), GLN кінцевого консигнатора
ORDERPARTNER, O, Число (13), GLN замовника
CONSEGNOR, О, Число (13), GLN вантажовідправника
CONSEGNORNAME, O, Рядок (35), Ім'я вантажовідправника
CONSEGNORADRESS, O, Рядок (35), Адреса вантажовідправника
CONSEGNORCITY, O, Рядок (35), Місто вантажовідправника
CONSEGNORZIP, O, Число позитивне, Індекс вантажовідправника
CONSIGNEE, О, Число (13), GLN вантажоодержувача
CONSIGNEENAME, O, Рядок (35), Ім'я вантажоодержувача
CONSIGNEEADRESS, O, Рядок (35), Адреса вантажоодержувача
CONSIGNEECITY, O, Рядок (35), Місто вантажоодержувача
CONSIGNEEZIP, O, Число позитивне, Індекс вантажоодержувача
CONSIGNEEINN, O, Число позитивне, ІПН вантажоодержувача
SENDER, М, Число (13), GLN відправника повідомлення
RECIPIENT, М, Число (13), GLN одержувача повідомлення
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції
BANKNAME, O, Рядок (70), Найменування банку
BANKMFONUMBER, О, Число (6), МФО банку
BANKACCOUNT,, Рядок (35), Номер р/р
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М,"Число * 1, 100 +", Номер позиції.
PRODUCT, М,"Число (8, 10, 14)", Штрих-код продукту
IDPRODUCER, О, Рядок (8), Код виробника
PRODUCTIDSUPPLIER, О, Рядок (16), Артикул в БД постачальника
PRODUCTIDBUYER, О, Рядок (16), Артикул в БД покупця
INVOICEDQUANTITYBEFORE, M/-, Число позитивне, "Кількість в 'Оригіналі' (INVOICETYPE=0); поле обов'язкове до заповнення при INVOICETYPE=1 і не заповнюється при INVOICETYPE=0"
INVOICEDQUANTITYAFTER, M/-, Число позитивне, "Кількість в 'Коригуванні' (INVOICETYPE=1); поле обов'язкове до заповнення при INVOICETYPE=1 і не заповнюється при INVOICETYPE=0"
BUYERPARTNUMBER, О, Рядок (16), внутрішній системний номер артикулу в БД покупця
PRODINN, O, Число позитивне, ІПН виробника/імпортера
INVOICEDQUANTITY, М/-, Число позитивне, Кількість за рахунком; поле не заповнюється при INVOICETYPE=1
QUANTITYOFCUINTU, O, Число позитивне, Кількість в упаковці
INVOICEUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
UNITPRICEBEFORE, M/О, Число позитивне, "Ціна без НДС в 'Оригіналі' (INVOICETYPE=0); поле обов'язкове до заповнення при INVOICETYPE=1"
UNITPRICEAFTER, M/О, Число позитивне, "Ціна без НДС в 'Коригуванні' (INVOICETYPE=1); поле обов'язкове до заповнення при INVOICETYPE=1"
GROSSPRICEBEFORE, M/-, Число позитивне, "Ціна з НДС в 'Оригіналі' (INVOICETYPE=0); поле обов'язкове до заповнення при INVOICETYPE=1 і не заповнюється при INVOICETYPE=0"
GROSSPRICEAFTER, M/-, Число позитивне, "Ціна з НДС в 'Коригуванні' (INVOICETYPE=1); поле обов'язкове до заповнення при INVOICETYPE=1 і не заповнюється при INVOICETYPE=0"
AMOUNTWITHVATBEFORE, M/-, Число позитивне, "Сума з НДС товару в 'Оригіналі' (INVOICETYPE=0); поле обов'язкове до заповнення при INVOICETYPE=1 і не заповнюється при INVOICETYPE=0"
AMOUNTWITHVATAFTER, M/-, Число позитивне, "Сума з НДС товару в 'Коригуванні' (INVOICETYPE=1); поле обов'язкове до заповнення при INVOICETYPE=1 і не заповнюється при INVOICETYPE=0"
AMOUNTBEFORE, M/-, Число позитивне, "Сума товару в 'Оригіналі' (INVOICETYPE=0); поле обов'язкове до заповнення при INVOICETYPE=1 і не заповнюється при INVOICETYPE=0"
AMOUNTAFTER, M/-, Число позитивне, "Сума товару в 'Коригуванні' (INVOICETYPE=1); поле обов'язкове до заповнення при INVOICETYPE=1 і не заповнюється при INVOICETYPE=0"
UNITPRICE, М/-, Число десяткове, Ціна за одиницю (без ПДВ); поле не заповнюється при INVOICETYPE=1
ADVICEPRICE, O, Число десяткове, Рекомендована ціна (державою)
GROSSPRICE, O/-, Число десяткове, Ціна за одиницю з ПДВ; поле не заповнюється при INVOICETYPE=1
GROSSAMOUNT, O, Число десяткове, Сума з ПДВ
AMOUNT, М/-, Число десяткове, Сума товару (без ПДВ); поле не заповнюється при INVOICETYPE=1
AMOUNTWITHVAT, O/-, Число десяткове, Сума товару (з ПДВ); поле не заповнюється при INVOICETYPE=1
COUNTRYORIGIN, О, Рядок (2), Країна виробник
CUSTOMSTARIFFNUMBER, О, Рядок (35), Номер державної митної декларації (ВМД)
CUSTOMSTARIFFNUMBERDATE, О, Дата (РРРР-ММ-ДД), Дата ВМД
FOREIGNTRADECODE, О, Рядок (35), Код товара по УКТВЕД11 (для України)
DESCRIPTION, О, Рядок (70), Опис продукту
AMOUNTTYPE, М, Число (3), Службове поле
**TAX**,,, Логістика (початок блоку)
FUNCTION, М, Число (1),"5 - мито, 6 - грошовий збір, 7 - податок"
TAXTYPECODE, М, Рядок (3), Код податку (ПДВ)
TAXRATE, М, Число (3),"Ставка податку (ПДВ,%)"
TAXAMOUNT, М, Число десяткове, ПДВ
CATEGORY, М, Рядок (1),"S - стандартна, А - змішана, Z - нульовий збір"
**TAX**,,, Логістика (закінчення блоку)
PRODUCTIONCODE,, Рядок (16), Код алкогольної продукції
**BOTTLING**,,, Партія розливу (початок блоку)
BOTTLINGNUMBER,, Число (2), Номер партії розливу
BOTTLINGDATE,, Дата (РРРР-ММ-ДД), Дата партії розливу
**BOTTLING**,,, Партія розливу (закінчення блоку)
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**INVOICE**,,, Закінчення документа
