Назва поля, Тип [1]_, Формат, Опис
**Document-ProductCatalogue**,O,,Початок документа
**ProductCatalogue-Header**,O,,Початок основного блоку
ProductCatalogueNumber,M,Рядок (50),Номер каталогу продукції
ProductCatalogueDate,O,Дата (РРРР-ММ-ДД),Дата каталогу продукції
PeriodStartDate,O,Дата (РРРР-ММ-ДД),Початок дії каталогу продукції
PeriodEndDate,O,Дата (РРРР-ММ-ДД),Кінець дії каталогу продукції
ReviewDeadlineDate,M,Дата (РРРР-ММ-ДД),Термін подачі на перегляд
PromotionalPriceStartDate,O,Дата (РРРР-ММ-ДД),Початок періоду зниження закупівельної ціни
PromotionalPriceEndDate,O,Дата (РРРР-ММ-ДД),Кінець періоду зниження закупівельної ціни
DocumentFunctionCode,O,Рядок (2),Функціональний код документа
CatalogueCurrency,O,,Валюта
ServiceNumber,O,Рядок (20),Код послуги
ServiceName,O,Рядок (250),Опис послуги
ContractNumber,O,Рядок (10),Номер контракту
ContractDate,O,Дата (РРРР-ММ-ДД),Дата контракту
ContractDescription,O,Рядок (10),Опис контракту
ContractExpiryDate,O,Дата (РРРР-ММ-ДД),Дата закінчення дії контракту
ContractGLN,M,Число (13),GLN контракту
SubContractNumber,O,Рядок (20),Номер договору
SubContractDate,O,Рядок (20),Дата договору
AgreementNumber,O,Число (3),Допустима кількість узгоджень
ItemCategoryNumber,O,Число,Номер категорії позиції
AccountNumber,O,Рядок (10),Id промо
PromotionDealNumber,O,Рядок (250),Номер промо
PromotionDealName,O,Рядок (250),Назва промо
PostOfficeNumber,O,Рядок (35),Метро Пошта №
DiscountWorkStatus,O,[0/1],"Робота з ціною зі знижкою: 0-ні, 1-так"
**Comment**,O,,Коментар (початок блоку)
Text,O,Рядок,Текст коментара
LanguageCode,O,Рядок,Код мови
**Comment**,O,,Коментар (закінчення блоку)
**Reference**,O,,Довідка (початок блоку)
ReferenceNumber,O,Рядок,Номер довідки
ReferenceDate,O,Рядок,Дата довідки
ReferenceStatus,O,Рядок,Статус довідки
**Reference**,O,,Довідка (закінчення блоку)
**ProductCatalogue-Header**,O,,Закінчення основного блоку
**ProductCatalogue-Parties**,O,,Блок контрагентів (початок блоку)
**Buyer**,O,,Блок покупця (початок блоку)
ILN,M,Число (13),GLN покупця (Метро)
OrderContact,O,Рядок,Договір на замовлення
SalesAdministration,O,Рядок,Адміністрація продажів
Name,O,Рядок (175),Назва (Метро)
StreetAndNumber,O,Рядок (140),Назва вулиці та номер (Метро)
CityName,O,Рядок (35),Назва міста (Метро)
PostalCode,O,Рядок (17),Поштовий індекс
PhoneNumber,O,Рядок (35),Номер телефону
**Buyer**,O,,Блок покупця (закінчення блоку)
**Seller**,O,,Блок продавця (початок блоку)
ILN,M,Число (13),GLN продавця
OrderContact,O,Рядок,Договір на замовлення
SalesAdministration,O,Рядок,Адміністрація продажів
Name,O,Рядок (175),Назва продавця
**Seller**,O,,Блок продавця (закінчення блоку)
**Sender**,O,,Блок відправника (початок блоку)
ILN,M,Число (13),GLN відправника
**Sender**,O,,Блок відправника (закінчення блоку)
**Receiver**,O,,Блок отримувача (початок блоку)
ILN,M,Число (13),GLN отримувача
**Receiver**,O,,Блок отримувача (закінчення блоку)
**ProductCatalogue-Parties**,O,,Блок контрагентів (закінчення блоку)
**ProductCatalogue-Lines**,O,,Таблична частина (початок блоку)
**Line**,O,,Рядок (початок блоку)
**Line-Item**,O,,Позиція (початок блоку)
LineNumber, М, Ціле число, номер позиції в табличній частині
LineType,O,[0/1/2/3],"Дія: 0-зміна регулярної ціни, 1-змінапромоціни, 2–добавлення товару, 3-видалення товару"
EAN, М, Число (13),Штрих-код продукту
BuyerItemCode,O,Рядок (10),"Артикул (внутрішній номер) в БД Метро"
SupplierItemCode,O,Рядок,Код клієнта по товару
PreviousBuyerItemCode,O,Рядок (10),Артикул підгрупи
ExternalItemCode, M, Число (4-10), код товару згідно довідника УКТ ЗЕД
PreviousEAN,O,Рядок,Додатковий штрих-код продукту
PreviousBuyerItemCode,O,Рядок,Додатковий внутрішній артикул
PreviousSupplierItemCode,O,Рядок,Додатковий код клієнта по товару
ItemDescription,O,Рядок (100),Опис товарної позиції
ItemType,O,,Тип позиції
ProductType,O,,Тип товару
PromotionalQuantity,O,Рядок (50),Кількість промо товару
**ProductLifespan**,O,,Термін служби продукту (початок блоку)
PeriodFormat,O,,Формат періоду
Period,O,,Період
**ProductLifespan**,O,,Термін служби продукту (закінчення блоку)
UnitOfMeasure,O,Рядок (50),Одиниця виміру
UnitNetPrice,,Позитивне число з плаваючою точкою (2 знака після коми),Ціна без ПДВ
NewUnitNetPrice,,Позитивне число з плаваючою точкою (2 знака після коми),Нова ціна без ПДВ
CommissionAmount,O,Позитивне число з плаваючою точкою (2 знака після коми),Компенсація грн. за шт реалізованого товару
UnitNetPriceStartDate,O,Дата (РРРР-ММ-ДД),Початок дії ціни
UnitNetPriceEndDate,O,Дата (РРРР-ММ-ДД),Кінець дії ціни
UnitGrossPrice,,Позитивне число з плаваючою точкою (2 знака після коми),Ціна з ПДВ
NewUnitGrossPrice,,Позитивне число з плаваючою точкою (2 знака після коми),Нова ціна з ПДВ
UnitGrossPriceStartDate,O,Дата (РРРР-ММ-ДД),Початок дії ціни з ПДВ
UnitGrossPriceEndDate,O,Дата (РРРР-ММ-ДД),Кінець дії ціни з ПДВ
PromotionalNetPrice,,Позитивне число з плаваючою точкою (2 знака після коми),Промо ціна без ПДВ
PromotionalPriceStartDate,M,Дата (РРРР-ММ-ДД),Початок дії промо ціни
PromotionalPriceEndDate,O,Дата (РРРР-ММ-ДД),Кінець дії промо ціни
PromotionalGrossPrice,,Позитивне число з плаваючою точкою (2 знака після коми),Промо ціна з ПДВ
