Параметр, Формат, Опис
.. _DocStructField:, Об'єкт **DocStructField**,
id,String,"ідентифікатор елемента, тобто як елемент буде називатися безпосередньо в документі (в XML)"
title,String,назва елемента на WEB-формі при заповненні документа
optional,Boolean,визначає необов'язковість заповнення поля
readonly,Boolean,визначає можливість редагування відповідного елемента структури (при встановленому параметрі обов'язкове заповнення параметра default)
attribute,Boolean,"при встановленому параметрі відповідний елемент є атрибутом в xml-файлі, при невстановленому - тегом"
function,String,задана функція виконання вибірки з довідника або математичних операцій по вже введеним іншим полях документа (updateDictLink і arithmeticOperate)
**data**,List<DocStructData_>,масив об'єктів; правила і можливості щодо заповнення елемента
**type**,DocStructType_,об'єкт; тип структури документа
**fields**,List<DocStructField_>,"масив об'єктів; поля для типів елементів ""object"" і ""array"""
**errors**,List<String>,масив; помилки
