Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _ACBODY:,О, Об'єкт **ACBODY**,
HNUM,О,String,номер документа
HFILL,О,String,дата документа
HPLACE,Н,String,місце складання
HPODNUM,О,String,номер договору (документа-підстави)
HPODFILL,О,String,дата договору (документа-підстави)
HTIN,О,long,ідентифікаційний код (ЄДРПОУ) вантажовідправника
HNAME,О,String,повне найменування вантажовідправника
HLOC,О,String,місцезнаходження вантажовідправника
R04G1S,О,long,ідентифікаційний код (ЄДРПОУ для юр. осіб чи ІНН для фіз. осіб) вантажоодержувача
R04G2S,О,String,повне найменування вантажоодержувача
R04G3S,О,String,"місцезнаходження вантажоодержувача (Місто, Адреса)"
R013G1,О,double,маса брутто всього (цифрами в тоннах)
R001G10,О,double,кількість грузових місць всього
T5RXXXXG1S,О,List<RXXType_>,масив; таблична частина: назва товару
T5RXXXXG2S,Н,List<RXXType_>,масив; таблична частина: штрих-код
T5RXXXXG3S,Н,List<RXXType_>,масив; таблична частина: артикул
T5RXXXXG4S,Н,List<RXXType_>,масив; таблична частина: класифікатор(саб артикул)
T5RXXXXG5S,О,List<RXXType_>,масив; таблична частина: одиниці виміру
T5RXXXXG6S,О,List<RXXType_>,масив; таблична частина: кількість грузових місць позиції
T5RXXXXG7S,Н,List<RXXType_>,масив; таблична частина: одиниць в упаковці
T5RXXXXG8S,О,List<RXXType_>,масив; таблична частина: маса брутто (т)
T5RXXXXG9S,Н,List<RXXType_>,масив; таблична частина: дата виготовлення
T5RXXXXG10S,Н,List<RXXType_>,масив; таблична частина: примітка
