Параметр,Формат,Опис
.. _User: , Об'єкт **User**,
id,long,id користувача; число
companyId,long,id аккаунта
login,String,логін користувача; рядок 50 символів
emails,String,E-mail; рядок 255 символів
blocked,int,"відмітка про блокування; число; 0 - ні, 1 - так, 2 - так, за неуплату, 3 - дії аккаунта призупинені, 4 - так, відсутність активності"
allowFTP,int,"відмітка доступу до FTP; число; 0 - немає, 1 - так, 2 - немає за неуплату"
autoSending,boolean,автовідправка; документи автоматично відправляються при перенесенні документа для відправки в папку outbox
statusFile,int,"створення статус-файлів; число; 0 - Ні, 1 - Так, 2 - Так, про доставку, 3 - Так, про прочитання"
isAdmin,boolean,"відмітка, чи є користувач адміністратором в управлінні користувачами; число; 0 - немає, 1 - так"
company,Company_,об'єкт; основні дані про компанію
identificators,List<Identificator_>,масив; додаткові дані, контакти компанії

