Значення параметра, Опис, Документ, Назва статусу на web
«-5»,чернетка Виконавця, ,
«-4»,чернетка Покупця, ,
«-3»,чернетка Вантажоотримувача, е-ТТН, «Чернетка»
«-2»,чернетка Перевізника, е-ТТН, «Чернетка»
«-1»,чернетка Вантажовідправника, е-ТТН, «Чернетка»
«1»,в процесі, ,
«2»,підтверджено Вантажовідправником 
«3»,підтверджено Перевізником під час завантаження товару, е-ТТН, «Очікує підписання перевізником (підтверджено водієм)»
«4»,підтверджено Вантажоотримувачем, е-ТТН, «Очікує підписання вантажоодержувачем (підтверджено приймальником)»
«5»,підписано Вантажовідправником, "
* е-ТТН -
* Акт розбіжностей -
* Заявка на транспортування -
* Підтвердження транспортування -
* Акт виконаних робіт -
* Акт приймання-передавання -", "
* «Очікує підписання водієм / перевізником»
* «Підписано вантажовідправником»
* «Очікує підтверження перевізником»
* «Підписано замовником»
* «Підписано замовником»
* «Очікує підписання виконавцем»"
«6»,підписано Перевізником під час завантаження товару, "
* е-ТТН -
* Підтвердження транспортування -
* Акт виконаних робіт -", "
* «Очікує підписання вантажоодержувачем»
* «Очікує підписання замовником»
* «Очікує підписання замовником»"
«7»,підписано Вантажоотримувачем, "
* е-ТТН -
* Акт приймання-передавання -", "
* «Очікує підписання водієм / перевізником»
* «Підписано виконавцем»"
«8»,відхилено Вантажовідправником, "
* е-ТТН -
* Заявка на транспортування -
* Підтвердження транспортування -
* Акт виконаних робіт -
* Акт приймання-передавання -", "
* «Скасовано вантажовідправником»
* «Скасовано замовником»
* «Скасовано замовником»
* «Скасовано замовником»
* «Скасовано замовником»"
«9»,відхилено Перевізником під час завантаження товару, "
* е-ТТН -
* Підтвердження транспортування -
* Акт виконаних робіт -", "
* «Скасовано водієм/перевізником»
* «Скасовано перевізником»
* «Скасовано виконавцем»"
«10»,відхилено Вантажоотримувачем, "
* е-ТТН -", "
* «Скасовано вантажоодержувачем»
* «Скасовано виконавцем»"
«11»,підтверджено Покупцем, ,
«12»,підписано Покупцем, ,
«13»,відхилено Покупцем, ,
«14»,підтверджено Виконавцем, ,
«15»,підписано Виконавцем, ,
«16»,відхилено Виконавцем, ,
«17»,підтверджено Перевізником під час вивантаження товару, е-ТТН, «Очікує підписання перевізником (підтверджено водієм)»
«18»,підписано Перевізником під час вивантаження товару, е-ТТН, «Підписано перевізником»
«19»,відхилено Перевізником під час вивантаження товару, ,
