Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _BKCBODY:,О, Об'єкт **BKCBODY**,
R01G1S,О,String,марка/модель автомобіля
R01G2S,О,String,реєстраційний номер автомобіля
R01G3S,О,String,тип автомобіля
R01G4S,Н,String,марка/модель причепа/напівпричепа
R01G5S,Н,String,реєстраційний номер причепа/напівпричепа
R01G6S,Н,String,тип причепа/напівпричепа
R01G4S,Н,String,марка/модель 2-го причепа/напівпричепа
R01G5S,Н,String,реєстраційний номер 2-го причепа/напівпричепа
R01G6S,Н,String,тип 2-го причепа/напівпричепа
R02G3S,О,String,ПІП водія
R02G4S,О,String,"серія, номер посвідчення водія"
R02G5S,О,String,телефон водія
