**Код відповіді**,**Індекс**,**Опис**
400,ERR_TTN-1,"Setup document number [%s]

Заповніть номер документу [%s]"
400,ERR_TTN-2,"Setup document date [%s]

Заповніть дату документу [%s]"
400,ERR_TTN-3,"Setup reference to ettn

Заповніть посилання на ТТН"
400,ERR_TTN-4,"[%s] is not filled in gln [%s]

[%s] не заповнено в  gln  [%s]"
400,ERR_TTN-5,"Field [id.value] in trade party for role [%s]  is not filled

Поле [id.value] учасника ролі [%s] не заповнено"
400,ERR_TTN-6,"field [%s] is not filled

Поле [%s] не заповнене"
400,ERR_TTN-7,"Unknown initiator

Невідомий ініціатор"
400,ERR_TTN-8,"Unknown carrier

Невідомий перевізник"
400,ERR_TTN-8,"Unknown carrier [%s]

Невідомий перевізник [%s]"
400,ERR_TTN-9,"Unknown unload storage

Невідомий склад розвантаження"
400,ERR_TTN-10,"Unknown load storage

Невідомий склад навантаження"
400,ERR_TTN-11,"Unknown consignor

Невідомий вантажовідправник"
400,ERR_TTN-11,"Unknown consignor [%s]

Невідомий вантажовідправник [%s]"
400,ERR_TTN-12,"Unknown consignee

Невідомий вантажоотримувач"
400,ERR_TTN-12,"Unknown consignee [%s]

Невідомий вантажоотримувач [%s]"
400,ERR_TTN-13,"Unknown customer

Невідомий замовник"
400,ERR_TTN-13,"Unknown customer [%s]

Невідомий замовник [%s]"
400,ERR_TTN-14,"Unknown new consignee

Невідомий новий вантажоотримувач"
400,ERR_TTN-14,"Unknown new consignee [%s]

Невідомий новий вантажоотримувач [%s]"
400,ERR_TTN-15,"Unknown new carrier

Невідомий новий перевізник"
400,ERR_TTN-15,"Unknown new carrier [%s]

Невідомий новий перевізник [%s]"
400,ERR_TTN-16,"Unknown driver

Невідомий водій"
400,ERR_TTN-17,"Unknown new driver

Невідомий новий водій"
400,ERR_TTN-18,"Unknown initiator gln [%s]

Невідомий ініціатор gln [%s]"
400,ERR_TTN-19,"Failed to determine gln for trade party [%s]

Не вдалося визначити gln для учасника [%s]"
400,ERR_TTN-20,"Failed to determine gln for driver [%s]

Не вдалося визначити gln для водія [%s]"
400,ERR_TTN-21,"Failed to determine trading party for gln [%s]

Не вдалося визначити учасника для gln [%s]"
400,ERR_TTN-22,"Unknown gln [%s] for tradeParty with role: [%s], and name [%s]

Невідомий gln [%s] для учасника з роллю: [%s] і назвою [%s]"
400,ERR_TTN-23,"gln [%s] is not driver gln

gln [%s] не є gln-ом водія"
400,ERR_TTN-24,"Incorrect driver TIN in field [taxRegistration.id], expected [%s]

Неправильний ІПН водія в полі [taxRegistration.id], очікується [%s]"
400,ERR_TTN-25,"Edrpou [%s] in gln [%s] and document [%s] are different

ЄДРПОУ [%s] в gln [%s] та документі [%s] відрізняються"
400,ERR_TTN-26,"TIN [%s] in gln [%s] and document [%s] are different

ІПН [%s] в gln [%s] та документі [%s] відрізняються"
400,ERR_TTN-27,"Parent ettn not found

Документ підстава (ТТН) не знайдено"
400,ERR_TTN-28,"Parent storage delivery doc not found

Документ підстава (акт розвантаження на проміжному складі) не знайдено"
400,ERR_TTN-29,"Parent TTN has incorrect status

Документ підстава (ТТН) має некоректний статус"
400,ERR_TTN-30,"TTN status «ONSTORAGE» can be changed automatically only after the completion of the life cycle of the storage pick up act or the stop TTN act

Статус ТТН «ONSTORAGE» може бути змінено автоматично лише після завершення життєвого циклу акта завантаження на складі або акту зупинки ТТН"
400,ERR_TTN-31,"Work with TTN is temporarily unavailable. Due to the unfinished process of working with the act [%s] to this TTN. Wait for the completion of work on it.

Робота з ТТН тимчасово недоступна. У зв'язку з незавершеним процесом роботи з актом [%s] до цієї ТТН. Дочекайтеся завершення роботи над ним."
400,ERR_TTN-32,"We have already created a new transaction for TTN. Please use API method GET, «/api/eds/doc/ettn/body» for receiving this new transaction.

Ми вже створили нову транзакцію для ТТН. Будь ласка, використовуйте метод API GET, «/api/eds/doc/ettn/body» для отримання цієї нової транзакції."
400,ERR_TTN-33,"Key blocked. EDRPOU/TIN mismatch.

Ключ заблоковано. Невідповідність ЄДРПОУ/ІПН."
400,ERR_TTN-34,"No signature content created. Resave document

Вміст для підписання не створено. Збережіть документ повторно"
400,ERR_TTN-35,"sign_hash is broken, resave document

невідповідний sign_hash, повторно збережіть документ"
400,ERR_TTN-36,"The document cannot be signed only with the stamp. Sign the document with your signature.

Документ не може бути підписаний лише печаткою. Підпишіть документ своїм підписом."
400,ERR_TTN-37,"Setup correct content type in request. Use 'application/json' or 'application/xml'

Вкажіть content type в запиті. Використовуйте «application/json» або «application/xml»."
400,ERR_TTN-38,"Action not available.

Дія недоступна."
400,ERR_TTN-40,"The required ticket was not found

Необхідна квитанція не знайдена"
400,ERR_TTN-41,"The company role specified in the URL parameter does not match the role of this company in the document structure

Вказана в URL-параметрі роль компанії не відповідає ролі цієї компанії в структурі документа"
