Параметр,Тип [1]_,Формат,Опис
.. _StorageDeliveryActPayload:,,Об'єкт **StorageDeliveryActPayload**,
**previousAdministrativeReferencedDocuments**,M,List<PreviousAdministrativeReferencedDocument_>,"масив об'єктів; Інформація про е-ТТН/попередній акт, для якого складається акт"
**carrierTradeParty**,M,TradeParty_,"об'єкт; Перевізник"
**storageTradeParty**,M,TradeParty_,"об'єкт; Проміжний склад"
**storageLogisticsLocation**,M,LogisticsLocation_,"об'єкт; Місцезнаходження складу"
**utilizedLogisticsTransportEquipment**,M,UtilizedLogisticsTransportEquipment_,"об'єкт; Автомобіль, що розвантажується (CategoryCode=TRUCK)"
**carrierUtilizedLogisticsTransportEquipment**,O,UtilizedLogisticsTransportEquipment_,"об'єкт; Причіп/напівпричіп, що розвантажується (CategoryCode=TE)"
**deliveryTransportEvent**,M,TransportEvent_,"об'єкт; Розвантажувальні роботи"
carrierNotes,M,string,Короткий або повний опис причин складання Акта (Перевізник)
storageNotes,O,string,Особливі відмітки; Інформація щодо незгоди зі змістом Акта (Проміжний склад)
