Параметр,Тип [1]_,Формат,Опис
.. _StoragePickupActPayload:,,Об'єкт **StoragePickupActPayload**,
**previousAdministrativeReferencedDocuments**,M,List<PreviousAdministrativeReferencedDocument_>,"масив об'єктів; Інформація про е-ТТН/попередній акт, для якого складається акт"
**storageTradeParty**,M,TradeParty_,"об'єкт; Проміжний склад"
**carrierTradeParty**,M,TradeParty_,"об'єкт; Перевізник"
**storageLogisticsLocation**,M,LogisticsLocation_,"об'єкт; Місцезнаходження складу"
**utilizedLogisticsTransportEquipment**,M,UtilizedLogisticsTransportEquipment_,"об'єкт; Автомобіль, що завантажується (CategoryCode=TRUCK)"
**carrierUtilizedLogisticsTransportEquipment**,O,UtilizedLogisticsTransportEquipment_,"об'єкт; Причіп/напівпричіп, що завантажується (CategoryCode=TE)"
**pickupTransportEvent**,M,TransportEvent_,"об'єкт; Розвантажувальні роботи"
storageNotes,M,string,Короткий або повний опис причин складання Акта (Проміжний склад)
carrierNotes,O,string,Особливі відмітки; Інформація щодо незгоди зі змістом Акта (Перевізник)
