**Код відповіді**,**Текст помилки**,**Індекс**,**Опис**
400,SETUP_DOC_NUMBER_ERROR,ERR_TTN-1,"Setup document number [%s]

Заповніть номер документу [%s]"
400,SETUP_DOC_DATE_ERROR,ERR_TTN-2,"Setup document date [%s]

Заповніть дату документу [%s]"
400,SETUP_ETTN_REF_ERROR,ERR_TTN-3,"Setup reference to ettn

Заповніть посилання на ТТН"
400,EMPTY_GLN_FIELD_ERROR,ERR_TTN-4,"[%s] is not filled in gln [%s]

[%s] не заповнено в  gln  [%s]"
400,TRADE_PARTY_ID_NOT_FILED_ERROR,ERR_TTN-5,"Field [id.value] in trade party for role [%s]  is not filled

Поле [id.value] учасника ролі [%s] не заповнено"
400,EMPTY_FIELD_ERROR,ERR_TTN-6,"field [%s] is not filled

Поле [%s] не заповнене"
400,UNKNOWN_INITIATOR_ERROR,ERR_TTN-7,"Unknown initiator

Невідомий ініціатор"
400,UNKNOWN_CARRIER_ERROR,ERR_TTN-8,"Unknown carrier

Невідомий перевізник"
400,UNKNOWN_UNLOAD_STORAGE,ERR_TTN-9,"Unknown unload storage

Невідомий склад розвантаження"
400,UNKNOWN_LOAD_STORAGE,ERR_TTN-10,"Unknown load storage

Невідомий склад навантаження"
400,UNKNOWN_CONSIGNOR_ERROR,ERR_TTN-11,"Unknown consignor

Невідомий вантажовідправник"
400,UNKNOWN_CONSIGNEE_ERROR,ERR_TTN-12,"Unknown consignee

Невідомий вантажоотримувач"
400,UNKNOWN_CUSTOMER_ERROR,ERR_TTN-13,"Unknown customer

Невідомий замовний"
400,UNKNOWN_NEW_CONSIGNEE_ERROR,ERR_TTN-14,"Unknown new consignee

Невідомий новий вантажоотримувач"
400,UNKNOWN_NEW_CARRIER_ERROR,ERR_TTN-15,"Unknown new carrier

Невідомий новий перевізник"
400,UNKNOWN_DRIVER_ERROR,ERR_TTN-16,"Unknown driver

Невідомий водій"
400,UNKNOWN_NEW_DRIVER_ERROR,ERR_TTN-17,"Unknown new driver

Невідомий новий водій"
400,UNKNOWN_INITIATOR_GLN_ERROR,ERR_TTN-18,"Unknown initiator gln [%s]

Невідомий ініціатор gln [%s]"
400,DETERMINE_GLN_ERROR,ERR_TTN-19,"Failed to determine gln for trade party [%s]

Не вдалося визначити gln для учасника [%s]"
400,DETERMINE_DRIVER_GLN_ERROR,ERR_TTN-20,"Failed to determine gln for driver [%s]

Не вдалося визначити gln для водія [%s]"
400,DETERMINE_TRADE_PARTY_ERROR,ERR_TTN-21,"Failed to determine trading party for gln [%s]

Не вдалося визначити учасника для gln [%s]"
400,GLN_TRADEPARTY_ERROR,ERR_TTN-22,"Unknown gln [%s] for tradeParty with role: [%s], and name [%s]

Невідомий gln [%s] для учасника з роллю: [%s] і назвою [%s]"
400,IS_NOT_DRIVER_GLN_ERROR,ERR_TTN-23,"gln [%s] is not driver gln

gln [%s] не є gln-ом водія"
400,INCORRECT_DRIVER_TIN,ERR_TTN-24,"Incorrect driver TIN in field [taxRegistration.id], expected [%s]

Неправильний ІПН водія в полі [taxRegistration.id], очікується [%s]"
