Параметр,Тип [1]_,Формат,Опис
.. _Access: ,, Об'єкт **Access**,
id,,long,ідентифікатор доступа
auctionId,,long,ідентифікатор аукціону (тендера)
**auction**,,Auction_,об'єкт; дані аукціону (тендера)
userId,,long,ідентифікатор користувача
**user**,,User_,об'єкт; дані користувача
companyId,,long,ідентифікатор компанії
**company**,,Company_,об'єкт; дані компанії
dateCreated,,long,дата створення
message,,String,коментар заявки на аукціон (тендер)
**status**,,Status_,об'єкт; статус заявки на аукціон (тендер)
contactName,,String(250),контактна особа (ПІБ)
contactEmail,,String(250),контактний email
contactPhone,,String(50),контактний телефон
**accessLog**,,List<AccessLog_>,масив об'єктів; перебіг (лог) отримання доступу до аукціону (тендера)
