Порядок обміну документами,Інструкція роботи на web,Специфікація (XML),Алгоритм обміну через API
1. Замовлення (ORDER),`Створення та відправка документа «Замовлення» (ORDER) з «нуля» (ручне заповнення) <https://wiki.edin.ua/uk/latest/retail_2.0/formirovanie_otpravka_ORDER_na_EDI_Network_2.0.html>`__,`Замовлення (ORDER) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_XML-structure.html#order>`__,`Алгоритм «Замовлення» (ORDER) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/ORDER_API_work.html>`__
2. Підтвердження замовлення (ORDRSP),`Створення «Підтвердження замовлення» (ORDRSP) на підставі вхідного «Замовлення» (ORDER) <https://wiki.edin.ua/uk/latest/retail_2.0/ORDRSP_na_EDI_Network.html#ordrsp-order>`__,`Підтвердження замовлення (ORDRSP) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_XML-structure.html#ordrsp>`__,`Алгоритм «Підтвердження замовлення» (ORDRSP) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/ORDRSP_API_work.html>`__
3. Повідомлення про відвантаження (DESADV),`Створення «Повідомлення про відвантаження» (DESADV) на підставі надісланого «Підтвердження замовлення» (ORDRSP) <https://wiki.edin.ua/uk/latest/retail_2.0/formirovanie_otpravka_dokumenta_Uvedomlenie_ob_otgruzke_DESADV_na_EDI_Network_2.0.html#desadv-ordrsp>`__,`Повідомлення про відвантаження (DESADV) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_XML-structure.html#desadv>`__,`Алгоритм «Повідомлення про відвантаження» (DESADV) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/DESADV_API_work.html>`__
4. Транспортні документи: ТТН + Акти,`Формування «е-ТТН» на підставі «Повідомлення про відвантаження» (DESADV). Сторона Постачальника <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_Instructions/ATB_external_EDI_instruction_post.html#id6>`__,`
5. Видаткова накладна (COMDOC_006),`Формування документа «Видаткова накладна» (COMDOC_006) на підставі відправленого документа «Повідомлення про відвантаження» (DESADV) <https://wiki.edin.ua/uk/latest/retail_2.0/formirovanie_otpravka_dokumenta_Vydatkova_Nakladna_na_EDI_Network_2.0.html#comdoc-006-desadv>`__,`Видаткова накладна (COMDOC_006) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_XML-structure.html#comdoc-006>`__,"`Алгоритм «Видаткова накладна» (COMDOC_006) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/COMDOC_006_API_work.html>`__"
6. Акт приймання-передачі (додаток 8) (COMDOC_032),`Формування документа «Акт приймання-передачі (додаток 8)» (COMDOC_032) на підставі відправленого документа «Повідомлення про відвантаження» (DESADV) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_Instructions/ATB_external_EDI_instruction_post.html#comdoc-032>`__,`Акт приймання-передачі (додаток 8) (COMDOC_032) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_XML-structure.html#comdoc-032>`__,"`Алгоритм «Акт приймання-передачі (додаток 8)» (COMDOC_032) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/COMDOC_032_API_work.html>`__"
7. Акт приймання товару до АПП (COMDOC_034),`Обробка вхідного документа «Акт приймання товару до АПП» (COMDOC_034) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_Instructions/ATB_external_EDI_instruction_post.html#comdoc-034>`__,`Акт приймання товару до АПП (COMDOC_034) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_XML-structure.html#comdoc-034>`__,"`Алгоритм «Акт приймання товару до АПП» (COMDOC_034) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/COMDOC_034_API_work.html>`__"
8. Акт приймання-передачі (додаток 9) (COMDOC_033),`Обробка вхідного документа «Акт приймання-передачі (додаток 9)» (COMDOC_033) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_Instructions/ATB_external_EDI_instruction_post.html#comdoc-033>`__,`Акт приймання-передачі (додаток 9) (COMDOC_033) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_XML-structure.html#comdoc-033>`__,"`Алгоритм «Акт приймання-передачі (додаток 9)» (COMDOC_033) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/COMDOC_033_API_work.html>`__"
9. Повідомлення про прийом (RECADV),`Формування «Повідомлення про прийом» (RECADV) на підставі вхідного «Повідомлення про відвантаження» (DESADV) <https://wiki.edin.ua/uk/latest/retail_2.0/formirovanie_RECADV_na_EDI_Network_2.0.html#recadv-desadv>`__,`Повідомлення про прийом (RECADV) <https://wiki.edin.ua/uk/latest/EDIN_Specs/XML/RECADV_x.html>`__,"`Алгоритм «Повідомлення про прийом» (RECADV) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/RECADV_API_work.html>`__"
10. Акт приймання товару до ВН (COMDOC_035),`Обробка вхідного документа «Акт приймання товару до ВН» (COMDOC_035) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_Instructions/ATB_external_EDI_instruction_post.html#comdoc-035>`__,`Акт приймання товару до ВН (COMDOC_035) <https://wiki.edin.ua/uk/latest/ClientProcesses/ATB/ATB_XML-structure.html#comdoc-035>`__,"`Алгоритм «Акт приймання товару до ВН» (COMDOC_035) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/COMDOC_035_API_work.html>`__"
