Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (16),Номер документу
ТипДокументу,M,Рядок (50),"Тип документа: Акт приймання товару до ВН"
КодТипуДокументу,M,«035»,"Допустиме значення: 035 => Акт приймання товару до ВН"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
НомерЗамовлення,M,Рядок (20),Номер замовлення
ДатаЗамовлення,M,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
НомерДоговоруПоставки,M,Рядок (30),"Номер договору, за яким здійснюється поставка"
ДатаДоговоруПоставки,M,Дата (РРРР-ММ-ДД),"Дата договору, за яким здійснюється поставка"
ПлановаДатаДоставки,M,Дата (РРРР-ММ-ДД),"Планова дата поставки"
ФактичнаДатаДоставки,M,Дата (РРРР-ММ-ДД),"Фактична дата поставки"
ДокВерсія,M,Число позитивне (1-99),"Версія документа"
**ДокПідстава**,M,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (30),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Тип документа: Видаткова накладна"
КодТипуДокументу,M,«006»,"Допустиме значення: 006 => Видаткова накладна"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу-підстави
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
НомерВідвантаження,M,Рядок (50),Номер повідомлення про відвантаження
ДатаВідвантаження,M,Дата (РРРР-ММ-ДД),Дата повідомлення про відвантаження
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення: Покупець"
ВидОсоби,M,Рядок (20),"Допустимі значення:

* Юридична;
* Фізична"
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер
IBAN,M,Рядок,IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,M,Рядок (20),Телефон контрагента
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**ЮрАдреса**,M, ,Юридична адреса контрагента (початок блоку)
Індекс,M,Integer (5),Індекс
Область,M,Рядок (50),Область
Місто,M,Рядок (50),Місто
Вулиця,M,Рядок (50),Вулиця
**ЮрАдреса**, , ,Юридична адреса контрагента (завершення блоку) 
**Контрагент**, , ,Контрагент (завершення блоку)
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення: Постачальник"
ВидОсоби,M,Рядок (20),"Допустимі значення:

* Юридична;
* Фізична"
НазваКонтрагента,M,Рядок (200),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер
IBAN,M,Рядок,IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,M,Рядок (20),Телефон контрагента
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**ЮрАдреса**,M, ,Юридична адреса контрагента (початок блоку)
Індекс,M,Integer (5),Індекс
Область,M,Рядок (50),Область
Місто,M,Рядок (50),Місто
Вулиця,M,Рядок (50),Вулиця
**ЮрАдреса**, , ,Юридична адреса контрагента (завершення блоку) 
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**МісцеДоставки**,M, ,Місце доставки (початок блоку)
GLN,M,Integer (13),Глобальний номер розташування (GLN) місця доставки
Індекс,M,Integer (5),Індекс
Область,M,Рядок (50),Область
Місто,M,Рядок (50),Місто
Вулиця,M,Рядок (50),Вулиця
**МісцеДоставки**, , ,Місце доставки (завершення блоку)
**Параметри**,M, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до основних полей специфікації"
"<Параметр ІД=«1» назва=«Точка доставки»>4829900017590</Параметр>",M,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=1 вказується точка доставки. Максимальна кількість тегів – 99."
"<Параметр ІД=«2» назва=«Адреса доставки»>Дніпропетровська обл., Дніпровський р-н, територія Слобожанської селищної ради, комплекс будівель та споруд №8</Параметр>",M,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=2 вказується розшифровка адреси доставки. Максимальна кількість тегів – 99."
**Параметри**,M, ,Параметри (завершення блоку)
**Таблиця**,M,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,M,Integer (3),Номер позиції
<Штрихкод ІД=«1»>6908876610177</Штрихкод>,M,Рядок (13),Штрих-код продукту. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,M,Рядок (32),Артикул покупця
КодУКТЗЕД,M,Integer (10),Код товару згідно УКТ ЗЕД (значення не менше 4 і не більше 10 символів)
Найменування,M,Рядок (250),Найменування товарної позиції
ЗаявленаКількість,M,Decimal (#.00),Заявлена кількість товарних позицій 
ПрийнятаКількість,M,Decimal (#.00),Прийнята кількість товарних позицій 
ОдиницяВиміру,M,Рядок (10),Одиниці виміру [2]_
БазоваЦіна,M,Decimal (#.00),Ціна за одиницю без ПДВ
ЦінаЗіЗнижкоюБезПДВ,O,Decimal (#.00),"Цiна за одиницю зі знижкою, без ПДВ"
**ВсьогоПоРядку**,M,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
СумаБезПДВ,M,Decimal (#.00),Сума без ПДВ
СумаПДВ,O,Decimal (#.00),Сума ПДВ
Сума,O,Decimal (#.00),Сума
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
СтавкаПДВ,M,«0»/«7»/«20»,"Ставка податку на додану вартість (%); Допустиме значення: 0 / 7 / 20"
ВідсотокЗнижки,O,Decimal (#.00),Відсоток знижки
**Причина**,M,Кількість входжень вузла: Min = 0; Max = 1,Причина для повернення (початок блоку)
Кількість,M,Decimal (#.00),Кількість відхилень
**Причина**, , ,Причина для повернення (завершення блоку)
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ВсьогоПоДокументу**,M,Сумарні значення позицій за документом (початок блоку), 
СумаБезПДВ,M,Decimal (#.00),Сума без ПДВ по документу
ПДВ,M,Decimal (#.00),Сума ПДВ по документу
Сума,M,Decimal (#.00),Сума з ПДВ по документу
**ВсьогоПоДокументу**,M, ,Сумарні значення позицій за документом (завершення блоку)
**ЕлектроннийДокумент**,M, ,Завершення документу
