Назва поля, Тип [1]_, Формат, Опис
**DESADV**,,, Початок документа
NUMBER, M, Рядок (50), Номер повідомлення про відвантаження
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
VERSION, M, Ціле позитивне число (1-99), "Версія документа (на рівні одного ланцюжка документів). При заміні документа (номер документа зберігається) потрібно збільшувати значення на одиницю (n+1)"
DELIVERYDATE, M, Дата (РРРР-ММ-ДД), Дата поставки
DELIVERYTIME, O, Час (год: хв), Час поставки
ORDERNUMBER, M, Рядок (50), Номер замовлення
ORDERDATE, M, Дата (РРРР-ММ-ДД), Дата замовлення
ORDRSPNUMBER, O, Рядок (16), Номер підтвердження замовлення
ORDRSPDATE, O, Дата (РРРР-ММ-ДД), Дата підтвердження замовлення
DELIVERYNOTENUMBER, O, Рядок (16), Номер накладної
DELIVERYNOTEDATE, O, Дата (РРРР-ММ-ДД), Дата накладної
RECIPTYPE, O, Рядок (1),"Доступні значення:

* 0 - «Пряма поставка на АТБ» (за замовчуванням),
* 1 - «Поставка зі складів Логістик Юніон»."
INFO, O, Рядок (70), Вільний текст
PAYMENTTERM, O, Дата (РРРР-ММ-ДД), Кінцева дата оплати товару
SHIPMENTS, O, Рядок (1), Перевезення
CAMPAIGNNUMBER, O, Рядок (70), Номер договору на поставку
TRANSPORTERTYPE, O, Рядок (70), Тип транспорту
TRANSPORTTYPE, О,"Рядок (2, 3)","Тип транспортування:
20 - залізничний,
30 - дорожній,
40 - повітряний,
60 - спарений,
100 - кур'єрська служба"
PACKAGEWEIGHT,O,"Decimal (18,3) / Розділення крапкою",Вага по накладній
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN постачальника
BUYER, M, Число (13), GLN покупця
DELIVERYPLACE, M, Число (13), GLN місця доставки
FINALRECIPIENT, O, Число (13), GLN кінцевого консигнатора
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (початок блоку)
HIERARCHICALID, M, Число позитивне, Номер ієрархії упаковки
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, M, Число позитивне, Номер товарної позиції
PRODUCT, M,"Число (8, 10, 14)", Штрихкод продукту
PRODUCTIDSUPPLIER, O, Рядок (16), Артикул в БД постачальника
IDPRODUCER, O, Рядок (8), Код виробника
PRODUCTIDBUYER, O, Рядок (16), Артикул в БД покупця
BUYERNUMBER, О, Число ціле (16), Внутрішній системний номер артикулу в БД покупця
DELIVEREDQUANTITY, M, Число позитивне,"кількість, що поставляється"
DELIVEREDUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
ORDEREDQUANTITY, O, Число позитивне, Замовлена кількість
ORDERUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
AMOUNT, O, Число десяткове, Сума товару без ПДВ
AMOUNTWITHVAT, O, Число десяткове, Сума товару з ПДВ
CUSTOMSTARIFFNUMBER, O, Число (4-10), Код УКТЗЕД / Номер державної митної декларації (ВМД)
ADVICEPRICE, O, Число ціле з трьома знаками після коми, Рекомендована ціна (державою)
PRICE, O, Число десяткове, Ціна продукту без ПДВ
PRICEWITHVAT, O, Число десяткове, Ціна продукту з ПДВ
TAXRATE, O/M, 20/19/16/14/7/2/0,"Ставка ПДВ (20%, 19%, 16%, 14%, 7%, 2%, 0%). Поле обовʼязкове при роботі з ЮЗД (Видатковою накладною (COMDOC_006) та Актом приймання-передачі (додаток 8) (COMDOC_032))"
DESCRIPTION, O, Рядок (70), Опис продукту
GOODDATE, O, Дата (РРРР-ММ-ДД), Термін придатності
BRUTTOWEIGHT,O,"Decimal (18,3) / Розділення крапкою",Вага брутто
**POSITION**,,, Товарні позиції (закінчення блоку)
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
BRANCH_UUID, O, Рядок (36), "UUID гілки поставки (автоматично заповнюється платформою EDIN 2.0); приклад значення: ``7b6cc5d8-9e5d-1cf7-adc9-196836579863``"
**DESADV**,,, Закінчення документа
