Назва поля, Тип [1]_, Формат, Опис
**Document-Invoice**,,, Початок документа
**Invoice-Header**, М,, Заголовна частина (початок блоку)
InvoiceNumber, М, Рядок (35), номер Акта розбіжностей до транспортної накладної
InvoiceDate, М, Дата (РРРР-ММ-ДД), дата Акта розбіжностей до транспортної накладної
InvoiceTime,O,Час (ГГ:ХХ),Час документа
DocumentFunctionCode, М,DTN,"Код типу документа:

* DTN - Акт розбіжностей до транспортної накладної"
ContractNumber, О, Рядок (70), номер контракту
ContractDate, М, Дата (РРРР-ММ-ДД), дата контракту
InternalWarehouseNumber, M, Число (6-10),Внутрішній cкладський номер (Перші дві цифри номера замовлення замінюються на «77»)
**Invoice-Header**,,, Заголовна частина (закінчення блоку)
**Invoice-Reference**, O,, Підстава (початок блоку)
**Invoice**,O,,Транспортна накладна (початок блоку)
OriginalInvoiceNumber,O,Рядок(35),Номер транспортної накладної
OriginalInvoiceDate,O,yyyy-MM-dd,Дата транспортної накладної
**Invoice**,,,Транспортна накладна (закінчення блоку)
**Order**,О,, Замовлення (початок блоку)
BuyerOrderNumber, О, Число (6-10), Номер замовлення
BuyerOrderDate, О, Дата (РРРР-ММ-ДД), Дата замовлення
**Order**,,, Замовлення (закінчення блоку)
**Invoice-Reference**,,, Підстава (закінчення блоку)
**Invoice-Parties**,M,, Блок контрагентів (початок)
**Buyer**,,, Блок покупця (початок)
ILN, М, Число (13), GLN покупця
TaxID, М, Число (12), Податковий ідентифікаційний номер покупця
UtilizationRegisterNumber, М,"Число(8,10)", ЄДРПОУ покупця
Name, М, Рядок (175), назва покупця
StreetAndNumber, М, Рядок (35), вулиця і номер будинку покупця
CityName, М, Рядок (35), місто покупця
PostalCode, М, Рядок (9), поштовий код покупця
Country, O, Рядок (3), код країни покупця (код ISO 3166)
PhoneNumber, М, Рядок (35), телефон покупця
**Buyer**,,, Блок покупця (закінчення)
**Seller**,,, Блок продавця (початок)
ILN, М, Число (13), GLN продавця
TaxID, М, Число (12), Податковий ідентифікаційний номер продавця
CodeByBuyer, М, Рядок (35), номер договору на поставку
UtilizationRegisterNumber, М,"Число(8,10)", ЄДРПОУ продавця
Name, М, Рядок (175), назва продавця
StreetAndNumber, М, Рядок (140), вулиця і номер будинку продавця
CityName, М, Рядок (35), місто продавця
PostalCode, М, Рядок (9), поштовий код продавця
Country, O, Рядок (3), код країни продавця (код ISO 3166)
PhoneNumber, М, Рядок (35), телефон продавця
IBAN, O,"UA + NN + 351005 + XXXXXXXXXXXXXXXXXXX

UA — (2 літери) — код країни (ГОСТ ISO 3166-1);

NN — (2 цифри) — контрольне число;

351005 — (6 цифр) — МФО;

XXX...XXX — (19 цифр) — рахунок клієнта.",IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
**Seller**,,, Блок продавця (закінчення)
**Invoice-Parties**,,, Блок контрагентів (закінчення)
**Invoice-Lines**,O,, Таблична частина (початок блоку)
**Line**,O,, Рядок (початок блоку)
**Line-Item**,M,, Позиція (початок блоку)
LineNumber, М, Ціле число, номер рядка
EAN, O, Число [0-9] (14), Штрих-код продукту
BuyerItemCode, O, Рядок (16),Артикул в БД покупця (МЕТРО)
ProductIdBuyer, M, Рядок (16), Артикул в БД MGB
LogisticItemCode, O, Рядок (16),Артикул FM Logistic
ItemDescription, М, Рядок (210), Опис товару
UnitOfMeasure, М, Рядок (3), "Одиниці виміру. Доступні значення:

* PCE - шт.
* KGM - кг."
InvoiceDeliveredQuantity, М, Ціле позитивне число; Число десяткове (3 знаки після коми) при UnitOfMeasure=KGM, Кількість доставлених Метро одиниць в транспортній накладній
AcceptedQuantity, М, Ціле позитивне число; Число десяткове (3 знаки після коми) при UnitOfMeasure=KGM, Кількість прийнятих Метро одиниць
ReturnedQuantity, М, Ціле число; Число десяткове (3 знаки після коми) при UnitOfMeasure=KGM, Кількість повернених Метро одиниць 
**ReasonRejection**,,, Причина відмови (початок блоку)
ReasonCode, М,Число(2),"Код причини повернення:

* 1 - Зіпсований;
* 2 - Брак;
* 3 - Бій;
* 4 - Невідповідність ціни;
* 5 - Відсутність в замовленні;
* 6 - Недовіз;
* 7 - Без документів;
* 8 - Пересорт;
* 9 - Невідповідність штрих-коду;
* 10 - Відсутність в БД;
* 11 - Нетоварний вигляд;
* 12 - Бомбаж;
* 13 - Розвакуумація;
* 14 - Понад заказу;
* 15 - Невідповідність назви;
* 16 - Невідповідність грамовки;
* 17 - Відсутність сертифікатів;
* 18 - Відсутність терміну придатності;
* 19 - Відсутність ветеринарного свідоцтва;
* 20 - Відсутність акцизних марок;
* 21 - Відсутність інформаціі для покупців;
* 22 - Відсутність рекомендованої ціни на тютюнових виробах;
* 23 - Відсутність дати виготовлення;
* 24 - Відсутність кінцевого терміну реалізації;
* 25 - Надлишки;
* 26 - Малий термін;
* 27 - Протерміновано;
* 99 - Вільний текст"
ReasonText, M, Рядок (75),Вільний текст вказання причини відмови товару
**ReasonRejection**,,, Причина відмови (закінчення блоку)
**Line-Item**,,, Позиція (закінчення блоку)
**Line**,,, Рядок (закінчення блоку)
**Invoice-Lines**,,, Таблична частина (закінчення блоку)
**Invoice-Summary**,O,, Підсумки (початок блоку)
TotalLines, M, Ціле позитивне число, Кількість рядків в документі
TotalAcceptedQuantity,М,Число позитивне,Загальна кількість прийнятих одиниць товару
**Invoice-Summary**,,, Підсумки (закінчення блоку)
**Document-Invoice**,,, Закінчення документа
