Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (16),Номер документу
ТипДокументу,M,Рядок (50),"Тип документу: Видаткова накладна"
КодТипуДокументу,M,«006»,"Допустиме значення: 006 => Видаткова накладна"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
ТермінОплати,O,Дата (РРРР-ММ-ДД),Термін оплати по поставці товару
**ТермінПідпису**,O,,Термін дії підписання документу (початок блоку)
Початок,M,Дата (РРРР-ММ-ДД),Дата початку терміну дії підписання
Кінець,M,Дата (РРРР-ММ-ДД),Дата закінчення терміну дії підписання
НомерЗамовлення,O,Рядок (20),Номер замовлення за документом
ДатаЗамовлення,O,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
МісцеСкладання,O,Рядок (255),Місце складання документу
**ДокПідстава**,M,, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (30),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Типи документів: Договір, Додаткова угода…(типи комерційних документів)"
КодТипуДокументу,M,"«001» / «002» / «003» …»",`Код типу документу <https://wiki-v2.edin.ua/books/xml-specifikaciyi-dokumentiv/page/pidtipi-elektronnix-dokumentiv>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу-підстави
ОдностороннєПідписання,O,Integer (1),"Допустиме значення: 1 - Підписання у відповідь не очікується (документ підписується лише відправником)"
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення: 

* Покупець;
* Отримувач;
* Продавець;
* Замовник;
* Виконавець;
* Перевізник;
* Платник;
* Підрядник;
* Відправник;
* Вантажоодержувач;
* Вантажовідправник;
* Експедитор;
* Клієнт;
* Консультант;"
ВидОсоби,M,Рядок (20),"Допустимі значення:
Юридична;
Фізична"
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер
СвідоцтвоПДВ,O,Integer (10),Свідоцтво ПДВ контрагента
МФО,O,Integer (6),МФО банку контрагента
ПоточРах,O,Рядок,Поточний рахунок контрагента
IBAN,O,Рядок (35),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Банк,O,Рядок,Банк контрагента
Телефон,O,Рядок (20),Телефон контрагента
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**МісцеДоставки**,M, ,Місце доставки (початок блоку)
GLN,O,Integer (13),Глобальний номер розташування (GLN) місця доставки
Індекс,O,Integer (5),Індекс
Область,O,Рядок (50),Область
Місто,O,Рядок (50),Місто
Вулиця,O,Рядок (50),Вулиця
**МісцеДоставки**, , ,Місце доставки (завершення блоку)
**Параметри**,M, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до основних полів специфікації"
Параметр,O,Рядок (50),"Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю."
**Параметри**,M, ,Параметри (завершення блоку)
**Таблиця**,O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,M,Integer (3),Номер позиції
<Штрихкод ІД=«1»>6908876610177</Штрихкод>,O,Рядок (13),Штрих-код продукту. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,O,Рядок (10),Артикул покупця
АртикулПродавця,O,Рядок (10),Артикул продавця
КодУКТЗЕД,O,Integer (10),Код товару згідно УКТ ЗЕД (значення не менше 4 і не більше 10 символів)
ДКПП,О/M (M - при відсутності коду УКТЗЕД),Рядок (12),"Код по Державному класифікатору продукції та послуг. Може приймати значення: 58.29. , 68.20.1, 68.20.12, 68.20.12-00.00."
Найменування,M,Рядок (50),Найменування товарної позиції
ПрийнятаКількість,M,Decimal (#.000),Прийнята кількість товарних позицій 
ОдиницяВиміру,O,Рядок (10),`Одиниці виміру <https://wiki-v2.edin.ua/books/xml-specifikaciyi-dokumentiv/page/odinici-vimiru>`__
БазоваЦіна,O,Decimal (#.00),Ціна за одиницю без ПДВ
ПДВ,O,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Ціна,O,Decimal (#.00),Ціна за одиницю з ПДВ
КількістьАльтОВ,O,Decimal (#.000),Кількість одиниць товару (в альтернативних одиницях виміру)
АльтОВ,O,Рядок (10),"Альтернативна одиниця виміру. Може бути вказана у випадку, необхідності вказання в документі додаткової одиниці виміру, відповідно до постанови "Про запровадження режиму експортного забезпечення""
АльтЦінаБезПДВ,O,Decimal (#.000),Ціна без ПДВ (в альтернативних одиницях виміру)
ОзнакаІмпорту,O,Integer (1),"Може приймати значення: 
1 - Імпортний товар, 
2 - Не імпортний товар"
МРЦ,O,Decimal (#.00),Максимальна роздрібна ціна
Сертифікат,O,Рядок (50),Інформація по сертифікату
**ВсьогоПоРядку**,O,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
СумаБезПДВ,O,Decimal (#.00),Сума без ПДВ без знижки
СумаПДВ,O,Decimal (#.00),Сума ПДВ
Сума,O,Decimal (#.00),Сума
СумаЗіЗнижкоюБезПДВ,O,Decimal (#.00),Сума без ПДВ зі знижкою
СумаЗіЗнижкоюЗПДВ,O,Decimal (#.00),Сума з ПДВ зі знижкою
АльтСумаБезПДВ,O,Decimal (#.00),Сума без ПДВ по рядку (в альтернативних одиницях виміру)
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
СтавкаПДВ,M,«0»/«7»/«20»,"Ставка податку на додану вартість (%); Допустиме значення: 0 / 7 / 20"
**ЦінаРегулярна**,O,,Регулярна ціна (початок блоку)
ЦінаБезПДВ,O,Decimal (#.00),Цiна без ПДВ
ЦінаЗіЗнижкоюБезПДВ,O,Decimal (#.00),Цiна без ПДВ зі знижкою
ЦінаЗіЗнижкоюЗПДВ,O,Decimal (#.00),Цiна з ПДВ зі знижкою
**ЦінаРегулярна**,,,Регулярна ціна (Завершення блоку)
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ВсьогоПоДокументу**,O,Сумарні значення позицій за документом (початок блоку), 
СумаБезПДВ,O,Decimal (#.00),Сума по всім позиціям без ПДВ без знижки
ВсьогоЗіЗнижкоюБезПДВ,O,Decimal (#.00),Сума по всім позиціям без ПДВ зі знижкою
ВсьогоЗіЗнижкоюЗПДВ,O,Decimal (#.00),Сума по всім позиціям з ПДВ зі знижкою
ПДВ,M,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Сума,M,Decimal (#.00),Сума
**ВсьогоПоДокументу**,M, ,Сумарні значення позицій за документом (завершення блоку)
**ЕлектроннийДокумент**,M, ,Завершення документу
