Назва поля, Тип [1]_, Формат, Опис
**ORDER**,,, Початок документа
NUMBER, М, Рядок (50), Номер замовлення на покупку
DATE, М, Дата (РРРР-ММ-ДД), Дата замовлення
DOCTYPE, O, Рядок, "Тип документа:

* O - оригінал,
* R - заміна,
* D - видалення,
* F - фіктивність замовлення,
* PO - попереднє замовлення,
* OS - замовлення на послугу / маркетинг"
ACTION,O, Рядок, "Тип активності:

* 4 - поставка змінена,
* 5 - заміна документа,
* 29 - поставвка прийнята,
* 27 - поставка не прийнята"
CAMPAIGNNUMBER, O, Рядок (70), Номер договору постачання
CAMPAIGNNUMBERDATE, O, Дата (РРРР-ММ-ДД), Дата договору постачання
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN постачальника
RECIPIENT, M, Число (13), GLN одержувача повідомлення
BUYERCODE, O, Число (35), ЄДРПОУ
BUYER, M, Число (13), Унікальний код місцеперебування компанії
SENDER, M, Число (13), GLN відправника повідомлення
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата постачання товару
DELIVERYPLACE, M, Число (13), Унікальний код місцеперебування складу
**POSITION**,,, Товарні позиції (початок блоку)
PREORDERNUM,O,Рядок (10), № попереднього замовлення (якщо Рядок замовлення створений на основі попереднього замовлення)
POSITIONNUMBER, М, Число позитивне, Номер товарної позиції
PRODUCTIDBUYER, О, Рядок (16), Код товару
PRODUCT, M, "Число (8, 10, 14)", Штрихкод товару
BRENDNAME, О, Рядок (70), Найменування бренду товару
CATEGORYNAME, О, Рядок (70), Найменування категорії товару
PRODUCTIDSUPPLIER, О, Рядок (16), Код товару в системі постачальника
VAT, O, Число десяткове, "Ставка ПДВ,%"
ORDEREDQUANTITY, M, "Десяткове число в форматі #.###", Замовлена кількість
ORDERUNIT, O, Рядок (3), `Одиниці вимірювання <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
ORDERPRICE, O, "Число десяткове в форматі #.###", Ціна продукту без ПДВ
AMOUNT, O, "Число десяткове в форматі #.###", Сума без ПДВ
PRICEWITHVAT, O, "Число десяткове в форматі #.###", Ціна продукту з ПДВ
AMOUNTWITHVAT, O, "Число десяткове в форматі #.###", Сума з ПДВ
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**ORDER**,,, Закінчення документа
