Назва поля, Тип [1]_, Формат, Опис
**ORDRSP**,,, Початок документа
NUMBER, M, Рядок (50), Номер підтвердження в системі постачальника
DATE, M, Дата (РРРР-ММ-ДД), Дата підтвердження в системі постачальника
ORDERNUMBER, M, Рядок (50), Номер замовлення
DOCTYPE, O, Рядок, "Тип документа, завжди O

* O - оригінал
* R - заміна
* D - видалення"
ORDERDATE, M, Дата (РРРР-ММ-ДД), Дата замовлення
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN постачальника
SENDER, M, Число (13), GLN відправника повідомлення
BUYER, M, Число (13), GLN покупця
RECIPIENT, M, Число (13), GLN одержувача повідомлення
DELIVERYDATE, M, Дата (РРРР-ММ-ДД), Дата доставки
DELIVERYPLACE, M, Число (13), GLN місця доставки
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, M, Ціле число, Номер позиції
PRODUCTIDBUYER, O, Рядок (16), Код товару покупця
PRODUCT, M,"Ціле число (8, 10, 14)", Штрих-код продукту
PRODUCTIDSUPPLIER, O, Рядок (16), Артикул в БД постачальника
CUSTOMSTARIFFNUMBER, О, Ціле позитивне число, "Код УКТЗЕД / Номер державної митної декларації (ВМД)"
VAT, O, "Рядок (3) 20/19/16/14/7/2/0","Ставка ПДВ (20%, 19%, 16%, 14%, 7%, 2%, 0%)"
TAXAMOUNT, М, Число десяткове, ПДВ
ORDEREDQUANTITY, M, Ціле позитивне число, Замовлена кількість
ACCEPTEDQUANTITY, M, Ціле позитивне число, Підтверджена кількість
PRICE, O, "Число десяткове, в форматі 0.###", Ціна продукту без ПДВ
PRICEWITHVAT, O, "Число десяткове, в форматі 0.###", Ціна продукту з ПДВ
AMOUNT, O, "Число десяткове, в форматі 0.###", Сума товару без ПДВ
AMOUNTWITHVAT, O, "Число десяткове, в форматі 0.###", Сума товару з ПДВ
DISCOUNT, О, "Число десяткове, в форматі 0.###", Сума знижки
LATESTDELIVERYDATE, О, Дата (РРРР-ММ-ДД), Дата постачання
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**ORDRSP**,,, Закінчення документа
