Назва поля,Тип [1]_,Формат,Опис
**Document-Invoice**,,, Початок документа
**Invoice-Header**, М,, Початок основного блоку
InvoiceNumber, М, Рядок (16), Номер Акта розбіжностей
InvoiceDate, М, Дата (РРРР-ММ-ДД), Дата Акта розбіжностей
DocumentFunctionCode, М, CVN, Код документа (константа)
ContractNumber, M, Рядок (35), Номер договору
ContractDate, М, Дата (РРРР-ММ-ДД), Дата договору
CorrectionReason, М,"NAC / NRC","причина коригування:

* NAC - коригування кількості
* NRC - коригування ціни"
**Invoice-Header**, M,, Закінчення основного блоку
**Invoice-Reference**, M,, Підстава (початок блоку)
**Order**, M,, Замовлення (початок блоку)
BuyerOrderNumber, M, Рядок (35), Номер замовлення
BuyerOrderDate, M, Дата (РРРР-ММ-ДД), Дата замовлення
**Order**,,, Замовлення (закінчення блоку)
**DeliveryNote**,M,, Повідомлення про доставку (початок блоку)
DeliveryNoteNumber,M,,Номер документа-підстави
DeliveryNoteDate,M,,Дата складання документа
**DeliveryNote**,M,, Повідомлення про доставку (закінчення блоку)
**Invoice-Reference**,,, Підстава (закінчення блоку)
**Invoice-Parties**,M,, Блок контрагентів (початок)
**Buyer**,M,, Блок покупця (початок)
ILN, М, Число (13), GLN покупця
TaxID, М, Число (12), Податковий ідентифікаційний номер покупця
UtilizationRegisterNumber, М,"Число(8,10)", ЄДРПОУ покупця
Name, М, Рядок (60), назва покупця
StreetAndNumber, М, Рядок (35), вулиця і номер будинку покупця
CityName, М, Рядок (35), місто покупця
PostalCode, М, Рядок (9), поштовий код покупця
Country, O, Рядок (3), код країни покупця (код ISO 3166)
PhoneNumber, М, Рядок (35), телефон покупця
**Buyer**,,, Блок покупця (закінчення)
**Seller**,M,, Блок продавця (початок)
ILN, М, Число (13), GLN продавця
TaxID, М, Число (12), Податковий ідентифікаційний номер продавця
UtilizationRegisterNumber, М,"Число(8,10)", ЄДРПОУ продавця
Name, М, Рядок (60), назва продавця
StreetAndNumber, М, Рядок (140), вулиця і номер будинку продавця
CityName, М, Рядок (35), місто продавця
PostalCode, М, Рядок (9), поштовий код продавця
Country, O, Рядок (3), код країни продавця (код ISO 3166)
PhoneNumber, М, Рядок (35), телефон продавця
**Seller**,,, Блок продавця (закінчення)
**DeliveryPoint**, M,, Точка доставки (початок блоку)
ILN,M,Число (13),Глобальний номер розташування (GLN) точки доставки
Name,O,Рядок (80),Юридична особа об'єкту доставки
CityName,M,Рядок (35),Місто
StreetAndNumber,M,Рядок (140),Вулиця і номер будинку
PostalCode,O,Рядок (9),Поштовий код
**DeliveryPoint**,,, Точка доставки (закінчення блоку)
**Invoice-Parties**,,, Блок контрагентів (закінчення)
**Invoice-Lines**,M,, Рядки ТН (початок блоку)
**Line**,M,, Рядок (початок блоку)
**Line-Item**,M,, Позиція (початок блоку)
LineNumber, М, Ціле число (3), номер позиції в табличній частині
EAN, М, Число (13), Штрих-код продукту
BuyerItemCode,M,Строка (10),Артикул в БД покупця
ExternalItemCode,M, Рядок (4-10), код товару згідно з довідника УКТ ЗЕД
ItemDescription, М, Рядок (50), Опис товару
InvoiceQuantity, M,"Decimal (18,3)", Замовлена кількість (кількість товару за накладною)
BuyerUnitOfMeasure, M, Рядок (10), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
InvoiceUnitNetPrice, M,"Decimal (18,5)", Ціна однієї одиниці без ПДВ
TaxRate, M, Число позитивне,"Ставка ПДВ (20%, 7%, 0%)"
TaxAmount, O,"Decimal (18,2)", Сума ПДВ по артикулу
NetAmount, O,"Decimal (18,2)", Сума без ПДВ
AcceptedInvoiceQuantity, M,"Decimal (18,3)", Прийнята кількість
CorrectionInvoiceQuantity, M / -,"Positive decimal (18,3)", Кількість товару за коригувальною накладною. Поле обов'язкове і повинне бути присутнім в документі **тільки** в разі **Коригування кількості**
CorrectionInvoiceUnitNetPrice, M / -,"Positive decimal (18,2)", Ціна товару без ПДВ за коригувальною накладною. Поле обов'язкове і повинне бути присутнім в документі **тільки** в разі **Цінових коригувань**
CorrectionInvoiceUnitGrossPrice, M / -,"Positive decimal (18,2)", Ціна товару з ПДВ за коригувальною накладною. Поле обов'язкове і повинне бути присутнім в документі **тільки** в разі **Цінових коригувань**
CorrectionNetAmount, M,"Decimal (18,2)", Сума без ПДВ з урахуванням коригування
CorrectionTaxAmount, M,"Decimal (18,2)", Сума ПДВ з урахуванням коригування
CorrectionGrossAmount, M,"Decimal (18,2)", Сума з ПДВ з урахуванням коригування
**ReasonRejection**,,, Причина розбіжності (початок блоку)
ReasonCode, М,Число(2),"Код причини повернення:

* 1 - Зіпсований;
* 2 - Брак;
* 3 - Бій;
* 4 - Невідповідність ціни;
* 5 - Відсутність в замовленні;
* 6 - Недовіз;
* 7 - Без документів;
* 8 - Пересорт;
* 9 - Невідповідність штрих-коду;
* 10 - Відсутність в БД;
* 11 - Нетоварний вигляд;
* 12 - Бомбаж;
* 13 - Розвакуумація;
* 14 - Понад заказу;
* 15 - Невідповідність назви;
* 16 - Невідповідність грамовки;
* 17 - Відсутність сертифікатів;
* 18 - Відсутність терміну придатності;
* 19 - Відсутність ветеринарного свідоцтва;
* 20 - Відсутність акцизних марок;
* 21 - Відсутність інформаціі для покупців;
* 22 - Відсутність рекомендованої ціни на тютюнових виробах;
* 23 - Відсутність дати виготовлення;
* 24 - Відсутність кінцевого терміну реалізації;
* 25 - Надлишки;
* 26 - Малий термін;
* 27 - Протерміновано;
* 99 - Вільний текст"
ReasonText, M, Рядок (75),Вільний текст вказання причини розбіжності товару
**ReasonRejection**,,, Причина розбіжності (закінчення блоку)
**Line-Item**,,, Позиція (закінчення блоку)
**Line**,,, Рядок (закінчення блоку)
**Invoice-Lines**,,, Рядки ТН (закінчення блоку)
**Invoice-Summary**,,, Підсумки (початок блоку)
TotalLines, M, Ціле число (4), Кількість рядків в документі
**Tax-Summary**,,, Податки (початок блоку)
**Tax-Summary-Line**,,, Рядок податків (початок блоку)
TaxRate, O, Число позитивне,"Ставка ПДВ (20%, 7%, 0%)"
TaxAmount, O,"Decimal (18,2)", Сума податку для кожної категорії податку
TaxableAmount, O,"Decimal (18,2)", Оподаткована сума за обраною категорією податку
CorrectionTaxAmount, M,"Decimal (18,2)", Загальна сума коригування ПДВ
CorrectionTaxableAmount, M,"Decimal (18,2)", Загальна сума коригування без ПДВ
CorrectionGrossAmount, M,"Decimal (18,2)", Загальна сума коригування з ПДВ
**Tax-Summary-Line**,,, Рядок податків (закінчення блоку)
**Tax-Summary**,,, Податки (закінчення блоку)
**Invoice-Summary**,,, Підсумки (закінчення блоку)
**Document-Invoice**,,, Закінчення документа
