Назва поля,Тип [1]_,Формат,Опис
**Document-Invoice**,M,,Початок документа
**Invoice-Header**,M,,Заголовна частина (початок блоку)
InvoiceNumber,M,Рядок(35),Номер документа
InvoiceDate,M,yyyy-MM-dd,Дата документа
DocumentFunctionCode,M,APP,"Функціональний код типу документа:

* APP - акт прийому-передачі"
ContractNumber,M,Рядок(70),Номер контракту
ContractDate,O,yyyy-MM-dd,Дата контракту
**Invoice-Header**,,,Заголовна частина (закінчення блоку)
**Invoice-References**,O,,Виноски з рахунку (початок блоку)
**ReceivingAdvices**,O,,Резерви (початок блоку)
**ReceivingAdvice**,O,,Отримане рішення по резерву (початок блоку). Блоків може бути кілька
ReceivingAdviceNumber,O,Рядок(70),Номер отриманого резерву
ReceivingAdviceDate,O,yyyy-MM-dd,Дата резерву
ReceivingAdviceTime,O,HH:mm,Час резерву
**ReceivingAdvice**,,,Отримане рішення (закінчення блоку)
**ReceivingAdvices**,,,Резерви (закінчення блоку)
**Invoice-References**,,,Виноски з рахунку (закінчення блоку)
**Invoice-Parties**,M,,Контрагенти (початок блоку)
**Buyer**,M,,Покупець (початок блоку)
ILN,M,[0-9](13),GLN Покупця
TaxID,O,Рядок(70),Податковий ідентифікатор Покупця
Name,M,Рядок(175),Назва Покупця
StreetAndNumber,O,Рядок(140),Назва вулиці та номер будинку Покупця
CityName,O,Рядок(35),Назва міста Покупця
PostalCode,O,Рядок(17),Поштовий індекс Покупця
UtilizationRegisterNumber,M,Рядок(70),NIP Покупця
**Buyer**,,,Покупець (закінчення блоку)
**Seller**,M,,Продавець (початок блоку)
ILN,M,[0-9](13),GLN Продавця
TaxID,M,Рядок(70),Податковий ідентифікатор Продавця
Name,M,Рядок(175),Назва Продавця
StreetAndNumber,M,Рядок(140),Назва вулиці та номер будівлі Продавця
CityName,M,Рядок(35),Назва міста Продавця
PostalCode,M,Рядок(17),Поштовий індекс Продавця
UtilizationRegisterNumber,M,Рядок(70),NIP Продавця
**Seller**,,,Продавець (закінчення блоку)
**Invoice-Parties**,,,Контрагенти (закінчення блоку)
**Invoice-Lines**,O,,Таблична частина (початок блоку)
**Line**,O,,Рядок (початок блоку)
**Line-Item**,M,,Пункт в рядку (початок блоку)
LineNumber,M,Число,Номер рядка
UnloadingPlace,M,[0-9](13),Місце розвантаження
IdentificationCode,M,Рядок(10),Код Місця розвантаження
**CargoPlaces**,M,,"Грузові місця, (початок блоку). Блок може містити список"
CargoPlace,M,Рядок(35),"Грузове місце, може бути кілька"
**CargoPlaces**,,,"Грузові місця, (закінчення блоку)"
**Invoices**,M,,Видаткові накладні (початок блоку)
**Invoice**,O,,Видаткова накладна (початок блоку). Блоків може бути кілька
OriginalInvoiceNumber,M,Рядок(70),Номер видаткової накладної
OriginalInvoiceDate,O,yyyy-MM-dd,Дата видаткової накладної
**Invoice**,,,Видаткова накладна(закінчення блоку)
**Invoices**,,,Видаткові накладні (початок блоку)
**Orders**,M,,Замовлення (початок блоку)
**Order**,M,,Замовлення (початок блоку). Блоків може бути кілька
BuyerOrderNumber,M,Рядок (35),Номер замовлення
BuyerOrderDate,M,yyyy-MM-dd,Дата складання документа Замовлення
**Order**,,,Замовлення (закінчення блоку)
**Orders**,,,Замовлення (закінчення блоку)
TemperatureMode,M,Ціле число,"Температурний режим; може приймати значення:

* 0 - ні
* 1 - так"
DeclaredQuantity,O,Число десяткове(2),Кількість місць
TransportUnit,O,Ціле число,"Транспортний юніт. Можливі значення:

* 1 - EURO піддон
* 2 - Короб
* 3 - Нестандартний"
**Line-Item**,,,Пункт в рядку (закінчення блоку)
**Line**,,,Рядок (закінчення блоку)
**Invoice-Lines**,,,Таблична частина (закінчення блоку)
**Invoice-Summary**,O,,Всього (початок блоку)
TotalLines,M,Число,Всього рядків
TotalDeclaredQuantity,O,Число десяткове(2),Всього місць
**Invoice-Summary**,,,Всього (закінчення блоку)
**Document-Invoice**,,,Завершення документа
