Назва поля, Тип [1]_, Формат, Опис
**Document-Invoice**,,, Початок документа
**Invoice-Header**, М,, Початок основного блоку
InvoiceNumber, М, Число (15), номер ТН
InvoiceDate, М, Дата (РРРР-ММ-ДД), дата ТН
InvoiceCurrency, М, Рядок (3), валюта
InvoicePostDate, O, Дата (РРРР-ММ-ДД), дата відправки ТН
InvoicePostTime, O, Час (год: хв), час відправки ТН
DocumentFunctionCode, М,Рядок (3),"Код типу документа:

* CTN - коригувальна товарна накладна"
ContractNumber, М, Рядок (16), номер договору на поставку
ContractDate, М, Дата (РРРР-ММ-ДД), дата контракту
CorrectionReason, М,"NAC / PAC, NRC / PRC","причина коригування:

* NAC - коригування кількості на -
* PAC - коригування кількості на +
* NRC - коригування ціни на -
* PRC - коригування ціни на +"
**Invoice-Header**,,, Закінчення основного блоку
**Invoice-Reference**,,, Підстава (початок блоку)
**Order**, М,, Замовлення (початок блоку)
BuyerOrderNumber, М, Число (6-10), Номер замовлення
BuyerOrderDate, М, Дата (РРРР-ММ-ДД), Дата замовлення
**Order**,M,, Замовлення (закінчення блоку)
**DeliveryNote**,M,, Повідомлення про доставку (початок блоку)
DeliveryNoteNumber,M,,Номер документа-підстави
DeliveryNoteDate,M,,Дата складання документа
**DeliveryNote**,M,, Повідомлення про доставку (закінчення блоку)
**Invoice-Reference**,,, Підстава (закінчення блоку)
**Invoice-Parties**,M,, Блок контрагентів (початок)
**Buyer**,M,, Блок покупця (початок)
ILN, М, Число (13), GLN покупця
TaxID, М, Число (12), Податковий ідентифікаційний номер покупця
UtilizationRegisterNumber, М,"Число(8,10)", ЄДРПОУ покупця
Name, М, Рядок (175), назва покупця
**Buyer**,,, Блок покупця (закінчення)
**Seller**,M,, Блок продавця (початок)
ILN, М, Число (13), GLN продавця
TaxID, М, Число (12), Податковий ідентифікаційний номер продавця
UtilizationRegisterNumber, М,"Число(8,10)", ЄДРПОУ продавця
Name, М, Рядок (175), назва продавця
IBAN, O,"UA + NN + 351005 + XXXXXXXXXXXXXXXXXXX

UA — (2 літери) — код країни (ГОСТ ISO 3166-1);

NN — (2 цифри) — контрольне число;

351005 — (6 цифр) — МФО;

XXX...XXX — (19 цифр) — рахунок клієнта.",IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
**Seller**,,, Блок продавця (закінчення)
**DeliveryPoint**, M,, Точка доставки (початок блоку)
ILN,M,Число (13),Глобальний номер розташування (GLN) точки доставки
Name,O,Рядок (80),Юридична особа об'єкту доставки
CityName,M,Рядок (35),Місто
StreetAndNumber,M,Рядок (140),Вулиця і номер будинку
PostalCode,O,Рядок (9),Поштовий код
**DeliveryPoint**,,, Точка доставки (закінчення блоку)
**Payer**,M,, Платник (початок блоку)
ILN,M,Число (13),Глобальний номер розташування (GLN) точки доставки
Name,O,Рядок (80),Юридична особа об'єкту доставки
CityName,M,Рядок (35),Місто
StreetAndNumber,M,Рядок (140),Вулиця і номер будинку
PostalCode,O,Рядок (9),Поштовий код
**Payer**,,, Платник (закінчення блоку)
**Invoice-Parties**,,, Блок контрагентів (закінчення)
**Invoice-Lines**,M,, Рядки ТН (початок блоку)
**Line**,M,, Рядок (початок блоку)
**Line-Item**,M,, Позиція (початок блоку)
LineNumber, М, Ціле число, номер позиції в табличній частині
EAN, М, Число (14), Штрих-код продукту
BuyerItemCode,M,Строка (16),Артикул в БД покупця
ExternalItemCode,M, Рядок (4-10), код товару згідно з довідника УКТ ЗЕД
ItemDescription, М, Рядок (210), Опис товару
InvoiceQuantity, M,"Decimal (18,3)", Замовлена кількість (кількість товару за накладною)
BuyerUnitOfMeasure, M, Рядок (10), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
InvoiceUnitNetPrice, M,"Decimal (18,5)", Ціна однієї одиниці без ПДВ
InvoiceUnitGrossPrice, M,"Decimal (18,2)",Ціна однієї одиниці з ПДВ
TaxRate, M, Число позитивне,"Ставка ПДВ (20%, 7%, 0%)"
TaxAmount, M,"Decimal (18,2)", Сума ПДВ по артикулу
NetAmount, M,"Decimal (18,2)", Сума без ПДВ
GrossAmount, M,"Decimal (18,2)", Сума з ПДВ
CorrectionInvoiceQuantity, M / -,"Positive decimal (18,3)", Кількість товару за коригувальною накладною. Поле обов'язкове і повинне бути присутнім в документі **тільки** в разі **Коригування кількості**
CorrectionInvoiceUnitNetPrice, M / -,"Positive decimal (18,5)", Ціна товару без ПДВ за коригувальною накладною. Поле обов'язкове і повинне бути присутнім в документі **тільки** в разі **Цінових коригувань**
CorrectionInvoiceUnitGrossPrice, M / -,"Positive decimal (18,5)", Ціна товару з ПДВ за коригувальною накладною. Поле обов'язкове і повинне бути присутнім в документі **тільки** в разі **Цінових коригувань**
CorrectionNetAmount, M,"Decimal (18,2)", Сума без ПДВ з урахуванням коригування
CorrectionTaxAmount, M,"Decimal (18,2)", Сума ПДВ з урахуванням коригування
CorrectionGrossAmount, M,"Decimal (18,2)", Сума з ПДВ з урахуванням коригування
AdditionalInvoiceQuantity,O,Число позитивне,Кількість одиниць товару (в альтернативних одиницях виміру) згідно Постанови про РЕЗ 1261
AdditionalUnitOfMeasure,O,Рядок (3),Одиниця виміру (альт.) згідно Постанови про РЕЗ 1261
AdditionalNetAmount,O,Число позитивне,Ціна без ПДВ (альт.) згідно Постанови про РЕЗ 1261
AdditionalCorrectionInvoiceQuantity,O,"Decimal (18,3)",Кількість коригування (альт.) згідно Постанови про РЕЗ 1261
AdditionalCorrectionInvoiceUnitNetPrice,O,"Decimal (18,3)",Сума коригування без ПДВ (альт.) згідно Постанови про РЕЗ 1261
**Line-Item**,,, Позиція (закінчення блоку)
**Line**,,, Рядок (закінчення блоку)
**Invoice-Lines**,,, Рядки ТН (закінчення блоку)
**Invoice-Summary**,,, Підсумки (початок блоку)
TotalLines, M, Ціле число, Кількість рядків в документі
TotalNetAmount, M,"Decimal (18,2)", Загальна сума без ПДВ
TotalTaxAmount, M,"Decimal (18,2)", Сума ПДВ
TotalGrossAmount, M,"Decimal (18,2)", Загальна сума з ПДВ
**Tax-Summary**,,, Податки (початок блоку)
**Tax-Summary-Line**,,, Рядок податків (початок блоку)
CorrectionTaxAmount, M,"Decimal (18,2)", Загальна сума коригування ПДВ
CorrectionTaxableAmount, M,"Decimal (18,2)", Загальна сума коригування без ПДВ
CorrectionGrossAmount, M,"Decimal (18,2)", Загальна сума коригування з ПДВ
**Tax-Summary-Line**,,, Рядок податків (закінчення блоку)
**Tax-Summary**,,, Податки (закінчення блоку)
**Invoice-Summary**,,, Підсумки (закінчення блоку)
**Document-Invoice**,,, Закінчення документа
