Назва поля, Тип [1]_, Формат, Опис
**ORDER**,,, Початок документа
DOCUMENTNAME, М, Число позитивне, Назва документа (220 -замовлення)
NUMBER, М, Рядок (50), Номер замовлення
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата доставки
DELIVERYTIME, O, Час (год: хв), Час доставки
CAMPAIGNNUMBER, М, Рядок (70), Номер договору на поставку
CAMPAIGNNUMBERDATE, O, Дата (РРРР-ММ-ДД), Дата договору
CAMPAIGNTYPE, O,, Тип договору: MI – Invoice Matching
CURRENCY, O, Рядок (3), Код валюти
DOCTYPE, М, Рядок (1), "Тип документа:

* O - оригінал,
* R - заміна,
* D - видалення,
* F - фіктивність замовлення"
INFO, М, Рядок (70), Вільний текст
**PREORDER**,O,,Попередні замовлення (початок блоку)
PREORDERNUM,O,Рядок (10),Номер першого Попереднього замовлення (тег може бути використаний декілька разів)
**PREORDER**,O,,Попередні замовлення (закінчення блоку)
EXCHANGE_SCHEMA_TYPE, М, Число (13),"Схема документообігу:

* 0 - без ЮЗД
* 2 - схема «Match Invoice»
* 3 - схема «Не Match Invoice»"
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN постачальника
BUYER, M, Число (13), GLN покупця
DELIVERYPLACE, M, Число (13), GLN місця доставки
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне, Номер товарної позиції
PRODUCT, M, "Число (8, 10, 14)", Штрихкод продукту
PRODUCTIDSUPPLIER, О, Рядок (16), Артикул в БД постачальника
PRODUCTIDBUYER, О, Рядок (16), Артикул в БД покупця
ORDEREDQUANTITY, M, Число позитивне, Замовлена ​​кількість
ORDERUNIT, M, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
ORDERPRICE, O, Число десяткове, Ціна продукту без ПДВ
PRICEWITHVAT, O, Число десяткове, Ціна продукту з ПДВ
VAT, O, Число позитивне, "Ставка ПДВ,%"
**CHARACTERISTIC**,,, Характеристики (початок блоку)
DESCRIPTION, M, Рядок (70), Опис продукту
**CHARACTERISTIC**,,, Характеристики (закінчення блоку)
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**ORDER**,,, Закінчення документа
