Назва поля, Тип [1]_, Формат, Опис
**Document-Invoice**,,, Початок документа
**Invoice-Header**, М,, Початок основного блоку
InvoiceNumber, М, Рядок (35), номер Транспортної накладної
InvoiceDate, М, Дата (РРРР-ММ-ДД), дата Транспортної накладної
InvoiceCurrency, М, Рядок (3), валюта
DocumentFunctionCode, М,TNN,"Код типу документа:

* TNN - транспортна накладна"
ContractNumber, О, Рядок (16), номер договору на поставку
ContractDate, O, Дата (РРРР-ММ-ДД), дата контракту
**Invoice-Header**,,, Закінчення основного блоку
**Invoice-Reference**,,, Підстава (початок блоку)
**Order**,О,, Замовлення (початок блоку)
BuyerOrderNumber, О, Число (6-10), Номер замовлення
BuyerOrderDate, О, Дата (РРРР-ММ-ДД), Дата замовлення
**Order**,,, Замовлення (закінчення блоку)
**TaxInvoice**, О,, Податкова накладна (початок блоку)
TaxInvoiceNumber, О, Рядок (35), номер податкової накладної
TaxInvoiceDate, О, Дата (РРРР-ММ-ДД), дата податкової накладної (повинна збігатися з датою товарною накладною)
**TaxInvoice**,,, Податкова накладна (закінчення блоку)
**DespatchAdvice**, М,, Повідомлення про відвантаження (початок блоку)
DespatchAdviceNumber, М, Рядок (16), Номер повідомлення про відвантаження
**DespatchAdvice**,,, Повідомлення про відвантаження (закінчення блоку)
**ReceivingAdvice**,О,, Повідомлення про прийом (початок блоку)
ReceivingAdviceNumber, М, Рядок (16),"Номер повідомлення про прийом (RECADV). У разі коригування повернення, має бути вказаний номер акта на повернення"
DeliveryDate, O, Дата (РРРР-ММ-ДД),"Дата приймання. В разі коригування повернення, має бути вказана дата акту на повернення"
**ReceivingAdvice**,,, Повідомлення про прийом (закінчення блоку)
**Invoice-Reference**,,, Підстава (закінчення блоку)
**Invoice-Parties**,,, Блок контрагентів (початок)
**Buyer**,,, Блок покупця (початок)
ILN, М, Число (13), GLN покупця
TaxID, М, Число (12), Податковий ідентифікаційний номер покупця
UtilizationRegisterNumber, М,"Число(8,10)", ЄДРПОУ покупця
Name, М, Рядок (175), назва покупця
StreetAndNumber, М, Рядок (35), вулиця і номер будинку покупця
CityName, М, Рядок (35), місто покупця
PostalCode, М, Рядок (9), поштовий код покупця
Country, O, Рядок (3), код країни покупця (код ISO 3166)
PhoneNumber, М, Рядок (35), телефон покупця
**Buyer**,,, Блок покупця (закінчення)
**Seller**,,, Блок продавця (початок)
ILN, М, Число (13), GLN продавця
TaxID, М, Число (12), Податковий ідентифікаційний номер продавця
CodeByBuyer, М, Рядок (35), номер договору на поставку
UtilizationRegisterNumber, М,"Число(8,10)", ЄДРПОУ продавця
Name, М, Рядок (175), назва продавця
StreetAndNumber, М, Рядок (140), вулиця і номер будинку продавця
CityName, М, Рядок (35), місто продавця
PostalCode, М, Рядок (9), поштовий код продавця
Country, O, Рядок (3), код країни продавця (код ISO 3166)
PhoneNumber, М, Рядок (35), телефон продавця
IBAN, O,"UA + NN + 351005 + XXXXXXXXXXXXXXXXXXX

UA — (2 літери) — код країни (ГОСТ ISO 3166-1);

NN — (2 цифри) — контрольне число;

351005 — (6 цифр) — МФО;

XXX...XXX — (19 цифр) — рахунок клієнта.",IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
**Seller**,,, Блок продавця (закінчення)
**DeliveryPoint**, M,, Точка доставки (початок)
ILN, М, Число (13), GLN точки доставки (МЕТРО)
DeliveryPlace, O, Рядок (35), код точки доставки (не повинен перевищувати два знаки)
**DeliveryPoint**,,, Точка доставки (закінчення)
**Invoicee**,,, Рахунок (початок блоку)
ILN, M, Число (13), GLN для виставлення рахунку
**Invoicee**,,, Рахунок (закінчення блоку)
**Payer**,,, Платник Транспортної накладної (початок блоку)
ILN, M, Число (13), GLN платника Транспортної накладної
**Payer**,,, Платник Транспортної накладної (закінчення блоку)
**Invoice-Parties**,,, Блок контрагентів (закінчення)
**Invoice-Lines**,,, Рядки Транспортної накладної (початок блоку)
**Line**,,, Рядок (початок блоку)
**Line-Item**,,, Позиція (початок блоку)
LineNumber, М, Ціле число, номер позиції в табличній частині
EAN, М, Число (14), Штрих-код продукту
BuyerItemCode, O, Рядок (16),Артикул в БД покупця (МЕТРО)
ProductIdBuyer, M, Рядок (16), Артикул в БД MGB
ItemDescription, М, Рядок (210), Опис товару
UnitOfMeasure, М, Рядок (3), "Одиниці виміру. Доступні значення:

* PCE - шт.
* KGM - кг."
CountPiecesInBox,M,"Ціле число;

Число десяткове (3 знаки після коми) при UnitOfMeasure=KGM",Кількість одиниць товару у коробці (для вагового товару — вага товару у коробці)
BoxesCount,M,Ціле число,"Кількість коробів товару, що постачається"
DeliveredQuantity,М,"Ціле число;

Число десяткове (3 знаки після коми) при UnitOfMeasure=KGM",Кількість доставлених метро одиниць
**Line-Item**,,, Позиція (закінчення блоку)
**Line**,,, Рядок (закінчення блоку)
**Invoice-Lines**,,, Рядки Транспортної накладної (закінчення блоку)
**Invoice-Summary**,,, Підсумки (початок блоку)
TotalLines, M, Ціле число, Кількість рядків в документі
TotalQuantity,М,Число десяткове (3 знаки після коми),Загальна кількість одиниць товару
**Invoice-Summary**,,, Підсумки (закінчення блоку)
**Document-Invoice**,,, Закінчення документа
