Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (32),Номер документу
ТипДокументу,M,Рядок (50),"Тип документу: Видаткова накладна"
КодТипуДокументу,M,«006»,"Допустиме значення: 006 => Видаткова накладна (`всі підтипи COMDOC <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/EveryBody/ExtraQueryParameters_fieldName_sub_doc_type_id.html>`__)"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
ТермінОплати,O,Дата (РРРР-ММ-ДД),Термін оплати по поставці товару
**ТермінПідпису**,O, ,"Термін, дії підписання документу (початок блоку)"
Початок,M,Дата (РРРР-ММ-ДД),"Дата початку терміну дії підписання"
Кінець,M,Дата (РРРР-ММ-ДД),"Дата закінчення терміну дії підписання"
**ТермінПідпису**, , ,"Термін, дії підписання документу (завершення блоку)"
НомерЗамовлення,M,Рядок (32),Номер замовлення за документом
ДатаЗамовлення,M,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
МісцеСкладання,M,Рядок (255),Місце складання документу
**ДокПідстава**,M, , Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (32),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,M,«001» / «002» / «003» ...,`Код типу документу <https://wiki.edin.ua/uk/latest/XML/code_doctype.html>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення: Відправник"
ВидОсоби,M,Рядок (20),"Допустимі значення:
Юридична
Фізична "
НазваКонтрагента,M,Рядок (255),Назва контрагента
КодКонтрагента,M,Рядок (12),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
МФО,O,Integer (6),МФО банку
ПоточРах,O,Integer (19),Поточний рахунок контрагента
ІПН,M,Рядок (12),Індивідуальний податковий номер контрагента
IBAN,M,Рядок (35),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,O,Рядок (20),Телефон
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**МісцеДоставки**,O, ,Місце доставки (початок блоку)
GLN,O,Integer (13),Глобальний номер розташування (GLN) місця доставки
Індекс,O,Integer (5),Індекс
Область,O,Рядок (50),Область
Місто,O,Рядок (50),Місто
Вулиця,O,Рядок (50),Вулиця
**МісцеДоставки**, , ,Місце доставки (завершення блоку)
**Параметри**,M, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до основних полей специфікації"
"<Параметр ІД=«1» назва=«Точка доставки»>4829900017590</Параметр>",M,Рядок (255),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=1 вказується точка доставки. Максимальна кількість тегів – 99."
"<Параметр ІД=«2» назва=«Адреса доставки»>Дніпропетровська обл., Дніпровський р-н, територія Слобожанської селищної ради, комплекс будівель та споруд №8</Параметр>",M,Рядок (255),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=2 вказується розшифровка адреси доставки. Максимальна кількість тегів – 99."
**Параметри**,M, ,Параметри (завершення блоку)
**Таблиця**,O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,M,Integer (4),Номер позиції
<Штрихкод ІД=«1»>6908876610177</Штрихкод>,M,Рядок (20),Штрих-код продукту. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,O,Рядок (10),Артикул покупця
АртикулПродавця,M,Рядок (20),Артикул продавця
КодУКТЗЕД,O,Integer (10),Код товару згідно з УКТ ЗЕД; для COMDOC 006 значення не менше 4 і не більше 10 символів
Найменування,M,Рядок (250),Найменування товарної позиції
ПрийнятаКількість,M,Decimal (#.000),Прийнята кількість товарних позицій 
ОдиницяВиміру,M,Рядок (10),Одиниці виміру [2]_
БазоваЦіна,M,Decimal (#.00000),Ціна за одиницю без ПДВ
ПДВ,M,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Ціна,M,Decimal (#.00000),Ціна за одиницю з ПДВ
**ВсьогоПоРядку**,M,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
СумаБезПДВ,M,Decimal (#.00),Сума без ПДВ без знижки
СумаПДВ,M,Decimal (#.00),Сума ПДВ
Сума,M,Decimal (#.00),Сума
СумаЗіЗнижкоюБезПДВ,O,Decimal (#.00),Сума без ПДВ зі знижкою
СумаЗіЗнижкоюЗПДВ,O,Decimal (#.00),Сума з ПДВ зі знижкою
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
СтавкаПДВ,M,«0»/«7»/«20»,"Ставка податку на додану вартість (%); Допустиме значення: 0 / 7 / 20"
**ЦінаРегулярна**,O, ,Регулярна ціна (початок блоку)
ЦінаБезПДВ,O,Decimal (#.00),Цiна без ПДВ
ЦінаЗіЗнижкоюБезПДВ,O,Decimal (#.00),Цiна без ПДВ зі знижкою
ЦінаЗіЗнижкоюЗПДВ,O,Decimal (#.00),Цiна з ПДВ зі знижкою
**ЦінаРегулярна**, , ,Регулярна ціна (завершення блоку)
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ВсьогоПоДокументу**,O,,Сумарні значення позицій за документом (початок блоку)
СумаБезПДВ,M,Decimal (#.00),Сума по всім позиціям без ПДВ без знижки
ВсьогоЗіЗнижкоюБезПДВ,O,Decimal (#.00),Сума по всім позиціям без ПДВ зі знижкою
ВсьогоЗіЗнижкоюЗПДВ,O,Decimal (#.00),Сума по всім позиціям з ПДВ зі знижкою
ПДВ,M,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Сума,M,Decimal (#.00),Сума   
**ВсьогоПоДокументу**,O, ,Сумарні значення позицій за документом (завершення блоку)
**ЕлектроннийДокумент**,O, ,Завершення документу
