Назва поля, Тип [1]_, Формат, Опис
**ORDER**,,, Початок документа
DOCUMENTNAME, М, Число позитивне, Назва документа (220 -замовлення)
NUMBER, М, Рядок (50), Номер замовлення
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата поставки
DELIVERYTIME, O, Час (год: хв), Час поставки
CAMPAIGNNUMBER, O, Рядок (70), Номер договору на поставку
CURRENCY, O, Рядок (3), Код валюти
TRANSPORTATIONCONDITION, O, Рядок (70), Умови транспортування
TRANSPORTATIONPAYMENTTYPE, O, Рядок (35), Тип оплати доставки (Умови оплати)
DOCTYPE, M, Рядок (2), "Тип документа: PO - попереднє замовлення"
INFO, O, Рядок (90), Вільний текст
**PREORDER**,O,,Попередні замовлення (початок блоку)
PREORDERNUM,O,Рядок (10),Номер першого Попереднього замовлення (тег може бути використаний декілька разів)
**PREORDER**,O,,Попередні замовлення (закінчення блоку)
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN постачальника
BUYER, M, Число (13), GLN покупця
DELIVERYPLACE, M, Число (13), GLN місця доставки
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне, Номер товарної позиції
PRODUCT, M, "Число (8, 10, 14)", Штрихкод продукту
ORDEREDQUANTITY, M, Число позитивне, Замовлена ​​кількість
ORDERUNIT, О, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
INFO, O, Рядок (250), Вільний текст
LATESTDELIVERYDATE, O, Дата (РРРР-ММ-ДД), Поставка не пізніше зазначеної дати
**CHARACTERISTIC**,,, Характеристики (початок блоку)
DESCRIPTION, О, Рядок (250), Опис продукту
**CHARACTERISTIC**,,, Характеристики (закінчення блоку)
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**ORDER**,,, Закінчення документа
