Назва поля, Тип [1]_, Формат, Опис
**IFTMIN**,,, Початок документа
NUMBER, М, Рядок (5), "Номер документа; повинен бути наступного формату X_Y, де Х — це порядковий номер машини, яка їде по замовленню Y — це загальна кількість машин, яка поїде по замовленню (MIN - 1, MAX - 99). Х повинен < або = Y. Наприклад 2_5."
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата поставки
DELIVERYTIME, М, Час (год: хв), Час доставки
DOCTYPE, O, Рядок (1), "Тип документа:

* O - оригінал,
* R - заміна"
**DOCUMENT**,,, Дані про документи (початок блоку)
**DOCITEM**,,, Дані про документ (початок блоку)
DOCTYPE, М, Рядок (2), "Допустимі значення:

* «ON» - IFTMIN робиться на базі Замовлення (вказується номер)"
DOCNUMBER, М, Рядок (16), Номер Замовлення
DOCNUMBERTN, О/M, Рядок (32), "Номер Кількісної накладної. Якщо в документі вказано кілька Замовлень і хоча б до одного прив'язана Кількісна накладна, то до інших замовлень теж повинні бути вказані накладні."
**DOCITEM**,,, Дані про документ (закінчення блоку)
**DOCUMENT**,,, Дані про документи (закінчення блоку)
**HEAD**,,, Початок основного блоку
CONSIGNOR, M, Число (13), GLN вантажовідправника (постачальника)
DELIVERYPLACE, M, Число (13), GLN місця доставки
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
**POSITIONS**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, "Число * 1, 100 +", Номер позиції
PACKAGETYPE, О, Рядок (3), Тип упаковки "(Тип палет: 09 – зворотний піддон; 200 – палета ISO 0 – 1/2 EURO Pallet; 201 – палета ISO 1 – 1/1 EURO Pallet)"
PACKAGEQUANTITY, O, Число десяткове, Кількість упаковок
PACKAGEWIGHT, O, Число десяткове, Вага
MAXPACKAGEQUANTITY, O, Число десяткове, Максимальна кількість упаковок
**POSITIONS**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**IFTMIN**,,, Закінчення документа
