Назва поля, Тип [1]_, Формат, Опис
**DESADV**,,, Початок документа
NUMBER, М, Рядок (16), Номер повідомлення про відвантаження
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата поставки
DELIVERYTIME, О, Час (год: хв), Час поставки
ORDERNUMBER, M, Рядок (50), Номер замовлення
ORDERDATE, О, Дата (РРРР-ММ-ДД), Дата замовлення
ORDRSPNUMBER, М, Рядок (16), Номер підтвердження замовлення
ORDRSPDATE, М, Дата (РРРР-ММ-ДД), Дата підтвердження замовлення
DELIVERYNOTENUMBER, М, Рядок (16), Номер накладної
DELIVERYNOTEDATE, М, Дата (РРРР-ММ-ДД), Дата накладної
CAMPAIGNNUMBER, М, Рядок (70), Номер договору на поставку
TRANSPORTQUANTITY, М, Ціле позитивне число, Загальна кількість машин; кількість повідомлень про відвантаження в межах одного замовлення покупця(число >1 або =1)
TRANSPORTID, М, Ціле позитивне число, Порядковий номер транспортного засобу/повідомленя про відвантаження (число < або = TRANSPORTQUANTITY й не може бути більше)
PACKAGEWEIGHT,O,"Decimal (18,3) / Розділення крапкою",Вага по накладній
**HEAD**,,, Початок основного блоку
SUPPLIER, М, Число (13), GLN постачальника
BUYER, М, Число (13), GLN покупця
DELIVERYPLACE, M, Число (13), GLN місця доставки
SENDER, М, Число (13), GLN відправника повідомлення
RECIPIENT, М, Число (13), GLN одержувача повідомлення
EDIINTERCHANGEID, О, Рядок (70), Номер транзакції
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (початок блоку)
HIERARCHICALID, М, Число позитивне, Номер ієрархії упаковки
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне (5), Номер товарної позиції
PRODUCT, М,"Число (8, 10, 14)", Штрихкод продукту
PRODUCTIDBUYER, М, Рядок (15), Артикул в БД покупця
BUYERNUMBER, О, Число ціле (16), Внутрішній системний номер артикулу в БД покупця
DELIVEREDQUANTITY, М, Число позитивне (15),"кількість, відвантаженого товару що поставляється"
ORDEREDQUANTITY, М, Число позитивне (15), Замовлена кількість
ADVICEPRICE, O, Число ціле з трьома знаками після коми, Рекомендована ціна (державою)
AMOUNT, М, Число десяткове, Сума товару без ПДВ
PRICE, М, Число десяткове, Ціна продукту без ПДВ
TAXRATE, М, 20/19/16/14/7/2/0,"Ставка ПДВ (20%, 19%, 16%, 14%, 7%, 2%, 0%)"
GOODDATE, O, Дата (РРРР-ММ-ДД), Термін придатності
BRUTTOWEIGHT,O,"Decimal (18,3) / Розділення крапкою",Вага брутто
**POSITION**,,, Товарні позиції (закінчення блоку)
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**DESADV**,,, Закінчення документа
