Назва поля, Тип [1]_, Формат, Опис
**RECADV**,,, Початок документа
NUMBER, М, Рядок (16), Номер повідомлення про прийом
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
RECEPTIONDATE, М, Дата (РРРР-ММ-ДД), Дата прийому товару
RECEPTIONTIME, О, Час (год: хв), Час прийому товару
ORDERNUMBER, М, Рядок (16), Номер замовлення
ORDERDATE, М, Дата (РРРР-ММ-ДД), Дата замовлення
DESADVNUMBER, М, Рядок (15), Номер повідомлення про відвантаження
DESADVDATE, М, Дата (РРРР-ММ-ДД), Дата повідомлення про відвантаження
CAMPAIGNNUMBER, М, Рядок (16), Номер договору на поставку
DOCTYPE, О, Рядок (1),"Тип документа:

* O - оригінал
* R - заміна
* D - видалення"
**HEAD**,,, Початок основного блоку
SUPPLIER, М, Число (13), GLN постачальника
BUYER, М, Число (13), GLN покупця
DELIVERYPLACE, М, Число (13), GLN місця доставки
SENDER, М, Число (13), GLN відправника
RECIPIENT, М, Число (13), GLN одержувача
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (початок блоку)
HIERARCHICALID, М, Число позитивне, Номер ієрархії упаковки
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне, Номер товарної позиції
PRODUCT, М,"Число (8, 10, 14)", Штрих-код продукту
PRODUCTIDBUYER, М, Рядок (15), Артикул в БД покупця
ACCEPTEDQUANTITY, М, Число позитивне, Прийнята кількість товару
ACCEPTEDUNIT, О, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
DELIVERQUANTITY, М, Число позитивне,"Кількість товару, що поставляється"
ORDERQUANTITY, М, Число позитивне, Замовлена кількість товару
PRICE, М, Число десяткове, Ціна однієї одиниці продукції без ПДВ
PRICEWITHVAT, М, Число десяткове, Ціна однієї одиниці продукції з ПДВ
AMOUNT, М, Число десяткове, Сума товару (без ПДВ)
AMOUNTWITHVAT, М, Число десяткове, Сума товару (з ПДВ)
DESCRIPTION, О, Рядок (70), Опис продукту
VAT, М, Число позитивне, Ставка ПДВ (%)
**POSITION**,,, Товарні позиції (закінчення блоку)
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**RECADV**,,, Закінчення документа
