Параметр, Формат, Опис
.. _Limits: , Об'єкт **Limits** ,
credit_limit,"float (10,4)","кредитний ліміт"
max_pack_qty,число позитивне (10),максимальна кількість коробок / ящиків
max_pallet_qty,число позитивне (10),максимальна кількість палет
max_pos_qty,число позитивне (10),Макс. кіл-ть товарних позицій
max_sum_nds,"float (10,4)","максимальна сума замовлення з ПДВ"
max_sum_without_nds,"float (10,4)","максимальна сума замовлення без ПДВ"
max_weight,"float (13,3)","максимальна вага замовлення, кг"
min_sum_nds,"float (10,4)","мінімальна сума замовлення з ПДВ"
min_sum_without_nds,"float (10,4)","мінімальна сума замовлення без ПДВ"
multiplicity_packing,int,"кратність коробці/ящику; 0-ні, 1-так"
surcharge_rate,"float (10,2)","Тариф для надбавки"
multiplicity_min_order_qty,int,"Кратність мінімальній кількості одиниць; 0-ні, 1-так"
balance_quota_control,int,"Контроль залишків та квот; 0-ні, 1-так. За balance_quota_control=0 Покупець може замовити більше встановленого залишку та/або квоти"
max_return_days,число позитивне (3),"Максимальна кількість днів для повернення товару"
