Параметр,Тип [1]_,Формат, Опис
.. _Schedule: , Об'єкт **Schedule** ,
id,-/M,long,ідентифікатор графіка замовлень; параметр обов'язковий при **оновленні** графіка
producerId,,long,ідентифікатор Продавця (Виробника)
name,M,String,назва графіка замовлень
dateCreated,,long,дата створення (Unix timestamp)
dateChanged,,long,дата останньої зміни (Unix timestamp)
dateStart,M,long,дата початку графіка замовлень (Unix timestamp)
dateEnd,,long,"дата останньої події (Unix timestamp); примітка:

* якщо значення=0 - це значить у графіка немає дати закінчення
* якщо графік без повторів, то ця дата дорівнює даті початку графіка"
timeFrom,M,String,час **З** якого можливо відправляти замовлення (ГГ:ХХ:СС)
timeTo,M,String,час **ДО** якого можливо відправляти замовлення (ГГ:ХХ:СС)
timeRemind,O,String,"час нагадування (о котрій годині нагадати) - працює лише тоді коли Продавець (Виробник) передав значення"
block,O,boolean,"блокуємо (true) / не блокуємо (false) замовленя, які не задовільняють налаштуванням графіка; за замовчуванням false"
type,O,int,"тип графіка замовлень:

* 1 - індивідуальний
* 2 - загальний

Якщо не передається, то встановлюється автоматично за значенням **distributors** параметра"
recurrenceRule,O,RecurrenceRule,"об'єкт; правила повторів (передається, якщо Продавець (Виробник) налаштував повтори)"
distributors,O/M,List<Long>,"масив; список GLN-ів Покупців (Дистрибʼюторів), обов'язковий при **type=1**"
dateClosest,,long,"дата найближчої можливості відравки замовлень на сьогоднішній день - це поле динамічне (кожен день може змінюватись);
якщо у продавця немає графіку або графік є, але він вже закінчився - даного параметра у відповіді не буде"
