Параметр,Тип [1]_,Формат,Опис
.. _XDistribexInvitation:,, Об'єкт **XDistribexInvitation** ,
id,-/M,long,ідентифікатор запрошення; параметр обов'язковий при **оновленні** запрошення
userId,,long,ідентифікатор користувача Продавця (Виробника)
producer,,long,ідентифікатор Продавця (Виробника)
buyerContact,O/M,String,контакт (email або мобільний номер телефону) Покупця (Дистриб'ютора); параметр обов'язковий при масовій відправці запрошень
buyerIPN,O,String,ЄДРПОУ / ІПН Покупця (Дистриб'ютора)
status,,int,"статус запрошення:

* 0 - Запрошено;
* 1 - Прийнято;
* 2 - Відхилено;
* 3 - Завершено (не відображається)"
date,,long,дата/час відправки запрошення (у форматі Unix timestamp)
comment,,String,"текстовий коментар, що додається при відхиленні запрошення"
attachmentId,,long,ідентифікатор вкладення (pdf-файлу) - інформаційного листа від Продавця
attachment,,transient byte[],контент вкладення (pdf-файлу)
**producerId**,,Identificator_,об'єкт; ідентифікатори Продавця (Виробника)
