Назва поля, Тип [1]_, Формат, Опис
**ORDER**,,, Початок документа
DOCUMENTNAME, М, Число позитивне, Назва документа (220 -замовлення)
NUMBER, М, Рядок (50), Номер замовлення
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата поставки
CURRENCY, O, Рядок (3), "Тризначний код валюти (наприклад, UAH, RUB, USD, EUR, MDL, BYR)"
DOCTYPE, O, Рядок (1), Тип документа: O - оригінал"
DISTRIBUTOR, М,, Заповнюється лише для сервісу Distribution
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN Виробника
BUYER, M, Число (13), GLN Дистриб'ютора
DELIVERYPLACE, M, Число (13), GLN місця доставки
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції (підтягується з NUMBER)
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, O, Число позитивне, Номер товарної позиції
PRODUCT, M, "Число (8, 10, 14)", Штрихкод продукту
PRODUCTIDSUPPLIER, O, Рядок (16), Артикул в БД
IDPRODUCER, O, Рядок (8), Код Виробника
ORDEREDQUANTITY, M, Число позитивне, Замовлена ​​кількість (к-ть одиниць)
ORDERUNIT, О, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/Distribution/EDIN_2_0/XML/units_distr.html>`__
ORDERPRICE, O, Число десяткове, Ціна продукту без ПДВ
PRICEWITHVAT, O, Число десяткове, Ціна продукту з ПДВ
VAT, O, Число десяткове, "Ставка ПДВ,%"
CATEGORYNAME, O, Рядок (70), Найменування лінійки товару
BRENDNAME, O, Рядок (70), Найменування категорії товару
GROUPNAME,,, Найменування підкатегорії товару
NOVELTY, O,, Новинка
COUNTPIECESINBOX, O, Число позитивне, Кількість одиниць в коробці
COUNTBOXESINLAYER, O, Число позитивне, Кількість коробок в шарі (в 1 рівні)
COUNTPERPALLET, O, Число позитивне, Кількість коробок на палеті
WEIGHT, O, Число десяткове, Вага коробки
PALLETS, O, Число позитивне, Кількість палет
BOXESCOUNT, O, Число позитивне, Кількість коробок
**CHARACTERISTIC**,,, Характеристики (початок блоку)
DESCRIPTION, О, Рядок (70), Найменування/опис продукту
**CHARACTERISTIC**,,, Характеристики (закінчення блоку)
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**ORDER**,,, Закінчення документа
