Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _CMBODY:,О, Об'єкт **CMBODY**,
HNUM,О,String,номер документа
HFILL,О,String,дата документа
HPLACE,Н,String,місце складання
HTYPE,О,int,тип документа-підстави: 1 - ЕТТН; 2 - Акт перевантаження товарів
HPODNUM,О,String,номер договору (документа-підстави)
HPODFILL,О,String,дата договору (документа-підстави)
HTIN,О,String,ідентифікаційний код (ЄДРПОУ) вантажовідправника
HNAME,О,String,повне найменування вантажовідправника
HLOC,О,String,місцезнаходження вантажовідправника
R02G11S,О,String,ідентифікаційний код (ЄДРПОУ) автомобільного перевізника
R02G1S,О,String,найменування автомобільного перевізника
R02G12S,Н,String,місцезнаходження автомобільного перевізника
R010G3S,О,double,усього відпущено на загальну суму з урахуванням ПДВ
R011G1,О,double,сума ПДВ
T3RXXXXG11S,О,List<RXXType>,масив; таблична частина: назва послуги
T3RXXXXG12,О,List<RXXType>,масив; таблична частина: кількість
T3RXXXXG13S,О,List<RXXType>,масив; таблична частина: одиниці виміру
T3RXXXXG21S,О,List<RXXType>,масив; таблична частина: унікальний ідентифікатор ТТН
T3RXXXXG22S,О,List<RXXType>,масив; таблична частина: номер ТТН
T3RXXXXG23S,О,List<RXXType>,масив; таблична частина: дата ТТН
T3RXXXXG31S,О,List<RXXType>,масив; таблична частина: реєстраційний номер авто
T3RXXXXG32S,Н,List<RXXType>,масив; таблична частина: реєстраційний номер причіпа
T3RXXXXG41S,О,List<RXXType>,масив; таблична частина: місцезнаходження пункту навантаження
T3RXXXXG42S,О,List<RXXType>,масив; таблична частина: код пункту навантаження за КОАТУУ
T3RXXXXG51S,О,List<RXXType>,масив; таблична частина: місцезнаходження пункту розвантаження
T3RXXXXG52S,О,List<RXXType>,масив; таблична частина: код пункту розвантаження за КОАТУУ
T3RXXXXG61S,О,List<RXXType>,масив; таблична частина: П.І.Б. водія
T3RXXXXG62S,О,List<RXXType>,масив; таблична частина: номер посвідчення водія
T3RXXXXG7,О,List<RXXType>,масив; таблична частина: ціна за одиницю
T3RXXXXG8,Н,List<RXXType>,масив; таблична частина: додаткова інформація

