Параметр,Обов'язкове / Необов'язкове поле, Формат, Опис
.. _BKBODY:,О, Об'єкт **BKBODY**,
HNUM,О,String,номер документа
HFILL,О,String (YYYY-MM-DD),дата документа
R01G10S,О,String,"вид перевезень; доступні значення:
- покілометровий тариф
- погодинний тариф
- відрядний тариф
- централізоване перевезення
- внутрішньоміське
- приміське
- міжміське
- міжнародне перевезення"
R02G11S,О,long,ідентифікаційний код (ЄДРПОУ) автомобільного перевізника
R02G1S,О,String,найменування автомобільного перевізника
R02G12S,О,String,адреса автомобільного перевізника
R02G21S,О,long,ідентифікаційний код (ЄДРПОУ) замовника
R02G2S,О,String,найменування замовника
R02G22S,О,String,адреса замовника
HTIN,О,long,ідентифікаційний код (ЄДРПОУ) вантажовідправника
HNAME,О,String,повне найменування вантажовідправника
HLOC,О,String,місцезнаходження вантажовідправника
R03G10S,О,String,номер договору
R03G11S,О/Н,String,дата договору; поле обов'язкове до заповнення при наявності R03G10S
R04G1S,О,double,маса брутто; кг
R05G1S,Н,String,температурні вимоги 
R06G1S,Н,double,кількість місць
R07G1S,Н,String,необхідний вид транспорту
R08G1S,О/Н,String(формат 0.00),вартість перевезення без ПДВ; поле обов'язкове до заповнення при R08G14S=fixed
R08G12S,Н,String,"ставка ПДВ; допустимі значення:

* 0
* 7
* 20"
R08G13S,О/Н,String(формат 0.00),загальна вартість перевезення (вартість перевезення з ПДВ); поле обов'язкове до заповнення при R08G14S=fixed
R08G14S,Н,String,"спосіб тарифікації; допустимі значення:

* fixed (фіксована вартість)
* distance (за кілометраж)
* weight (за тоннаж)"
R09G1S,О/Н,double,Загальна відстань перевезення (сумарний кілометраж на перевезення в табличній частині); поле обов'язкове при R08G14S=distance
R010G1S,Н,String,найменування вантажу (тут враховується загальний характер вантажу)
R011G1S,Н,String,додаткова інформація
T4RXXXXG11S,О,List<RXXType_>,масив; таблична частина: ідентифікаційний код (ЄДРПОУ) вантажоодержувача
T4RXXXXG12S,О,List<RXXType_>,масив; таблична частина: найменування вантажоодержувача
T4RXXXXG13S,О,List<RXXType_>,масив; таблична частина: адреса вантажоодержувача
T4RXXXXG21S,О,List<RXXType_>,масив; таблична частина: адреса пункту навантаження
T4RXXXXG22S,О,List<RXXType_>,масив; таблична частина: код пункту навантаження за КОАТУУ
T4RXXXXG23S,О,List<RXXType_>,масив; таблична частина: дата навантаження
T4RXXXXG24S,О,List<RXXType_>,масив; таблична частина: час навантаження
T4RXXXXG25S,Н,List<RXXType_>,масив; таблична частина: контактна особа для навантаження
T4RXXXXG26S,Н,List<RXXType_>,масив; таблична частина: контактний телефон для навантаження
T4RXXXXG31S,О,List<RXXType_>,масив; таблична частина: адреса пункту розвантаження
T4RXXXXG32S,О,List<RXXType_>,масив; таблична частина: код пункту розвантаження за КОАТУУ
T4RXXXXG33S,О,List<RXXType_>,масив; таблична частина: дата розвантаження
T4RXXXXG34S,О,List<RXXType_>,масив; таблична частина: час розвантаження
T4RXXXXG35S,Н,List<RXXType_>,масив; таблична частина: контактна особа для розвантаження
T4RXXXXG36S,Н,List<RXXType_>,масив; таблична частина: контактний телефон для розвантаження
